Year,SETR Category,Award level,Total Graduates,US Graduates,US Nonresident Graduates
2021,Artificial Intelligence,Doctor's degree – professional practice,70,70,0
2022,Artificial Intelligence,Doctor's degree – professional practice,64,64,0
2023,Artificial Intelligence,Doctor's degree – professional practice,49,49,0
2014,Artificial Intelligence,Doctor's degree – research/scholarship,1151,524,627
2015,Artificial Intelligence,Doctor's degree – research/scholarship,1175,531,644
2016,Artificial Intelligence,Doctor's degree – research/scholarship,1165,499,666
2017,Artificial Intelligence,Doctor's degree – research/scholarship,1203,541,662
2018,Artificial Intelligence,Doctor's degree – research/scholarship,1203,525,678
2019,Artificial Intelligence,Doctor's degree – research/scholarship,1378,574,804
2020,Artificial Intelligence,Doctor's degree – research/scholarship,1449,555,894
2021,Artificial Intelligence,Doctor's degree – research/scholarship,1457,551,906
2022,Artificial Intelligence,Doctor's degree – research/scholarship,1657,600,1057
2023,Artificial Intelligence,Doctor's degree – research/scholarship,1701,668,1033
2014,Artificial Intelligence,Master's degree,13535,6839,6696
2015,Artificial Intelligence,Master's degree,17823,7251,10572
2016,Artificial Intelligence,Master's degree,22764,7709,15055
2017,Artificial Intelligence,Master's degree,25644,8384,17260
2018,Artificial Intelligence,Master's degree,23567,8092,15475
2019,Artificial Intelligence,Master's degree,22910,9120,13790
2020,Artificial Intelligence,Master's degree,25002,10101,14901
2021,Artificial Intelligence,Master's degree,27428,11208,16220
2022,Artificial Intelligence,Master's degree,24144,12278,11866
2023,Artificial Intelligence,Master's degree,38986,13053,25933
2014,Artificial Intelligence,Post-master's certificate,35,23,12
2015,Artificial Intelligence,Post-master's certificate,43,20,23
2016,Artificial Intelligence,Post-master's certificate,34,18,16
2017,Artificial Intelligence,Post-master's certificate,45,28,17
2018,Artificial Intelligence,Post-master's certificate,97,47,50
2019,Artificial Intelligence,Post-master's certificate,80,48,32
2020,Artificial Intelligence,Post-master's certificate,100,45,55
2021,Artificial Intelligence,Post-master's certificate,92,42,50
2022,Artificial Intelligence,Post-master's certificate,42,26,16
2023,Artificial Intelligence,Post-master's certificate,67,24,43
2014,Artificial Intelligence,Postbaccalaureate certificate,465,393,72
2015,Artificial Intelligence,Postbaccalaureate certificate,575,442,133
2016,Artificial Intelligence,Postbaccalaureate certificate,705,485,220
2017,Artificial Intelligence,Postbaccalaureate certificate,1003,558,445
2018,Artificial Intelligence,Postbaccalaureate certificate,1034,614,420
2019,Artificial Intelligence,Postbaccalaureate certificate,978,685,293
2020,Artificial Intelligence,Postbaccalaureate certificate,990,696,294
2021,Artificial Intelligence,Postbaccalaureate certificate,1268,839,429
2022,Artificial Intelligence,Postbaccalaureate certificate,1106,770,336
2023,Artificial Intelligence,Postbaccalaureate certificate,1358,841,517
2014,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,287,283,4
2015,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,321,314,7
2016,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,321,315,6
2017,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,455,442,13
2018,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,515,500,15
2019,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,466,459,7
2020,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,438,435,3
2021,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,456,448,8
2022,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,335,324,11
2023,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,469,468,1
2014,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,147,146,1
2015,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,141,137,4
2016,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,146,141,5
2017,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,140,138,2
2018,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,156,153,3
2019,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,182,178,4
2020,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,157,155,2
2021,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,169,167,2
2022,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,162,159,3
2023,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,221,218,3
