Year,SETR Category,Award level,Total Graduates,US Graduates,US Nonresident Graduates
2017,Biotechnology and Synthetic Biology,Post-master's certificate,53,40,13
2018,Biotechnology and Synthetic Biology,Post-master's certificate,37,31,6
2019,Biotechnology and Synthetic Biology,Post-master's certificate,3,1,2
2020,Biotechnology and Synthetic Biology,Post-master's certificate,73,60,13
2021,Biotechnology and Synthetic Biology,Post-master's certificate,35,28,7
2022,Biotechnology and Synthetic Biology,Post-master's certificate,46,36,10
2023,Biotechnology and Synthetic Biology,Post-master's certificate,32,26,6
2014,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,93,78,15
2015,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,90,81,9
2016,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,89,77,12
2017,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,86,77,9
2018,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,103,86,17
2019,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,133,98,35
2020,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,178,146,32
2021,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,163,141,22
2022,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,182,157,25
2023,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,200,174,26
2014,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,155,149,6
2015,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,163,159,4
2016,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,123,121,2
2017,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,146,143,3
2018,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,162,157,5
2019,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,128,123,5
2020,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,137,133,4
2021,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,144,141,3
2022,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,216,212,4
2023,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,172,164,8
2015,Biotechnology and Synthetic Biology,Postsecondary certificate > 60 semester credit hours,8,8,0
2016,Biotechnology and Synthetic Biology,Postsecondary certificate > 60 semester credit hours,3,3,0
2017,Biotechnology and Synthetic Biology,Postsecondary certificate > 60 semester credit hours,6,6,0
2018,Biotechnology and Synthetic Biology,Postsecondary certificate > 60 semester credit hours,2,2,0
2022,Biotechnology and Synthetic Biology,Postsecondary certificate > 60 semester credit hours,3,3,0
