Table 4-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Teaching assistantships,11.6,11.9,11,7.8,14.7,8.2,D,D,5.2,7.7,8.8,3.1,0
Research assistantships or traineeshipsb,59.3,60.2,56.6,49.9,66.9,41.1,D,D,32,51.3,46.8,D,31.3
"Fellowships, scholarships, or dissertation grants",19.8,17.6,26,29.1,12.3,38.9,D,24.4,41.8,27.5,35.7,D,50
Own resources,5.3,5.6,4.4,8.3,2.9,8.2,D,7.6,D,8.2,5.8,6.3,18.8
Employer or other sources,4,4.7,1.9,4.8,3.2,3.7,0,3.5,6.7,5.3,2.9,3.1,0
"Geosciences, atmospheric, and ocean sciences (number)",1107,609,498,739,362,57,D,54,D,576,28,4,2
Teaching assistantships,18.6,18.7,18.5,20.4,14.4,D,0,20.4,D,20.8,D,0,0
Research assistantships or traineeshipsb,47.7,51.2,43.4,42.4,58.8,21.1,D,D,D,44.1,53.6,0,50
"Fellowships, scholarships, or dissertation grants",24.7,20,30.3,28.4,17.4,47.4,D,24.1,35.7,26.2,D,75,50
Own resources,5.3,5.3,5.4,6.5,3,D,D,D,D,6.8,D,0,0
Employer or other sources,3.7,4.8,2.4,2.3,6.4,1.8,0,5.6,0,2.1,0,25,0
Health sciences (number),2366,677,1689,1779,577,149,9,183,227,1124,57,16,14
Teaching assistantships,10.8,15.1,9.1,8.8,17,9.4,0,9.3,4,9.6,10.5,0,21.4
Research assistantships or traineeshipsb,24.6,28.7,22.9,19.2,41.1,17.4,0,25.7,11.9,20.4,17.5,18.8,0
"Fellowships, scholarships, or dissertation grants",22,22.6,21.7,21.6,23.2,32.2,D,28.4,D,19.9,21.1,12.5,7.1
Own resources,33.3,24.7,36.8,41.2,8.8,38.3,D,29,D,39.6,38.6,56.3,71.4
Employer or other sources,9.3,9,9.4,9.1,9.9,2.7,11.1,7.7,7,10.5,12.3,12.5,0
Mathematics and statistics (number),1849,1324,524,875,958,60,0,129,20,612,41,11,2
Teaching assistantships,62.3,63.7,58.6,63.1,61.5,60,-,58.1,50,65.8,51.2,54.5,50
Research assistantships or traineeshipsb,16,15,18.5,13.1,18.7,D,-,D,D,12.7,12.2,18.2,0
"Fellowships, scholarships, or dissertation grants",15.8,15.4,17,17,14.8,20,-,24.8,D,14.4,D,27.3,0
Own resources,4.4,4.3,4.6,5.5,3.3,D,-,D,D,6,D,0,50
Employer or other sources,1.5,1.5,1.3,1.3,1.7,3.3,-,1.6,0,1,2.4,0,0
Multidisciplinary/ interdisciplinary sciences (number),1527,951,576,756,764,69,D,106,D,486,24,6,8
Teaching assistantships,17.7,17,18.9,16.1,19.4,17.4,0,16,D,16.9,D,16.7,12.5
Research assistantships or traineeshipsb,47.5,52.8,38.9,35.7,59.6,24.6,0,47.2,29.1,35.6,37.5,33.3,37.5
"Fellowships, scholarships, or dissertation grants",21.3,17.7,27.4,27.4,15.3,40.6,0,23.6,23.6,27,29.2,33.3,12.5
Own resources,9.9,8.5,12.2,15.9,3.8,13,D,8.5,D,15.6,D,16.7,12.5
Employer or other sources,3.5,4,2.6,4.9,2,4.3,50,4.7,0,4.9,8.3,0,25
Physical sciences (number),4900,3227,1672,2931,1942,274,D,331,D,2080,110,33,11
Teaching assistantships,25.8,26.3,24.8,23.8,28.7,23.4,D,25.1,33.3,23.2,D,24.2,27.3
Research assistantships or traineeshipsb,52.8,55.4,47.5,49.5,57.6,40.9,0,51.1,32.2,51.3,50,42.4,36.4
"Fellowships, scholarships, or dissertation grants",16.8,13.9,22.4,20.5,11.3,29.2,0,21.1,31.1,18.6,24.5,24.2,27.3
Own resources,3.6,3.4,3.8,5,1.3,5.1,0,1.8,D,5.7,D,9.1,9.1
Employer or other sources,1.1,1,1.4,1.1,1.1,1.5,0,0.9,1.1,1.2,0,0,0
Psychology (number),3192,733,2458,2874,297,318,8,211,274,1884,135,28,16
Teaching assistantships,24.1,28.5,22.8,22.7,39.1,16,0,25.1,15,24.2,26.7,32.1,31.3
Research assistantships or traineeshipsb,22.9,19,24.1,22.9,23.2,20.8,0,17.5,14.2,25.3,25.9,14.3,6.3
"Fellowships, scholarships, or dissertation grants",18,18.8,17.7,17.4,22.9,23,D,23.2,16.1,15.9,16.3,D,18.8
Own resources,33.3,31,34,35.3,13.5,37.7,D,31.8,53.6,32.9,30.4,D,43.8
Employer or other sources,1.7,2.7,1.4,1.7,1.3,2.5,0,2.4,1.1,1.7,0.7,0,0
Social sciences (number),4551,2201,2348,2942,1586,321,15,283,278,1891,101,34,19
Teaching assistantships,34.8,36.5,33.3,31.4,41.2,30.2,D,40.6,16.5,32.9,25.7,D,21.1
Research assistantships or traineeshipsb,14.6,13.9,15.4,14.5,14.8,12.5,0,12.7,12.6,15.5,16.8,14.7,0
"Fellowships, scholarships, or dissertation grants",33.7,34.7,32.7,31.7,37.5,36.4,60,35,30.6,29.9,36.6,26.5,63.2
Own resources,13.7,11.7,15.5,19,3.8,19.6,D,8.8,35.6,18.1,15.8,D,10.5
Employer or other sources,3.2,3.3,3.1,3.4,2.6,1.2,0,2.8,4.7,3.5,5,5.9,5.3
Non-science and engineering (number),10217,4154,6063,7813,2336,769,34,547,973,5132,229,81,48
Teaching assistantships,25,27.4,23.4,24.2,27.9,24.1,D,23.4,10.2,27,25.3,D,27.1
Research assistantships or traineeshipsb,11.8,10.1,12.9,9.1,20.7,8.2,D,15.5,8.1,8.7,7.9,D,8.3
"Fellowships, scholarships, or dissertation grants",26.1,29.2,24,22.6,38,23.8,23.5,32.2,19.5,22,23.1,28.4,16.7
Own resources,30,26.5,32.4,36.4,8.6,37.3,38.2,23.9,55,34,35.8,33.3,43.8
Employer or other sources,7,6.9,7.1,7.7,4.8,6.6,14.7,4.9,7.2,8.3,7.9,1.2,4.2
Business (number),1289,710,579,598,680,35,D,112,D,364,15,8,4
Teaching assistantships,16.7,16.3,17.1,11.9,20.9,D,D,14.3,8.5,11.5,D,0,0
Research assistantships or traineeshipsb,22.9,22.3,23.7,14.9,30.1,D,0,18.8,D,17,D,12.5,25
"Fellowships, scholarships, or dissertation grants",33.9,36.1,31.3,26.9,40,22.9,0,40.2,D,24.7,D,62.5,0
Own resources,22.4,21,24.2,40.1,6.8,51.4,0,25,64.4,39.3,60,25,50
Employer or other sources,4.1,4.4,3.8,6.2,2.2,D,0,1.8,8.5,7.4,D,0,25
Education (number),3424,920,2504,2995,404,325,19,169,542,1831,76,15,18
Teaching assistantships,11,10.5,11.1,9.9,18.6,7.7,0,13.6,5.7,11.5,7.9,6.7,11.1
Research assistantships or traineeshipsb,15.7,13.9,16.4,13.4,33.4,14.2,D,22.5,11.3,12.9,D,20,16.7
"Fellowships, scholarships, or dissertation grants",13,13.2,12.9,11.7,22,14.5,D,20.7,14,9.3,D,13.3,16.7
Own resources,46.9,47.7,46.6,51.3,13.9,51.1,42.1,33.1,59.8,50.7,47.4,53.3,55.6
Employer or other sources,13.5,14.7,13,13.7,12.1,12.6,21.1,10.1,9.2,15.5,15.8,6.7,0
Humanities (number),2885,1468,1417,2315,558,232,8,122,138,1700,69,32,14
Teaching assistantships,39.8,39.3,40.2,40.3,37.5,44.4,D,30.3,D,41.8,44.9,40.6,50
Research assistantships or traineeshipsb,1.6,1,2.3,1.3,2.7,D,0,0,D,1.5,0,0,0
"Fellowships, scholarships, or dissertation grants",36,35.8,36.1,32.5,50.5,30.2,D,49.2,33.3,31.8,D,28.1,14.3
Own resources,19.5,19.8,19.3,22.7,6.6,21.6,D,15.6,40.6,21.8,D,31.3,28.6
Employer or other sources,3.1,4,2.1,3.2,2.7,D,0,4.9,3.6,3.2,D,0,7.1
Visual and performing arts (number),719,311,408,546,170,47,D,37,D,406,16,8,8
Teaching assistantships,35,36.7,33.8,36.6,30,D,0,D,D,38.7,D,37.5,37.5
Research assistantships or traineeshipsb,2.8,2.3,3.2,2.7,2.9,D,0,D,0,3,D,0,0
"Fellowships, scholarships, or dissertation grants",42.6,41.2,43.6,39.4,52.4,34,0,43.2,59.1,38.7,43.8,37.5,37.5
Own resources,17.8,18,17.6,20,11.2,29.8,D,13.5,31.8,18.2,D,25,25
Employer or other sources,1.8,1.9,1.7,1.3,3.5,0,0,2.7,0,1.5,0,0,0
Other non-science and engineering (number),1900,745,1155,1359,524,130,4,107,212,831,53,18,4
Teaching assistantships,29.9,31.4,28.9,28.8,33.4,26.9,0,35.5,14.6,32,28.3,27.8,25
Research assistantships or traineeshipsb,15.9,14.8,16.7,12.8,23.7,7.7,25,23.4,7.5,13.4,13.2,22.2,0
"Fellowships, scholarships, or dissertation grants",23.5,24.4,22.9,21.3,29.6,32.3,50,18.7,21.2,20.3,13.2,22.2,0
Own resources,25.3,22.1,27.4,31.7,8.2,30,0,21.5,51.9,27.7,39.6,27.8,75
Employer or other sources,5.4,7.2,4.2,5.4,5.2,3.1,25,0.9,4.7,6.6,5.7,0,0
