Table 1-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Bioengineering and biomedical engineering,1039.0,1046.0,1125.0,1089.0,1032.0,1133.0,1163.0,1082.0,1063.0,1228.0,1302.0,25.3
Chemical and petroleum engineering,977.0,1143.0,1186.0,1080.0,1106.0,1168.0,1194.0,1191.0,1204.0,1259.0,1245.0,27.4
"Civil, environmental, and transportation engineering",1023.0,1161.0,1213.0,1087.0,1216.0,1178.0,1317.0,1305.0,1177.0,1390.0,1368.0,33.7
Electrical and computer engineering,2345.0,2446.0,2437.0,2243.0,2319.0,2393.0,2260.0,2461.0,2510.0,2722.0,2653.0,13.1
Industrial engineering and operations research,474.0,510.0,436.0,499.0,485.0,492.0,505.0,567.0,580.0,612.0,578.0,21.9
Materials and mining engineering,872.0,856.0,905.0,1015.0,962.0,1018.0,1016.0,901.0,950.0,1161.0,1159.0,32.9
Mechanical engineering,1336.0,1411.0,1548.0,1417.0,1496.0,1610.0,1677.0,1777.0,1584.0,1650.0,1653.0,23.7
"Engineering, other",586.0,667.0,664.0,659.0,778.0,789.0,787.0,785.0,790.0,911.0,859.0,46.6
"Geosciences, atmospheric, and ocean sciences",989.0,1098.0,1057.0,1227.0,1169.0,1185.0,1272.0,1241.0,1064.0,1181.0,1231.0,24.5
Geological sciences,489.0,579.0,554.0,618.0,572.0,591.0,621.0,673.0,543.0,576.0,592.0,21.1
"Ocean, marine, and atmospheric sciences",500.0,519.0,503.0,609.0,597.0,594.0,651.0,568.0,521.0,605.0,639.0,27.8
Health sciences,2109.0,2236.0,2220.0,2248.0,2443.0,2473.0,2532.0,2606.0,2250.0,2473.0,2435.0,15.5
Nursing science ,510.0,580.0,536.0,482.0,552.0,584.0,546.0,590.0,513.0,536.0,554.0,8.6
Pharmaceutical sciences ,332.0,279.0,270.0,274.0,292.0,344.0,358.0,382.0,329.0,371.0,358.0,7.8
Public health,501.0,565.0,641.0,694.0,769.0,702.0,768.0,714.0,615.0,713.0,682.0,36.1
"Health sciences, other ",766.0,812.0,773.0,798.0,830.0,843.0,860.0,920.0,793.0,853.0,841.0,9.8
Mathematics and statistics,1817.0,1874.0,1815.0,1872.0,1844.0,2022.0,2010.0,2024.0,2010.0,2247.0,2167.0,19.3
Applied mathematics,455.0,476.0,435.0,474.0,493.0,455.0,427.0,419.0,426.0,460.0,460.0,1.1
Mathematics ,641.0,635.0,635.0,350.0,392.0,524.0,445.0,378.0,235.0,226.0,231.0,-64
Statistics,364.0,407.0,381.0,265.0,368.0,412.0,365.0,402.0,488.0,596.0,574.0,57.7
"Mathematics and statistics, other",357.0,356.0,364.0,783.0,591.0,631.0,773.0,825.0,861.0,965.0,902.0,152.7
Physical sciences ,4595.0,4812.0,4859.0,5024.0,4913.0,5144.0,5306.0,5000.0,4710.0,5468.0,5460.0,18.8
Astronomy and astrophysics,301.0,289.0,269.0,315.0,339.0,351.0,361.0,305.0,456.0,521.0,603.0,100.3
Chemistry,2484.0,2673.0,2666.0,2703.0,2699.0,2807.0,2939.0,2761.0,2552.0,3060.0,3001.0,20.8
Physics,1810.0,1850.0,1924.0,2006.0,1875.0,1986.0,2006.0,1934.0,1702.0,1887.0,1856.0,2.5
Psychology,3592.0,3724.0,3776.0,3910.0,3925.0,3821.0,3909.0,3868.0,3777.0,3952.0,3899.0,8.5
Clinical psychology,1140.0,1220.0,1173.0,1207.0,1193.0,1260.0,1249.0,1278.0,1241.0,1135.0,1208.0,6
Counseling and applied psychology,965.0,928.0,1034.0,1001.0,1019.0,1003.0,978.0,980.0,1029.0,1072.0,1001.0,3.7
Research and experimental psychology,969.0,1007.0,974.0,1066.0,1034.0,952.0,1042.0,881.0,834.0,1066.0,1003.0,3.5
"Psychology, other ",518.0,569.0,595.0,636.0,679.0,606.0,640.0,729.0,673.0,679.0,687.0,32.6
Social sciences,5041.0,5102.0,5369.0,5193.0,5188.0,5054.0,5134.0,5060.0,4875.0,5238.0,5199.0,3.1
Anthropology,550.0,523.0,492.0,460.0,446.0,424.0,445.0,447.0,399.0,415.0,389.0,-29.3
Economics,1183.0,1196.0,1255.0,1236.0,1239.0,1244.0,1247.0,1212.0,1229.0,1287.0,1290.0,9
Political science and government,803.0,775.0,859.0,745.0,743.0,734.0,707.0,636.0,581.0,676.0,665.0,-17.2
Public policy analysis,348.0,327.0,374.0,291.0,293.0,323.0,287.0,306.0,269.0,306.0,299.0,-14.1
"Sociology, demography, and population studies",663.0,710.0,762.0,650.0,705.0,695.0,650.0,630.0,578.0,624.0,627.0,-5.4
"Social sciences, other  ",1494.0,1571.0,1627.0,1811.0,1762.0,1634.0,1798.0,1829.0,1819.0,1930.0,1929.0,29.1
Non-science and engineering,13619.0,13278.0,13639.0,13503.0,13186.0,12934.0,12702.0,12639.0,11341.0,12046.0,12329.0,-9.5
Business ,1551.0,1584.0,1582.0,1509.0,1566.0,1473.0,1529.0,1466.0,1389.0,1447.0,1560.0,0.6
Education,4934.0,4789.0,5098.0,5146.0,4825.0,4818.0,4628.0,4712.0,4239.0,4471.0,4562.0,-7.5
Education leadership and administration,965.0,893.0,920.0,824.0,921.0,895.0,835.0,929.0,701.0,719.0,735.0,-23.8
Education research,2703.0,2560.0,2772.0,2384.0,2418.0,2500.0,2304.0,2308.0,2198.0,2274.0,2324.0,-14
Teacher education and teaching fields,1001.0,1067.0,1109.0,1346.0,1039.0,1055.0,1061.0,1051.0,905.0,996.0,1020.0,1.9
"Education, other ",265.0,269.0,297.0,592.0,447.0,368.0,428.0,424.0,435.0,482.0,483.0,82.3
Humanities and arts,5662.0,5446.0,5522.0,5416.0,5209.0,5139.0,5051.0,4924.0,4132.0,4456.0,4453.0,-21.4
Letters,1606.0,1551.0,1583.0,1531.0,1462.0,1439.0,1386.0,1389.0,1192.0,1292.0,1322.0,-17.7
Foreign languages and literature,701.0,674.0,656.0,599.0,619.0,617.0,610.0,564.0,377.0,442.0,440.0,-37.2
History,1095.0,1108.0,1074.0,1082.0,980.0,948.0,912.0,884.0,724.0,749.0,763.0,-30.3
Philosophy and religious studies,828.0,773.0,804.0,735.0,757.0,758.0,682.0,667.0,594.0,639.0,614.0,-25.8
Music and performing arts,591.0,509.0,529.0,476.0,521.0,486.0,503.0,559.0,479.0,470.0,471.0,-20.3
"Humanities and arts, other",841.0,831.0,876.0,993.0,870.0,891.0,958.0,861.0,766.0,864.0,843.0,0.2
Other non-science and engineering,1472.0,1459.0,1437.0,1432.0,1586.0,1504.0,1494.0,1537.0,1581.0,1672.0,1754.0,19.2
Communication,645.0,663.0,667.0,672.0,622.0,630.0,543.0,591.0,508.0,580.0,631.0,-2.2
Public administration and social services,457.0,444.0,428.0,437.0,480.0,496.0,537.0,530.0,506.0,488.0,535.0,17.1
"Non-science and engineering, other",370.0,352.0,342.0,323.0,484.0,378.0,414.0,416.0,567.0,604.0,588.0,58.9
Male,28326.0,29008.0,29532.0,29572.0,29442.0,29742.0,30105.0,29844.0,28045.0,30457.0,30356.0,7.2
Science and engineering,22471.0,23341.0,23741.0,23949.0,23877.0,24239.0,24801.0,24467.0,23263.0,25569.0,25421.0,13.1
Agricultural sciences and natural resources,730.0,719.0,766.0,776.0,786.0,770.0,775.0,768.0,703.0,719.0,669.0,-8.4
Agricultural sciences,450.0,444.0,463.0,461.0,512.0,499.0,512.0,506.0,480.0,485.0,454.0,0.9
Natural resources and conservation,280.0,275.0,303.0,315.0,274.0,271.0,263.0,262.0,223.0,234.0,215.0,-23.2
Biological and biomedical sciences,4058.0,4088.0,4100.0,4154.0,4088.0,4079.0,4192.0,3883.0,3810.0,4212.0,4251.0,4.8
Biochemistry and biophysics,534.0,524.0,511.0,525.0,553.0,500.0,558.0,463.0,422.0,463.0,450.0,-15.7
"Biology and biomedical sciences, general",287.0,302.0,296.0,474.0,376.0,410.0,411.0,453.0,447.0,527.0,566.0,97.2
"Bioinformatics, biostatistics, and computational biology",274.0,275.0,279.0,333.0,310.0,343.0,405.0,338.0,365.0,442.0,438.0,59.9
"Cellular and developmental biology, and anatomy",294.0,277.0,253.0,229.0,220.0,211.0,183.0,184.0,111.0,112.0,95.0,-67.7
"Ecology, evolutionary biology, and epidemiology",436.0,414.0,473.0,439.0,421.0,447.0,439.0,378.0,373.0,418.0,431.0,-1.1
Genetics and genomics,184.0,175.0,158.0,139.0,159.0,145.0,158.0,148.0,172.0,189.0,214.0,16.3
Microbiology and immunology,489.0,487.0,507.0,477.0,439.0,469.0,462.0,436.0,425.0,475.0,495.0,1.2
Molecular biology,299.0,309.0,288.0,245.0,311.0,256.0,244.0,270.0,346.0,363.0,358.0,19.7
Neurobiology and neurosciences,447.0,518.0,516.0,485.0,483.0,467.0,535.0,484.0,417.0,502.0,466.0,4.3
Pharmacology and toxicology,188.0,203.0,164.0,155.0,175.0,159.0,149.0,150.0,147.0,159.0,180.0,-4.3
"Physiology, pathology, and cancer biology",349.0,330.0,352.0,305.0,314.0,339.0,295.0,250.0,274.0,259.0,275.0,-21.2
"Biology and biomedical sciences, other",277.0,274.0,303.0,348.0,327.0,333.0,353.0,329.0,311.0,303.0,283.0,2.2
Computer and information sciences,1502.0,1580.0,1581.0,1662.0,1566.0,1565.0,1711.0,1861.0,1774.0,1959.0,1978.0,31.7
Computer science,1315.0,1360.0,1346.0,1361.0,1300.0,1331.0,1451.0,1572.0,1400.0,1389.0,1462.0,11.2
"Computer and information sciences, other",187.0,220.0,235.0,301.0,266.0,234.0,260.0,289.0,374.0,570.0,516.0,175.9
Engineering,6946.0,7401.0,7578.0,7267.0,7447.0,7710.0,7830.0,7875.0,7575.0,8407.0,8381.0,20.7
"Aerospace, aeronautical, and astronautical engineering",293.0,330.0,308.0,314.0,337.0,337.0,323.0,329.0,310.0,488.0,491.0,67.6
Bioengineering and biomedical engineering,684.0,660.0,698.0,686.0,613.0,687.0,720.0,652.0,630.0,671.0,737.0,7.7
Chemical and petroleum engineering,681.0,817.0,825.0,750.0,794.0,835.0,831.0,851.0,838.0,842.0,891.0,30.8
"Civil, environmental, and transportation engineering",726.0,837.0,843.0,803.0,835.0,809.0,963.0,923.0,789.0,941.0,920.0,26.7
Electrical and computer engineering,2003.0,2044.0,2081.0,1886.0,1928.0,1964.0,1905.0,2015.0,2064.0,2200.0,2128.0,6.2
Industrial engineering and operations research,346.0,372.0,300.0,363.0,363.0,365.0,379.0,399.0,417.0,442.0,406.0,17.3
Materials and mining engineering,646.0,634.0,677.0,746.0,716.0,737.0,720.0,654.0,658.0,794.0,814.0,26
Mechanical engineering,1134.0,1198.0,1336.0,1209.0,1264.0,1379.0,1410.0,1495.0,1300.0,1344.0,1363.0,20.2
"Engineering, other",433.0,509.0,510.0,510.0,597.0,597.0,579.0,557.0,569.0,685.0,631.0,45.7
"Geosciences, atmospheric, and ocean sciences",539.0,622.0,600.0,716.0,657.0,659.0,738.0,736.0,594.0,634.0,676.0,25.4
Geological sciences,278.0,329.0,317.0,369.0,338.0,342.0,392.0,408.0,308.0,338.0,332.0,19.4
"Ocean, marine, and atmospheric sciences",261.0,293.0,283.0,347.0,319.0,317.0,346.0,328.0,286.0,296.0,344.0,31.8
Health sciences,704.0,707.0,697.0,698.0,787.0,799.0,839.0,891.0,718.0,785.0,734.0,4.3
Nursing science ,42.0,44.0,33.0,36.0,62.0,51.0,65.0,73.0,59.0,63.0,57.0,35.7
Pharmaceutical sciences ,174.0,144.0,148.0,145.0,149.0,189.0,182.0,216.0,154.0,179.0,165.0,-5.2
Public health,151.0,161.0,144.0,168.0,226.0,189.0,220.0,201.0,170.0,198.0,170.0,12.6
"Health sciences, other ",337.0,358.0,372.0,349.0,350.0,370.0,372.0,401.0,335.0,345.0,342.0,1.5
Mathematics and statistics,1290.0,1332.0,1296.0,1332.0,1340.0,1471.0,1426.0,1434.0,1453.0,1611.0,1571.0,21.8
Applied mathematics,310.0,349.0,293.0,335.0,355.0,331.0,297.0,296.0,300.0,328.0,325.0,4.8
Mathematics ,508.0,494.0,516.0,272.0,321.0,418.0,337.0,293.0,188.0,186.0,198.0,-61
Statistics,221.0,254.0,230.0,158.0,236.0,254.0,222.0,253.0,326.0,384.0,373.0,68.8
"Mathematics and statistics, other",251.0,235.0,257.0,567.0,428.0,468.0,570.0,592.0,639.0,713.0,675.0,168.9
Physical sciences ,3178.0,3346.0,3328.0,3569.0,3446.0,3552.0,3624.0,3437.0,3156.0,3666.0,3612.0,13.7
Astronomy and astrophysics,204.0,209.0,193.0,218.0,229.0,245.0,251.0,202.0,311.0,360.0,426.0,108.8
Chemistry,1497.0,1642.0,1592.0,1712.0,1676.0,1741.0,1788.0,1668.0,1471.0,1806.0,1713.0,14.4
Physics,1477.0,1495.0,1543.0,1639.0,1541.0,1566.0,1585.0,1567.0,1374.0,1500.0,1473.0,-0.3
Psychology,997.0,1063.0,1057.0,1133.0,1132.0,1095.0,1113.0,1079.0,1063.0,1042.0,985.0,-1.2
Clinical psychology,251.0,278.0,249.0,282.0,282.0,275.0,305.0,285.0,316.0,238.0,251.0,0
Counseling and applied psychology,256.0,272.0,282.0,296.0,282.0,273.0,235.0,271.0,264.0,275.0,234.0,-8.6
Research and experimental psychology,338.0,352.0,369.0,381.0,379.0,370.0,382.0,323.0,294.0,362.0,335.0,-0.9
"Psychology, other ",152.0,161.0,157.0,174.0,189.0,177.0,191.0,200.0,189.0,167.0,165.0,8.6
Social sciences,2527.0,2483.0,2738.0,2642.0,2628.0,2539.0,2553.0,2503.0,2417.0,2534.0,2564.0,1.5
Anthropology,188.0,195.0,185.0,171.0,159.0,126.0,155.0,144.0,120.0,128.0,139.0,-26.1
Economics,767.0,785.0,821.0,819.0,827.0,848.0,818.0,808.0,820.0,850.0,854.0,11.3
Political science and government,469.0,433.0,527.0,462.0,456.0,429.0,433.0,387.0,339.0,398.0,384.0,-18.1
Public policy analysis,155.0,134.0,159.0,121.0,144.0,159.0,138.0,123.0,122.0,120.0,130.0,-16.1
"Sociology, demography, and population studies",268.0,262.0,291.0,274.0,275.0,258.0,239.0,257.0,219.0,236.0,240.0,-10.4
"Social sciences, other  ",680.0,674.0,755.0,795.0,767.0,719.0,770.0,784.0,797.0,802.0,817.0,20.1
Non-science and engineering,5855.0,5667.0,5791.0,5623.0,5565.0,5503.0,5304.0,5377.0,4782.0,4888.0,4935.0,-15.7
Business ,909.0,909.0,934.0,932.0,901.0,863.0,870.0,850.0,793.0,807.0,856.0,-5.8
Education,1570.0,1468.0,1605.0,1545.0,1534.0,1494.0,1419.0,1457.0,1234.0,1276.0,1222.0,-22.2
Education leadership and administration,372.0,371.0,344.0,304.0,348.0,323.0,340.0,349.0,242.0,230.0,253.0,-32
Education research,826.0,723.0,849.0,718.0,778.0,762.0,654.0,674.0,640.0,629.0,578.0,-30
Teacher education and teaching fields,297.0,300.0,330.0,356.0,286.0,289.0,279.0,319.0,234.0,275.0,278.0,-6.4
"Education, other ",75.0,74.0,82.0,167.0,122.0,120.0,146.0,115.0,118.0,142.0,113.0,50.7
Humanities and arts,2806.0,2721.0,2725.0,2605.0,2564.0,2564.0,2478.0,2506.0,2112.0,2184.0,2211.0,-21.2
Letters,665.0,657.0,647.0,600.0,593.0,585.0,560.0,587.0,489.0,504.0,558.0,-16.1
Foreign languages and literature,271.0,248.0,238.0,228.0,239.0,247.0,215.0,223.0,170.0,177.0,171.0,-36.9
History,609.0,625.0,594.0,587.0,560.0,513.0,529.0,510.0,409.0,395.0,424.0,-30.4
Philosophy and religious studies,570.0,537.0,565.0,464.0,537.0,523.0,442.0,462.0,385.0,416.0,395.0,-30.7
Music and performing arts,300.0,288.0,278.0,239.0,252.0,262.0,271.0,298.0,257.0,256.0,254.0,-15.3
"Humanities and arts, other",391.0,366.0,403.0,487.0,383.0,434.0,461.0,426.0,402.0,436.0,409.0,4.6
Other non-science and engineering,570.0,569.0,527.0,541.0,566.0,582.0,537.0,564.0,643.0,621.0,646.0,13.3
Communication,244.0,277.0,256.0,261.0,200.0,234.0,205.0,228.0,213.0,197.0,238.0,-2.5
Public administration and social services,142.0,129.0,110.0,130.0,150.0,157.0,160.0,164.0,163.0,154.0,148.0,4.2
"Non-science and engineering, other",184.0,163.0,161.0,150.0,216.0,191.0,172.0,172.0,267.0,270.0,260.0,41.3
Female,24365.0,24813.0,25347.0,25222.0,25086.0,25308.0,25484.0,25353.0,24105.0,26986.0,27499.0,12.9
Science and engineering,16603.0,17228.0,17501.0,17346.0,17470.0,17886.0,18088.0,18092.0,17548.0,19832.0,20106.0,21.1
Agricultural sciences and natural resources,661.0,660.0,724.0,651.0,755.0,726.0,763.0,762.0,709.0,790.0,808.0,22.2
Agricultural sciences,423.0,409.0,440.0,389.0,456.0,460.0,490.0,507.0,476.0,516.0,553.0,30.7
Natural resources and conservation,238.0,251.0,284.0,262.0,299.0,266.0,273.0,255.0,233.0,274.0,255.0,7.1
Biological and biomedical sciences,4646.0,4747.0,4682.0,4707.0,4477.0,4700.0,4485.0,4520.0,4319.0,4996.0,5323.0,14.6
Biochemistry and biophysics,469.0,477.0,419.0,472.0,446.0,463.0,407.0,396.0,375.0,462.0,443.0,-5.5
"Biology and biomedical sciences, general",370.0,375.0,378.0,625.0,431.0,477.0,503.0,603.0,529.0,707.0,762.0,105.9
"Bioinformatics, biostatistics, and computational biology",152.0,189.0,173.0,192.0,238.0,237.0,242.0,262.0,257.0,321.0,356.0,134.2
"Cellular and developmental biology, and anatomy",303.0,326.0,343.0,259.0,207.0,216.0,229.0,180.0,109.0,105.0,130.0,-57.1
"Ecology, evolutionary biology, and epidemiology",594.0,541.0,568.0,585.0,596.0,612.0,594.0,574.0,574.0,662.0,687.0,15.7
Genetics and genomics,212.0,226.0,200.0,199.0,185.0,218.0,183.0,199.0,203.0,226.0,245.0,15.6
Microbiology and immunology,653.0,644.0,661.0,565.0,537.0,573.0,547.0,565.0,547.0,613.0,597.0,-8.6
Molecular biology,347.0,357.0,344.0,304.0,323.0,340.0,311.0,305.0,394.0,434.0,492.0,41.8
Neurobiology and neurosciences,569.0,528.0,573.0,512.0,501.0,566.0,498.0,488.0,494.0,544.0,620.0,9
Pharmacology and toxicology,230.0,255.0,216.0,182.0,196.0,202.0,201.0,175.0,164.0,227.0,229.0,-0.4
"Physiology, pathology, and cancer biology",373.0,453.0,422.0,381.0,369.0,351.0,342.0,321.0,288.0,323.0,333.0,-10.7
"Biology and biomedical sciences, other",374.0,376.0,385.0,431.0,448.0,445.0,428.0,452.0,385.0,372.0,429.0,14.7
Computer and information sciences,341.0,400.0,422.0,420.0,432.0,434.0,508.0,502.0,586.0,648.0,709.0,107.9
Computer science,253.0,299.0,312.0,289.0,292.0,296.0,363.0,381.0,408.0,433.0,475.0,87.7
"Computer and information sciences, other",88.0,101.0,110.0,131.0,140.0,138.0,145.0,121.0,178.0,215.0,234.0,165.9
Engineering,2052.0,2184.0,2297.0,2189.0,2321.0,2450.0,2466.0,2591.0,2654.0,3112.0,3022.0,47.3
"Aerospace, aeronautical, and astronautical engineering",55.0,55.0,53.0,56.0,43.0,46.0,56.0,70.0,62.0,98.0,95.0,72.7
Bioengineering and biomedical engineering,355.0,384.0,427.0,403.0,419.0,445.0,443.0,430.0,432.0,557.0,565.0,59.2
Chemical and petroleum engineering,296.0,324.0,361.0,329.0,310.0,333.0,363.0,340.0,366.0,417.0,354.0,19.6
"Civil, environmental, and transportation engineering",297.0,319.0,370.0,284.0,379.0,369.0,354.0,381.0,388.0,449.0,448.0,50.8
Electrical and computer engineering,340.0,389.0,356.0,356.0,390.0,429.0,354.0,446.0,446.0,522.0,525.0,54.4
Industrial engineering and operations research,128.0,137.0,136.0,136.0,121.0,127.0,126.0,168.0,163.0,170.0,172.0,34.4
Materials and mining engineering,226.0,217.0,228.0,268.0,246.0,281.0,295.0,247.0,292.0,367.0,345.0,52.7
Mechanical engineering,202.0,205.0,212.0,208.0,232.0,229.0,267.0,282.0,284.0,306.0,290.0,43.6
"Engineering, other",153.0,154.0,154.0,149.0,181.0,191.0,208.0,227.0,221.0,226.0,228.0,49
"Geosciences, atmospheric, and ocean sciences",449.0,475.0,457.0,510.0,512.0,526.0,533.0,505.0,470.0,547.0,554.0,23.4
Geological sciences,211.0,250.0,237.0,248.0,234.0,249.0,229.0,265.0,235.0,238.0,260.0,23.2
"Ocean, marine, and atmospheric sciences",238.0,225.0,220.0,262.0,278.0,277.0,304.0,240.0,235.0,309.0,294.0,23.5
Health sciences,1405.0,1523.0,1523.0,1550.0,1655.0,1674.0,1693.0,1715.0,1532.0,1688.0,1701.0,21.1
Nursing science ,468.0,536.0,503.0,446.0,490.0,533.0,481.0,517.0,454.0,473.0,497.0,6.2
Pharmaceutical sciences ,158.0,132.0,122.0,129.0,143.0,155.0,176.0,166.0,175.0,192.0,193.0,22.2
Public health,350.0,402.0,497.0,526.0,543.0,513.0,548.0,513.0,445.0,515.0,512.0,46.3
"Health sciences, other ",429.0,453.0,401.0,449.0,479.0,473.0,488.0,519.0,458.0,508.0,499.0,16.3
Mathematics and statistics,527.0,534.0,517.0,539.0,503.0,548.0,584.0,590.0,557.0,636.0,595.0,12.9
Applied mathematics,145.0,125.0,142.0,139.0,138.0,123.0,130.0,123.0,126.0,132.0,135.0,-6.9
Mathematics ,133.0,141.0,119.0,77.0,71.0,106.0,108.0,85.0,47.0,40.0,33.0,-75.2
Statistics,143.0,153.0,150.0,107.0,132.0,157.0,143.0,149.0,162.0,212.0,201.0,40.6
"Mathematics and statistics, other",106.0,115.0,106.0,216.0,162.0,162.0,203.0,233.0,222.0,252.0,226.0,113.2
Physical sciences ,1415.0,1449.0,1530.0,1453.0,1466.0,1589.0,1679.0,1561.0,1552.0,1802.0,1847.0,30.5
Astronomy and astrophysics,97.0,79.0,76.0,97.0,110.0,106.0,110.0,103.0,145.0,161.0,177.0,82.5
Chemistry,985.0,1021.0,1074.0,991.0,1022.0,1066.0,1151.0,1091.0,1081.0,1254.0,1287.0,30.7
Physics,333.0,349.0,380.0,365.0,334.0,417.0,418.0,367.0,326.0,387.0,383.0,15
Psychology,2594.0,2648.0,2719.0,2776.0,2793.0,2726.0,2796.0,2789.0,2714.0,2910.0,2913.0,12.3
Clinical psychology,888.0,934.0,924.0,924.0,911.0,985.0,944.0,993.0,925.0,897.0,957.0,7.8
Counseling and applied psychology,709.0,652.0,752.0,705.0,737.0,730.0,743.0,709.0,765.0,797.0,767.0,8.2
Research and experimental psychology,631.0,654.0,605.0,685.0,655.0,582.0,660.0,558.0,540.0,704.0,668.0,5.9
"Psychology, other ",366.0,408.0,438.0,462.0,490.0,429.0,449.0,529.0,484.0,512.0,521.0,42.3
Social sciences,2513.0,2608.0,2630.0,2551.0,2556.0,2513.0,2581.0,2557.0,2455.0,2703.0,2634.0,4.8
Anthropology,362.0,328.0,307.0,289.0,287.0,298.0,290.0,303.0,279.0,287.0,250.0,-30.9
Economics,416.0,404.0,434.0,417.0,410.0,396.0,429.0,404.0,408.0,437.0,435.0,4.6
Political science and government,333.0,341.0,332.0,283.0,287.0,304.0,274.0,249.0,242.0,278.0,281.0,-15.6
Public policy analysis,193.0,193.0,214.0,170.0,148.0,164.0,149.0,183.0,147.0,186.0,169.0,-12.4
"Sociology, demography, and population studies",395.0,448.0,471.0,376.0,429.0,437.0,411.0,373.0,359.0,388.0,387.0,-2
"Social sciences, other  ",814.0,894.0,872.0,1016.0,995.0,914.0,1028.0,1045.0,1020.0,1127.0,1112.0,36.6
Non-science and engineering,7762.0,7585.0,7846.0,7876.0,7616.0,7422.0,7396.0,7261.0,6557.0,7154.0,7393.0,-4.8
Business ,641.0,669.0,648.0,575.0,664.0,607.0,659.0,616.0,596.0,640.0,704.0,9.8
Education,3364.0,3311.0,3492.0,3601.0,3289.0,3323.0,3209.0,3254.0,3004.0,3195.0,3340.0,-0.7
Education leadership and administration,593.0,522.0,576.0,520.0,573.0,572.0,495.0,579.0,459.0,489.0,482.0,-18.7
Education research,1877.0,1828.0,1922.0,1666.0,1639.0,1737.0,1650.0,1634.0,1558.0,1645.0,1746.0,-7
Teacher education and teaching fields,704.0,766.0,779.0,990.0,752.0,766.0,782.0,732.0,670.0,721.0,742.0,5.4
