Table 9-18,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Government,9.5,D,D,13.9,12.3
Industry or businesse,16.5,11.1,12.7,20.3,21
Nonprofit organization,7.3,D,D,15.2,4.9
Other or unknownf,5.9,1.5,11.4,8.9,5.6
Primary activityg,,,,,
Research and development,24.6,D,D,32.9,32.7
Teaching,46.2,64.4,48.7,27.4,38
Management or administration,8.6,D,D,12.3,6
Professional services and other,20.6,12.9,22.4,27.4,23.3
Secondary activityg,,,,,
Research and development,39.2,53.8,23.7,30.1,38.7
Teaching,14.8,11.4,10.5,21.9,16.7
Management or administration,12.3,6.8,10.5,19.2,14.7
Professional services and other,8.8,D,13.2,D,10
No secondary activity,24.8,21.2,42.1,23.3,20
Activity unknown,5.3,2.2,3.8,7.6,7.4
Postgraduation location (%)h,,,,,
United Statesi,87.8,89.4,89.4,88.5,85.3
Midwest,18.6,21.7,20.2,17.7,15.7
Northeast,18.6,11.8,26.6,24,17.8
South,32.7,38.5,22.3,26,36
West,16.8,15.5,20.2,19.8,14.7
Outside the United States,12,10.6,10.6,11.5,14.2
Location unknown,0.2,0,0,0,0.5
Postgraduation location in same state as doctorate institution (%),35.8,31.1,52.1,40.6,29.4
Female doctorate recipients reporting postgraduation status (number),1183,341,188,337,317
Definite postdoctoral training plans,14,11.4,12.2,16,15.8
Definite employment plans,56.5,58.9,59,59.1,49.5
Seeking employment or study,27,27.6,25,23.7,30.9
Other statusa,2.5,2.1,3.7,1.2,3.8
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,94,92.3,91.3,96.3,94
Other training or unknownc,6,7.7,8.7,3.7,6
Definite employment plans (%)d,,,,,
Academe,61.1,75.1,59.5,51.3,56.7
In tenure track faculty position (%),53.7,56.3,25.8,61.8,60.7
Not in tenure track position (%),45.6,42.4,72.7,38.2,39.3
Government,9,D,D,14.6,10.8
Industry or businesse,14.2,9,19.8,14.6,16.6
Nonprofit organization,9.9,D,D,12.6,11.5
Other or unknownf,5.8,4,9,7,4.5
Primary activityg,,,,,
Research and development,27,D,D,37.5,28.4
Teaching,42.9,60.2,45.3,25.5,40.6
Management or administration,7.2,D,D,6,7.1
Professional services and other,22.8,11.5,27.4,31,23.9
Secondary activityg,,,,,
Research and development,36.9,47.6,32.1,27.2,38.7
Teaching,17,14.7,14.2,25,12.3
Management or administration,13.8,8.4,11.3,22.8,11.6
Professional services and other,5.5,D,4.7,D,6.5
No secondary activity,26.7,22,37.7,21.7,31
Activity unknown,4.8,5,4.5,7.5,1.3
Postgraduation location (%)h,,,,,
United Statesi,92.8,94.6,93.3,92.9,90.3
Midwest,17.1,16.3,15.7,19.8,15.9
Northeast,19.8,18.3,20.1,21.3,19.3
South,36.1,36.7,35.8,36,35.7
West,18.5,21.3,20.9,14.6,18.4
Outside the United States,7.1,5.4,6.7,6.7,9.7
Location unknown,0.1,0,0,0.4,0
Postgraduation location in same state as doctorate institution (%),37.5,28.3,52.2,38.7,37.2
