Table 7-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"U. South Carolina, Columbia",17,30,7,23
"U. Alabama, Birmingham",20,29,9,20
"U. Cincinnati, Uptown West Campus",20,29,15,14
 Mathematics and statistics,-,2056,1480,575
From top 20 institutions,-,658,485,173
North Carolina State U.,1,47,27,20
"U. Michigan, Ann Arbor",2,45,30,15
"Purdue U., West Lafayette",3,40,28,12
Stanford U.,4,37,31,6
"U. Illinois, Urbana-Champaign",5,36,23,13
"U. California, Berkeley",6,35,31,4
"U. California, Los Angeles",7,34,28,6
"Ohio State U., Columbus",8,33,28,5
U. Wisconsin-Madison,9,32,22,10
Stony Brook U.,10,31,22,9
Iowa State U.,11,30,19,11
Pennsylvania State U.,11,30,21,9
Princeton U.,11,30,23,7
Florida State U.,14,29,19,10
"Texas A&M U., College Station",14,29,20,9
"U. California, Davis",14,29,25,4
"U. Connecticut, Storrs",17,28,24,4
"U. Maryland, College Park",17,28,23,5
"U. Washington, Seattle",17,28,17,11
U. Chicago,20,27,24,3
 Multidisciplinary/ interdisciplinary sciences,-,1704,1044,660
From top 20 institutions,-,601,380,221
Massachusetts Institute of Technology,1,60,39,21
"U. California, Berkeley",2,54,33,21
Carnegie Mellon U.,3,49,32,17
"U. Michigan, Ann Arbor",4,45,23,22
"U. Washington, Seattle",5,40,27,13
Georgia Institute of Technology,6,34,23,11
Stanford U.,6,34,25,9
Pennsylvania State U.,8,26,15,11
"SUNY, U. Buffalo",8,26,21,5
"U. California, San Diego",8,26,14,12
George Mason U.,11,25,17,8
"U. Illinois, Urbana-Champaign",12,24,14,10
"Purdue U., West Lafayette",13,22,11,11
"Arizona State U., Tempe",14,21,12,9
"U. Minnesota, Twin Cities",14,21,12,9
New York U.,16,20,17,3
"U. Texas, Austin",17,19,13,6
Virginia Polytechnic Institute and State U.,17,19,13,6
"U. California, Irvine",19,18,9,9
U. Wisconsin-Madison,19,18,10,8
 Physical sciences,-,5443,3594,1848
From top 20 institutions,-,1633,1108,525
"U. California, Berkeley",1,116,71,45
Massachusetts Institute of Technology,2,107,77,30
Stanford U.,3,106,74,32
"U. Michigan, Ann Arbor",4,104,71,33
Harvard U.,5,102,59,43
California Institute of Technology,6,87,54,33
U. Wisconsin-Madison,7,86,57,29
"Purdue U., West Lafayette",8,83,56,27
"U. Minnesota, Twin Cities",9,81,53,28
"Ohio State U., Columbus",10,80,57,23
U. Arizona,11,78,56,22
Princeton U.,12,72,47,25
"U. Illinois, Urbana-Champaign",13,69,52,17
U. Colorado Boulder,14,68,50,18
U. Chicago,15,67,47,20
"U. Maryland, College Park",16,66,51,15
"U. Texas, Austin",16,66,41,25
"U. California, Davis",18,65,41,24
"U. California, Santa Barbara",18,65,47,18
U. Florida,18,65,47,18
 Psychology,-,3793,885,2907
From top 20 institutions,-,985,222,762
Walden U.,1,184,38,146
Palo Alto U.,2,70,17,53
Fielding Graduate U.,3,57,14,43
"CUNY, Graduate Center",4,55,12,43
Pennsylvania State U.,5,53,8,45
U. Houston,6,45,10,35
"U. Minnesota, Twin Cities",6,45,9,35
"Alliant International U., San Diego",8,41,10,31
U. Georgia,9,40,11,29
Florida State U.,10,39,10,29
"U. Texas, Austin",10,39,12,27
"Texas A&M U., College Station",12,38,7,31
"Ohio State U., Columbus",13,37,12,25
"U. California, Los Angeles",13,37,7,30
Fordham U.,15,36,6,30
"Carlos Albizu U., San Juan",16,35,8,27
Texas Tech U.,16,35,9,26
U. Kansas,18,34,8,26
U. Florida,19,33,9,24
"U. Missouri, Columbia",20,32,5,27
 Social sciences,-,4992,2432,2558
From top 20 institutions,-,1606,820,786
Harvard U.,1,133,69,64
"U. California, Los Angeles",2,111,54,57
"U. California, Berkeley",3,106,59,47
U. Chicago,4,92,58,34
"U. Texas, Austin",5,87,35,52
Columbia U. in the City of New York,6,83,44,39
"U. Michigan, Ann Arbor",7,80,38,42
Princeton U.,8,78,44,34
"U. California, Davis",8,78,34,44
U. Pennsylvania,8,78,42,36
Stanford U.,11,77,36,41
U. Southern California,11,77,38,39
Cornell U.,13,68,39,29
"Ohio State U., Columbus",13,68,32,36
U. Wisconsin-Madison,13,68,31,37
"CUNY, Graduate Center",16,65,40,25
"U. North Carolina, Chapel Hill",16,65,28,37
Northwestern U.,18,64,28,36
Walden U.,18,64,37,27
Yale U.,18,64,34,30
Non-science and engineering,-,11889,4876,7013
From top 20 institutions,-,2937,1180,1757
Walden U.,1,215,66,149
Texas Tech U.,2,180,67,113
"U. Texas, Austin",3,174,67,107
"Ohio State U., Columbus",4,172,63,109
U. Wisconsin-Madison,5,159,58,101
U. Georgia,6,155,51,104
"U. California, Los Angeles",7,152,53,99
"U. Minnesota, Twin Cities",8,150,54,96
Harvard U.,9,146,78,68
Pennsylvania State U.,9,146,52,94
"U. Michigan, Ann Arbor",11,136,58,78
Florida State U.,12,135,58,77
U. Florida,12,135,58,77
"Indiana U., Bloomington",14,134,62,72
Columbia U. in the City of New York,15,129,51,78
"CUNY, Graduate Center",16,127,60,67
"U. Illinois, Urbana-Champaign",17,125,43,82
U. Chicago,18,124,69,55
New York U.,19,122,56,66
"U. California, Berkeley",20,121,56,65
 Business,-,1510,822,688
From top 20 institutions,-,524,294,230
Walden U.,1,47,29,18
"U. Maryland, College Park",2,26,12,14
"Oklahoma State U., Stillwater",3,25,15,10
Pennsylvania State U.,3,25,10,15
U. Florida,5,23,16,7
"U. Texas, Dallas",5,23,16,7
Iowa State U.,7,21,11,10
U. Pennsylvania,7,21,15,6
"U. Washington, Seattle",7,21,12,9
New York U.,10,20,15,5
Stanford U.,10,20,12,8
"Texas A&M U., College Station",10,20,12,8
"U. Texas, Austin",10,20,17,3
Columbia U. in the City of New York,14,19,10,9
"U. Minnesota, Twin Cities",14,19,10,9
"Purdue U., West Lafayette",16,18,9,9
"Rutgers, State U. New Jersey, Newark",16,18,5,13
"U. California, Los Angeles",16,18,8,10
U. Georgia,16,18,7,11
Harvard U.,20,17,8,9
Michigan State U.,20,17,9,8
"U. California, Berkeley",20,17,9,8
"U. Illinois, Urbana-Champaign",20,17,9,8
"U. North Texas, Denton",20,17,9,8
"U. Texas, Arlington",20,17,9,8
 Education,-,3988,1089,2899
From top 20 institutions,-,1075,294,781
Texas Tech U.,1,104,30,74
Walden U.,2,87,16,71
U. Georgia,3,75,20,55
"Ohio State U., Columbus",4,63,16,47
Pennsylvania State U.,5,61,18,43
U. Wisconsin-Madison,6,59,15,44
"U. Minnesota, Twin Cities",7,58,15,43
"Teachers C., Columbia U.",8,55,20,35
Michigan State U.,9,51,14,37
U. Florida,10,50,16,34
"U. California, Los Angeles",11,46,11,35
"U. North Texas, Denton",12,45,14,31
Florida State U.,13,43,10,33
North Carolina State U.,13,43,13,30
"SUNY, U. Buffalo",13,43,11,32
Old Dominion U.,16,39,9,30
"Rutgers, State U. New Jersey, New Brunswick",16,39,6,33
"U. Texas, Austin",16,39,15,24
"U. South Florida, Tampa",19,38,10,28
U. Kentucky,20,37,15,22
 Humanities,-,3358,1731,1627
From top 20 institutions,-,1016,539,477
U. Chicago,1,80,53,27
Harvard U.,2,70,43,27
Princeton U.,3,60,33,27
"U. Michigan, Ann Arbor",4,58,30,28
"CUNY, Graduate Center",5,52,27,25
"U. Texas, Austin",6,51,16,35
Yale U.,6,51,23,28
Midwestern Baptist Theological Seminary,8,50,50,0
"Ohio State U., Columbus",9,48,21,27
U. Wisconsin-Madison,9,48,21,27
Columbia U. in the City of New York,11,46,25,21
"U. California, Berkeley",11,46,21,25
"Emory U., Atlanta",13,45,16,29
New York U.,14,42,19,23
"U. California, Los Angeles",14,42,18,24
"Indiana U., Bloomington",16,40,19,21
U. Pennsylvania,16,40,19,21
Stanford U.,18,39,19,20
Duke U.,19,36,20,16
Florida State U.,19,36,22,14
U. Notre Dame,19,36,24,12
 Visual and performing arts,-,824,356,468
From top 20 institutions,-,471,201,270
"Arizona State U., Tempe",1,35,16,19
U. Miami,1,35,16,19
"CUNY, Graduate Center",3,30,14,16
Northwestern U.,4,27,13,14
U. Colorado Boulder,5,26,16,10
Harvard U.,6,25,10,15
New York U.,7,23,9,14
"U. California, Los Angeles",8,22,9,13
Florida State U.,9,20,7,13
"U. California, Berkeley",10,19,6,13
Columbia U. in the City of New York,11,18,5,13
"Indiana U., Bloomington",11,18,8,10
U. Chicago,11,18,5,13
"U. California, Santa Barbara",14,17,8,9
Yale U.,15,16,6,10
U. Southern California,16,15,6,9
"Ohio State U., Columbus",17,14,4,10
Princeton U.,17,14,7,7
U. Pennsylvania,17,14,4,10
Texas Tech U.,20,13,5,8
"U. California, Irvine",20,13,7,6
"U. California, Santa Cruz",20,13,4,9
"U. Pittsburgh, Pittsburgh",20,13,8,5
U. Rochester,20,13,8,5
 Other non-science and engineering,-,2209,878,1331
From top 20 institutions,-,742,296,446
Walden U.,1,77,19,58
"U. Texas, Austin",2,52,17,35
"U. Illinois, Urbana-Champaign",3,40,10,30
"U. North Carolina, Chapel Hill",4,37,14,23
U. Southern California,5,36,17,19
U. Kansas,6,35,16,19
"U. Michigan, Ann Arbor",7,33,12,21
"Ohio State U., Columbus",8,31,11,20
New York U.,9,29,11,18
U. Florida,9,29,12,17
U. Wisconsin-Madison,9,29,13,16
"Indiana U., Bloomington",12,28,18,10
"U. Minnesota, Twin Cities",12,28,12,16
"U. California, Berkeley",14,27,16,11
U. Georgia,14,27,7,20
"Arizona State U., Tempe",16,26,7,19
Michigan State U.,16,26,12,14
Pennsylvania State U.,16,26,10,16
U. Pennsylvania,16,26,13,13
Florida State U.,20,25,12,13
Harvard U.,20,25,16,9
"U. Missouri, Columbia",20,25,10,15
"U. Washington, Seattle",20,25,11,14
