Table 8-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Unknown,11.6,12.5,9.4,9.9,11.4,11.4,5,12.2,12.6,13,17.7
Has dependent age 18 or younger (%),15.7,13.3,8.9,12.1,22.3,17.4,17.4,18.2,13.3,14.8,20.1
Has one or more functional limitations (%),9.3,6.6,12.6,11,9.3,8.5,8.9,8.4,11,8.2,8.8
Age at doctorate (median years),30.3,29.8,29.6,29.3,31.4,30.8,31,30.8,29.4,30.2,30.8
Bachelor's in same field as doctorate (%)b,80.1,85.8,72,85.3,87,78,74.5,65.3,72.8,89.8,74.1
Master's earned (%),75.3,82.7,54.4,55.2,92.2,82.4,85,82.8,62.6,78.6,77
Master's earned at same doctorate institution (%),50.6,59.9,53.2,51.8,44,52.2,43.4,47.9,46.3,53.3,50
Time to doctorate (median years),,,,,,,,,,,
Years since earning bachelor's degree,7.6,7.2,7,6.7,8.4,8.2,8.2,8,6.9,7.4,8
From graduate school start,6.7,6.6,6.1,6,7.3,7,7.3,6.9,6,6.5,6.8
From doctoral program startc,5.3,5.3,5.3,5.3,5,5.5,5.3,5,5,5.3,5.3
Received tuition remission (%),86,81,88.5,88,87.1,84.9,82.6,81.7,86.7,88.4,83.7
Female doctorate recipients (number),2851,95,570,356,416,400,85,191,263,275,200
Citizenship status (%),,,,,,,,,,,
U.S. citizen or permanent resident,47.9,54.7,64.4,50,43.8,29,38.8,41.4,50.2,48.4,46.5
Temporary visa holder,46.1,36.8,30.9,44.4,50,63.3,58.8,51.8,44.9,45.5,45.5
Unknown,6.1,8.4,4.7,5.6,6.3,7.8,2.4,6.8,4.9,6.2,8
Marital status (%),,,,,,,,,,,
Never married,43.5,40,48.8,50.8,36.8,41.8,35.3,35.1,50.6,44,36
Married,33,25.3,27,29.8,40.4,37.8,42.4,36.6,26.6,34.9,32.5
Marriage-like relationship,9,D,D,D,7.5,5,10.6,8.4,D,D,10
"Separated, divorced, widowed",1.7,D,D,D,2.6,1.5,7.1,3.7,D,D,2.5
Unknown,12.8,14.7,10,11,12.7,14,4.7,16.2,12.5,14.5,19
Has dependent age 18 or younger (%),10.3,6.2,7.8,6.9,12.4,13.4,17.3,14.8,6.9,9.7,13.6
Has one or more functional limitations (%),12.6,11.3,12.3,12.8,12.7,10.2,11.3,15,11,15.5,15.7
Age at doctorate (median years),29.6,29.3,29.1,28.8,30.6,30.1,31,30.6,28.9,29.3,30.5
Bachelor's in same field as doctorate (%)b,73.5,80.5,72.9,81.2,76.7,75.6,54.2,54,67.6,84.7,67.6
Master's earned (%),71.7,87.8,52.8,55.1,88.4,85.4,80.7,85.6,58.3,81.5,74.6
Master's earned at same doctorate institution (%),52.8,68.1,52.2,53.4,41.4,54.8,38.8,54.4,51.1,67.5,53.2
Time to doctorate (median years),,,,,,,,,,,
Years since earning bachelor's degree,7.1,7,6.8,6.3,8.4,7.5,8.2,8.1,6.5,7,7.3
From graduate school start,6.3,6.4,6,5.8,7,7,7.4,7.2,5.8,6.3,6.8
From doctoral program startc,5.3,5.6,5.3,5.1,5,5.3,5.3,5.1,5,5.3,5
Received tuition remission (%),87.9,81.7,86.8,89.6,92.2,88.6,80.5,88.3,86.3,88.4,84.8
