Table 1-12,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Health sciences, , , , , , , , , , , 
Since earning bachelor's,8.3,8.7,11.2,13,14.5,14.9,13.6,12.6,11.9,11,11
Since starting graduate school,6.7,7.2,9.5,10.8,11.8,11.7,10.9,9.7,9.2,8.9,8.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5,5
Mathematics and statistics, , , , , , , , , , , 
Since earning bachelor's,7,7.2,7.3,8.2,8.6,8,8,7.6,7,6.8,7
Since starting graduate school,6.2,6.2,6.7,6.9,7.2,6.7,6.9,6.7,6.3,6.2,6
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.3,5.3
Physical sciences , , , , , , , , , , , 
Since earning bachelor's,6.6,6.9,6.7,6.9,7.6,7.2,7.2,7.2,7,6.6,6.7
Since starting graduate school,5.9,5.9,5.9,6,6.7,6.2,6.2,6.3,6.2,6,6
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.7
Psychology, , , , , , , , , , , 
Since earning bachelor's,6.7,7.5,9,10.2,10,9.2,9.2,8.6,8.4,8.3,8.5
Since starting graduate school,5.9,6.2,7.7,8.3,8.2,7.3,7.2,6.9,6.9,6.9,6.9
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.9,5.9
Social sciences, , , , , , , , , , , 
Since earning bachelor's,8.4,9,10,11.1,11,10.6,10.9,10.4,10.3,10.2,10.3
Since starting graduate school,7.4,7.9,8.7,9.4,9.2,8.7,9,8.7,8.6,8.7,8.7
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,6,6
Non-science and engineering, , , , , , , , , , , 
Since earning bachelor's,10.9,11.6,13,14.9,16,15,14,13.7,12.2,12.2,12.3
Since starting graduate school,8.9,9.7,10.9,12.3,12.7,11.7,11.2,10.7,9.9,10,10
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,6,5.9
Business , , , , , , , , , , , 
Since earning bachelor's,9,10,11.1,11.8,12,12.6,12.6,11.3,11.1,10.4,10.3
Since starting graduate school,7.2,8,9,9.2,9.7,9.7,9.9,8.4,8.7,8.9,8.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5,5
Education, , , , , , , , , , , 
Since earning bachelor's,12.6,12.9,14.2,17,19.3,20,18.1,17,15,14.7,15
Since starting graduate school,9.9,10.2,11.7,13.9,15.7,15,13.2,12.7,11.7,11.9,12
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.8,5.6
Humanities and arts, , , , , , , , , , , 
Since earning bachelor's,9.3,10.4,11.3,12.3,12.1,11.7,11.5,11.4,11,11,11.3
Since starting graduate school,8.4,9.3,9.9,10.7,10.2,9.7,9.7,9.3,9.3,9.4,9.7
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,6.8,6.8
Other non-science and engineering, , , , , , , , , , , 
Since earning bachelor's,11.6,11,12.6,14.8,15.5,15,13.5,12.8,11.9,12,12
Since starting graduate school,9.2,8.7,10.3,12.2,12.2,10.9,10.7,10,9.6,9.8,9.4
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.3
