Table 9-15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Other training or unknownc,3,4.5,6.9,2.4,1,7.7
Definite employment plans (%)d,,,,,,
Academe,62.5,71.1,77.1,58.6,63,43.9
In tenure track faculty position (%),31,32.2,28.4,29.2,30.9,34.4
Not in tenure track position (%),67,67.8,68.9,67.4,67,62.3
Government,5,2.5,0,13.8,D,D
Industry or businesse,8.8,11.4,D,5.9,D,D
Nonprofit organization,13.3,5,D,8.6,D,39.6
Other or unknownf,10.4,10,15.6,13.2,8.4,6.5
Primary activityg,,,,,,
Research and development,9.6,4.1,6.5,19.2,11.6,6.8
Teaching,64.6,67.7,82.6,61.6,61,54.5
Management or administration,4.5,4.6,0,3.4,6.8,6.1
Professional services and other,21.4,23.6,10.9,15.8,20.5,32.6
Secondary activityg,,,,,,
Research and development,35.7,33.8,56.5,29.5,39.7,26.5
Teaching,10.4,6.2,D,8.2,D,19.7
Management or administration,9,9.7,D,10.3,8.2,D
Professional services and other,7.7,7.7,D,6.2,D,D
No secondary activity,37.1,42.6,28.3,45.9,31.5,31.8
Activity unknown,4.2,3,4.2,3.9,5.2,5
Postgraduation location (%)h,,,,,,
United Statesi,87.8,91.8,D,89.4,83.2,D
Midwest,19.2,18.4,24,21.6,16.4,17.8
Northeast,19.6,21.6,22.4,19.5,22.4,9.9
South,31.9,34.3,23.2,32.6,24,47.4
West,16,16.3,D,15.3,19.6,D
Outside the United States,12.1,7.8,D,10.6,16.8,D
Location unknown,0.1,0.4,0,0,0,0
Postgraduation location in same state as doctorate institution (%),37.9,41.2,39.2,44.1,30.4,34.2
Female doctorate recipients reporting postgraduation status (number),1449,550,295,307,193,104
Definite postdoctoral training plans,15.7,12.2,13.6,22.8,21.2,9.6
Definite employment plans,50.4,53.1,51.9,45.6,47.2,52.9
Seeking employment or study,29.3,31.3,29.8,25.4,28,30.8
Other statusa,4.3,3.3,4.7,5.9,3.1,5.8
Definite postdoctoral training plans (%)b,,,,,,
Postdoc fellowship or research associateship,93.9,86.6,97.5,94.3,D,D
Other training or unknownc,6.1,13.4,2.5,5.7,D,D
Definite employment plans (%)d,,,,,,
Academe,72,75.7,73.9,64.3,73.6,63.6
In tenure track faculty position (%),35.4,35.3,30.1,40,43.3,25.7
Not in tenure track position (%),62.4,62.9,67.3,56.7,56.7,68.6
Government,2.9,D,D,4.3,D,D
Industry or businesse,8.6,D,8.5,10,D,D
Nonprofit organization,9.7,5.1,D,15.7,D,21.8
Other or unknownf,6.8,6.5,11.1,5.7,6.6,0
Primary activityg,,,,,,
Research and development,11.2,9.5,6.9,17.6,14.9,9.6
Teaching,63.2,63.6,77.9,50.7,63.2,51.9
Management or administration,7.1,7.1,4.1,7.4,9.2,11.5
Professional services and other,18.5,19.8,11,24.3,12.6,26.9
Secondary activityg,,,,,,
Research and development,39.8,33.6,46.9,42.6,46,36.5
Teaching,10.4,11,D,8.8,D,23.1
Management or administration,10.7,12.4,D,11.8,8,D
Professional services and other,5.1,5.3,D,5.1,D,D
No secondary activity,34,37.8,34.5,31.6,27.6,28.8
Activity unknown,3.8,3.1,5.2,2.9,4.4,5.5
Postgraduation location (%)h,,,,,,
United Statesi,91.3,95,D,90,87.9,D
Midwest,18.6,19.5,16.1,19.5,15.9,23.1
Northeast,26.2,22,32.1,26.2,29.5,24.6
South,29.6,37,21.2,28.1,26.5,24.6
West,16.4,15.9,D,16.2,14.4,D
Outside the United States,8.3,5,D,9.5,11.4,D
Location unknown,0.3,0,0.5,0.5,0.8,0
Postgraduation location in same state as doctorate institution (%),40.9,44.6,37.3,41.4,32.6,46.2
