Table 8-4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Has dependent age 18 or younger (%),14.2,12.5,12.5,12.5,12.5,17.1,13.6,12.8,10.9,17.8,20,18.8
Has one or more functional limitations (%),13.3,13.8,12.9,11.9,11.2,13.2,13.9,14.2,13,13.5,13.7,14.4
Age at doctorate (median years),30.8,30.3,30.5,31,30.8,32,30.6,30.3,30.8,30.3,31.1,31.6
Bachelor's in same field as doctorate (%)b,62.3,59.5,41,71.7,80,62.3,71.4,79,56,60.2,52.7,60.1
Master's earned (%),45,36,60.1,43.6,33.9,64.2,33.8,33.2,38.9,48.8,55.9,53.8
Master's earned at same doctorate institution (%),36.5,40.1,40.6,35.1,33.7,33.8,35.2,31.9,44.3,42,33.3,27.9
Time to doctorate (median years),,,,,,,,,,,,
Years since earning bachelor's degree,8,7.5,8,8.3,8,9,8,7.6,8,7.6,8,8.4
From graduate school start,6.7,6.3,6.8,6.8,6.8,7.8,6.6,6.1,6.7,6,6.7,6.8
From doctoral program startc,5.8,5.8,5.3,5.8,5.8,5.8,6,5.5,5.8,5.3,5.3,5.6
Received tuition remission (%),90.5,91.6,88.9,93.1,90.1,88.3,88.9,91.2,93.1,90.1,92.5,83.5
Female doctorate recipients (number),5290,728,322,537,448,697,252,597,676,229,408,396
Citizenship status (%),,,,,,,,,,,,
U.S. citizen or permanent resident,73.6,69.6,55.3,70,72.1,80.3,75,78.2,81.8,70.7,72.1,71.7
Temporary visa holder,22.9,27.2,41.3,22.5,25,17.5,22.2,18.3,15.7,25.3,23.3,25.8
Unknown,3.5,3.2,3.4,7.4,2.9,2.2,2.8,3.5,2.5,3.9,4.7,2.5
Marital status (%),,,,,,,,,,,,
Never married,41.8,44.5,45.7,37.8,D,38.3,D,40.5,43.3,46.7,43.1,D
Married,34.5,34.3,36,31.8,38.4,36.9,38.5,34.2,32.1,27.1,34.3,35.1
Marriage-like relationship,13.1,10.9,9.6,10.8,11.6,16.4,10.7,16.2,15.8,12.2,11.5,13.4
"Separated, divorced, widowed",2.1,1.8,1.9,2.2,D,2.2,D,1.7,2.2,3.5,2.7,D
Unknown,8.5,8.5,6.8,17.3,5.1,6.3,7.5,7.4,6.5,10.5,8.3,10.4
Has dependent age 18 or younger (%),12.6,10.6,16.3,12.6,11.5,16,15.9,12.2,10.2,11.3,12.8,11.2
Has one or more functional limitations (%),16.3,17.8,14.6,16.5,13.5,17.7,16.8,17.1,16.9,11.3,12.9,18.8
Age at doctorate (median years),30.1,29.4,29.6,30.3,30,31.4,29.8,30.2,29.8,30.1,30.1,30.4
Bachelor's in same field as doctorate (%)b,65.7,63.9,36.9,70.6,82.4,55.6,78.2,81.2,65.8,61.5,60,62.4
Master's earned (%),44.3,36.1,65.4,40.9,35.2,67.6,35.1,34.2,34.5,45.1,44.9,52.7
Master's earned at same doctorate institution (%),40.1,42.5,46.5,43.8,34.9,36.7,36.9,35.9,55.7,45.8,32.9,30.7
Time to doctorate (median years),,,,,,,,,,,,
Years since earning bachelor's degree,7.6,7,7.3,7.8,7.5,9,7.3,7.7,7.4,7.6,7.6,7.7
From graduate school start,6.3,6,6.3,6.3,6.3,7.3,6.3,6.2,6.2,6.3,6.3,6.6
From doctoral program startc,5.7,5.8,5.3,5.6,5.8,5.7,5.7,5.5,5.8,5.3,5.3,5.5
Received tuition remission (%),90.3,92.9,91.4,90.9,90.7,86.3,86,90.4,91.4,92.7,90.4,89.4
