Table 4-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
"$10,000 or less",1688,6.2,1440,5.9,1874,5.6,1234,6.8,235,7.2,5,5.3,163,4.4,142,5.5,1222,5.5,81,6.3,18,5.5,8,4.8
"$10,001–$20,000",902,3.3,917,3.7,1287,3.8,524,2.9,165,5.1,5,5.3,91,2.5,105,4.1,850,3.8,57,4.4,8,2.4,6,3.6
"$20,001–$30,000",692,2.5,712,2.9,1083,3.2,314,1.7,140,4.3,7,7.4,84,2.3,126,4.9,677,3,31,2.4,13,3.9,5,3
"$30,001–$40,000",445,1.6,520,2.1,794,2.4,168,0.9,105,3.2,D,D,D,D,105,4.1,489,2.2,24,1.9,9,2.7,3,1.8
"$40,001–$50,000",379,1.4,458,1.9,714,2.1,118,0.7,69,2.1,6,6.4,36,1,102,4,463,2.1,29,2.3,7,2.1,2,1.2
"$50,001–$60,000",338,1.2,429,1.7,647,1.9,117,0.6,64,2,D,D,D,D,114,4.4,409,1.8,18,1.4,5,1.5,3,1.8
"$60,001–$70,000",266,1,348,1.4,548,1.6,61,0.3,49,1.5,6,6.4,30,0.8,95,3.7,341,1.5,22,1.7,5,1.5,0,0
"$70,001–$80,000",216,0.8,293,1.2,457,1.4,50,0.3,60,1.8,D,D,D,D,86,3.3,263,1.2,17,1.3,4,1.2,2,1.2
"$80,001–$90,000",177,0.6,256,1,401,1.2,31,0.2,46,1.4,D,D,D,D,67,2.6,257,1.2,12,0.9,2,0.6,1,0.6
"$90,001–$100,000",208,0.8,264,1.1,422,1.3,46,0.3,49,1.5,D,D,D,D,90,3.5,231,1,22,1.7,4,1.2,1,0.6
"$100,001–$120,000",258,0.9,464,1.9,655,1.9,67,0.4,86,2.6,D,D,D,D,136,5.3,362,1.6,24,1.9,5,1.5,6,3.6
"$120,001–$140,000",184,0.7,270,1.1,413,1.2,37,0.2,52,1.6,D,D,D,D,95,3.7,229,1,12,0.9,3,0.9,3,1.8
"$140,001–$160,000",223,0.8,360,1.5,530,1.6,50,0.3,71,2.2,D,D,D,D,144,5.6,268,1.2,18,1.4,5,1.5,4,2.4
"$160,001 or more",415,1.5,725,2.9,1055,3.1,74,0.4,139,4.3,5,5.3,43,1.2,279,10.8,518,2.3,50,3.9,14,4.2,7,4.2
Undergraduate debt,,,,,,,,,,,,,,,,,,,,,,,,
All reporting undergraduate debt (number),27369,,24618,,33607,,18104,,3250,,94,,3687,,2584,,22212,,1283,,330,,167,
Median debt (dollars),25000,,25000,,25000,,15000,,25000,,25000,,15000,,35000,,25000,,25000,,25000,,25000,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,20643,75.4,17455,70.9,21411,63.7,16477,91,1827,56.2,52,55.3,2962,80.3,999,38.7,14445,65,785,61.2,225,68.2,116,69.5
"$10,000 or less",1569,5.7,1478,6,2302,6.8,734,4.1,308,9.5,8,8.5,210,5.7,212,8.2,1432,6.4,93,7.2,21,6.4,18,10.8
"$10,001–$20,000",1250,4.6,1372,5.6,2311,6.9,300,1.7,265,8.2,5,5.3,170,4.6,195,7.5,1554,7,97,7.6,19,5.8,6,3.6
"$20,001–$30,000",1169,4.3,1273,5.2,2230,6.6,200,1.1,278,8.6,9,9.6,136,3.7,232,9,1457,6.6,86,6.7,23,7,9,5.4
"$30,001–$40,000",875,3.2,881,3.6,1623,4.8,125,0.7,177,5.4,D,D,D,D,195,7.5,1076,4.8,70,5.5,13,3.9,8,4.8
"$40,001–$50,000",490,1.8,536,2.2,934,2.8,92,0.5,100,3.1,D,D,D,D,161,6.2,597,2.7,33,2.6,4,1.2,3,1.8
"$50,001–$60,000",385,1.4,450,1.8,765,2.3,64,0.4,81,2.5,5,5.3,26,0.7,141,5.5,475,2.1,28,2.2,8,2.4,1,0.6
"$60,001–$70,000",235,0.9,258,1,464,1.4,26,0.1,50,1.5,D,D,D,D,99,3.8,274,1.2,19,1.5,4,1.2,2,1.2
"$70,001–$80,000",171,0.6,199,0.8,349,1,18,0.1,38,1.2,D,D,D,D,70,2.7,215,1,12,0.9,2,0.6,1,0.6
"$80,001–$90,000",205,0.7,203,0.8,372,1.1,33,0.2,29,0.9,D,D,D,D,79,3.1,224,1,20,1.6,2,0.6,0,0
"$90,001 or more",377,1.4,513,2.1,846,2.5,35,0.2,97,3,D,D,D,D,201,7.8,463,2.1,40,3.1,9,2.7,3,1.8
