Table 6-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Health sciences, other",168,115,D,46,23,D,3,D,0
Mathematics and statistics,1049,777,645,260,65,301,19,131,1
Applied mathematics,239,184,163,82,10,68,3,21,0
Mathematics,351,230,160,107,21,31,1,70,0
Statistics,459,363,322,71,34,202,15,40,1
Multidisciplinary/ interdisciplinary sciences,813,629,557,171,74,294,18,72,0
Interdisciplinary computer sciences,332,258,D,54,32,141,D,D,0
"Multidisciplinary/ interdisciplinary sciences, other",481,371,D,117,42,153,D,D,0
Physical sciences,2093,1495,1289,648,36,590,15,206,0
Astronomy and astrophysics,98,74,D,40,D,10,1,D,0
Chemistry,928,646,572,260,14,289,9,74,0
Materials sciences,191,138,D,50,D,71,3,D,0
Physics,876,637,537,298,17,220,2,100,0
Psychology,335,227,186,109,47,21,9,41,0
Clinical psychology,41,32,D,28,0,0,D,D,0
Counseling and applied psychology,121,78,59,26,D,D,4,19,0
Research and experimental psychology,126,84,D,35,18,D,D,D,0
"Psychology, other",47,33,D,20,D,D,1,D,0
Social sciences,1716,1267,810,286,270,180,74,454,3
Anthropology,66,46,24,15,9,0,0,22,0
"Area, ethnic, cultural, gender, and group studies",108,61,43,D,18,D,2,18,0
Economics,841,671,426,D,128,D,50,243,2
Political science and government,196,144,97,51,36,8,2,47,0
Public policy analysis,77,51,36,D,11,D,6,14,1
"Sociology, demography, and population studies",113,85,53,22,21,6,4,32,0
"Social sciences, other",315,209,131,59,47,15,10,78,0
Non-science and engineering,2586,1702,1175,287,716,110,62,523,4
Business,742,604,445,46,333,55,11,157,2
Business administration and management,208,144,D,D,68,17,2,D,1
"Business, other",534,460,D,D,265,38,9,D,1
Education,461,272,173,53,91,12,17,99,0
Education leadership and administration,78,39,19,D,8,D,0,20,0
Education research,188,114,D,21,D,D,7,D,0
Teacher education and teaching fields,159,102,D,17,36,D,8,D,0
"Education, other",36,17,10,D,D,0,2,7,0
Humanities,621,374,236,99,119,9,9,137,1
"English language and literature, letters",124,70,45,D,24,D,0,25,0
"Foreign languages, literatures, and linguistics",205,120,91,D,55,D,5,29,0
History,120,74,44,D,14,D,1,29,1
Philosophy and religious studies,107,68,35,D,14,D,2,33,0
"Humanities, other",65,42,21,D,12,D,1,21,0
Visual and performing arts,185,84,55,10,35,5,5,29,0
Performing arts,96,42,32,D,23,D,2,10,0
"Visual arts, media studies, and design",89,42,23,D,12,D,3,19,0
Other non-science and engineering,577,368,266,79,138,29,20,101,1
Communications and journalism,152,107,85,D,56,D,5,22,0
Multidisciplinary/ interdisciplinary studies,72,40,30,D,18,D,2,10,0
Public administration and social services,99,75,D,22,18,D,4,D,0
"Non-science and engineering, other",254,146,D,D,46,18,9,D,1
