Table 9-14,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Primary activityg,,,,,
Research and development,11.6,8.1,15.5,10.6,13.7
Teaching,44.3,25.3,45.4,63.6,45.6
Management or administration,21.8,42.3,12.9,10.6,17.6
Professional services and other,22.2,24.3,26.2,15.3,23.1
Secondary activityg,,,,,
Research and development,25.1,D,26.8,37.7,D
Teaching,13,14.3,13.9,10.8,12.1
Management or administration,15.2,20.7,14.7,10,14.3
Professional services and other,9.3,D,10.4,8.5,D
No secondary activity,37.4,43.8,34.2,33.1,39.6
Activity unknown,4.5,3.5,5,4.6,5.7
Postgraduation location (%)h,,,,,
United Statesi,96.1,98.4,95.3,D,D
Midwest,22.4,26.3,22.5,18.2,22.7
Northeast,14.7,15.7,12.8,D,D
South,39.7,40.8,41.7,42.8,23.6
West,18.7,15.2,18.2,17,33.3
Outside the United States,3.8,1.6,4.6,D,D
Location unknown,0.1,0,0.2,0,0.5
Postgraduation location in same state as doctorate institution (%),63.3,72.4,59,57.8,65.3
