Table 2-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1998,7.1,9.9,14.5,10.2,6.5,10.8,9.5,10.4,5.7,6.9,11.9,9.8,3.5,2.9,4.1,1.8,7.4
2003,7.5,11.1,18,14.8,6,12.6,22.7,9.2,5.2,9.1,11,9,3.7,3.3,4.4,1.7,8.6
2008,6.2,8.5,18.8,10.9,2.5,7.3,14.9,10.8,5.5,6.4,12.2,8.1,3.1,2.4,3.7,1.7,5.3
2013,7.5,10,18.1,10.9,4.1,9.5,18.4,11.7,4.1,7.3,13,11.4,3.2,2.6,3.2,2.2,7.5
2018,6.8,8,16.2,8.9,3.3,7.5,18,7.1,4.9,5,9.8,10.5,4.2,3.6,4.8,2.8,7.1
2023,6.8,7.7,13.6,7.1,3,6.1,21.8,8.2,5.5,4.9,13.1,12.3,4.4,3.4,4.2,3.1,8.6
Industry or business (%)a,,,,,,,,,,,,,,,,,
1993,20.3,34.7,32.7,27.5,46.4,60.2,33.7,16.5,18.6,69.9,23.1,9.7,5.5,8.7,5.3,3.5,9.9
1998,28.7,44.4,39,32.3,55.9,73.7,47.3,17.2,32.6,70.4,23.3,15.5,8.2,13.9,6.9,7.2,14.1
2003,20.8,34.6,30.9,28.7,33,62.7,32.3,16.7,23.4,65,24.2,12.4,5.9,11.4,4.7,5.2,11.4
2008,27,43.3,30.9,36.2,64.9,73.7,43.4,15.7,33.4,63.7,18.9,11.6,5.2,13.6,4,3,9.5
2013,30.1,44.5,34.3,38.4,68.8,73.2,36.9,15.9,39.7,67.9,22.1,11.6,5.3,9.9,4.5,4.4,6
2018,36.8,50.9,36.9,49.1,67.7,74.5,40.6,18.9,52.2,72.7,27.9,17.9,7.8,13.1,6.4,6.9,9.9
2023,46.7,59.9,43.8,61.6,70.3,79.6,42.3,27.6,62.7,79.4,33.2,23.1,11.4,17.3,9.6,9,15.7
Nonprofit organization (%),,,,,,,,,,,,,,,,,
1993,6,6.7,3.9,7.2,1.6,2.7,D,8.9,D,1.5,17.1,6.2,5.3,0.8,4.5,7.8,8.3
1998,5.3,5.5,5.7,4.7,1.5,2.2,3.2,10.6,1.8,1.1,15.9,6,4.9,2.1,4.8,5.1,9.4
2003,6,6.4,8,6.8,2.3,2.5,3.5,11.1,1.8,2.7,14.6,6.5,5.5,1.1,4.4,7.7,7.1
2008,4.7,5.1,5,6.3,1.4,2.4,2.6,10.2,2.4,3,11.4,6.7,4.1,1.3,4.1,4.8,4.8
2013,5.6,5.8,7.1,6.7,2.1,2.9,3.9,13.4,2.6,1.7,13.1,7.3,5.1,2.1,5.1,5.8,6.5
2018,6.4,6,6.5,7.7,2.4,3.4,5.4,15.2,2.5,2.7,10.5,7.6,7.2,2.3,7.9,8.4,6.8
2023,6.5,5.9,7.6,7.3,3.3,3.3,6.1,13,2.8,2.8,10.3,10,8.1,2.5,7.8,10.9,8.9
Other or unknown (%)b,,,,,,,,,,,,,,,,,
1993,12.9,3.8,2.3,2.6,1.1,0.8,D,3.1,D,1.2,9.5,5.3,22.2,0.7,38.2,4,2.3
1998,13.1,6.3,3.6,18.8,2.3,1.8,5.9,5.6,4.8,5.1,12.6,4.6,22.1,2.4,37.6,7.2,4.6
2003,11.4,2.5,1.8,3.4,0,0.5,1.5,1.1,0,1,8.5,2.6,20.9,0.2,38,4.1,2.7
2008,11,3.4,3.7,3.7,1.6,1.5,3.5,4.1,2.2,3.7,10.2,3.3,21.1,2.3,37.4,5.2,3.5
2013,6.6,2.2,1,4,1.4,0.7,3.9,2.2,1.3,1.5,6.8,2.4,14.2,1.4,28.5,5.2,2.3
2018,6.8,3.2,3.4,3.3,1.2,1.8,4.2,3.9,2,3.3,8.9,3.8,14.3,2.8,25.7,7.5,4.2
2023,5.8,2.2,3.5,1.8,1.8,1.3,3.1,3.3,2,1.4,5.1,3.6,15.2,2.5,27,8.8,5.5
