Table 9-8,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Professional services and other,27.6,31.7,10.7,37.5,31.8
Secondary activityg,,,,,
Research and development,29.8,41.5,10.7,32.5,38.2
Teaching,11.1,D,D,8.8,10.9
Management or administration,18.7,17.1,21.4,18.8,17.3
Professional services and other,9.2,D,D,12.5,11.8
No secondary activity,31.1,7.3,58.3,27.5,21.8
Activity unknown,4.5,2.4,2.3,2.4,8.3
Postgraduation location (%)h,,,,,
United Statesi,90,83,89,90.3,92.3
Midwest,17,12.8,19.3,10.4,21.9
Northeast,23.8,27.7,35.2,18.8,18
South,29.1,27.7,17.2,40.9,29
West,19.5,14.9,17.2,18.2,23.5
Outside the United States,10,17,11,9.7,7.7
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),40.6,55.3,33.1,42.9,41
Female doctorate recipients reporting postgraduation status (number),1720,512,195,515,498
Definite postdoctoral training plans,20.2,12.5,28.2,26.2,18.7
Definite employment plans,53.5,61.7,40.5,46.8,57
Seeking employment or study,23.5,23,29.2,24.9,20.5
Other statusa,2.6,2.7,1.5,2.1,3.4
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,91.1,95.3,92.7,84.4,96.8
Other training or unknownc,8.9,4.7,7.3,15.6,3.2
Definite employment plans (%)d,,,,,
Academe,50.8,62,6.3,42.3,57.7
In tenure track faculty position (%),41.1,40.8,D,D,47
Not in tenure track position (%),54.4,54.1,D,D,50.6
Government,8.3,D,D,13.7,4.2
Industry or businesse,24.7,D,D,21.2,24.6
Nonprofit organization,13.5,D,D,20.3,D
Other or unknownf,2.8,2.8,D,2.5,D
Primary activityg,,,,,
Research and development,28.7,7.3,D,D,22.3
Teaching,38,58.1,D,D,42
Management or administration,7.4,9.2,0,8.5,6.3
Professional services and other,26,25.4,17.1,25.6,29.4
Secondary activityg,,,,,
Research and development,32.4,37.3,9.2,28.2,37.2
Teaching,12,D,D,12.4,14.5
Management or administration,15.9,12.2,21.1,21.4,13.8
Professional services and other,10.2,D,D,8.1,10.8
No secondary activity,29.5,27.1,57.9,29.9,23.8
Activity unknown,4.1,4.1,3.8,2.9,5.3
Postgraduation location (%)h,,,,,
United Statesi,93.5,91.8,93.3,93.9,95
Midwest,18,15.5,19.4,15.2,22.8
Northeast,22.7,28.7,29.9,17.8,19.1
South,34.6,32.1,25.4,39.9,35.3
West,17.7,15,17.2,20.7,17.5
Outside the United States,6.5,8.2,6.7,6.1,5
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),48.8,52.9,32.1,48.4,50.9
