Table 8-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Master's earned at same doctorate institution (%),44.6,48.6,36.5,38.5,50.1,51.2,45.2,32.1,53.2,48.6,56.8,65.4,46.2
Time to doctorate (median years),,,,,,,,,,,,,
Years since earning bachelor's degree,8.6,8,9,7.8,8.2,7.4,8.1,11.4,7,8.3,6.7,8.6,10.2
From graduate school start,7.2,6.8,7.3,6.4,7,6.6,6.8,9,6,7,6,6.9,8.7
From doctoral program startc,5.7,5.6,5,5.8,5.7,5.3,5.7,5,5.3,5.3,5.7,5.9,6
Received tuition remission (%),85.6,87.4,88,90.4,86.1,86.5,88,72.1,93.8,86.1,91.4,81.5,89.6
Male doctorate recipients (number),30356,25480,572,4433,1710,7873,668,789,1480,1044,3594,885,2432
Citizenship status (%),,,,,,,,,,,,,
U.S. citizen or permanent resident,54.9,52.3,56.6,70.2,35,40.4,57,62.6,46.8,44.1,55.7,82.3,56.2
Temporary visa holder,40.2,43.1,39.9,25.7,59.6,55,38.2,31.1,48.9,52.2,40.5,8.9,39.5
Unknown,4.9,4.6,3.5,4.1,5.4,4.6,4.8,6.3,4.4,3.7,3.9,8.8,4.3
Marital status (%),,,,,,,,,,,,,
Never married,42.1,44.9,36.4,44.1,44.2,46.9,43.1,31.1,56.6,45.7,51.6,31.5,35.4
Married,35.9,33.7,40.9,33.2,34.9,33.7,34.7,44.1,23,36.2,27.5,35.5,42.1
Marriage-like relationship,8.4,8.6,8.6,11.8,5.8,6.6,10.9,7,8.2,7.6,9.2,12.8,9.3
"Separated, divorced, widowed",1.9,1.7,1.2,1.6,2.3,1.1,2.2,2.9,1.1,1.5,1.1,3.1,3.2
Unknown,11.7,11.1,12.9,9.3,12.9,11.6,9,15,11.1,9,10.5,17.2,9.9
Has dependent age 18 or younger (%),18.4,15.6,24.7,14.2,15.7,15.7,18.5,29.2,7.9,13.6,10.6,20.6,21.7
Has one or more functional limitations (%),12.3,11.8,15.7,13.3,11.8,9.3,12.2,11.9,10,13.1,12.9,15.5,14
Age at doctorate (median years),31.2,30.6,32.3,30.8,30.6,30.3,31.3,32.9,29.2,31,29.5,32.3,33.1
Bachelor's in same field as doctorate (%)b,63.4,66,50.8,62.3,39.7,80.1,50.6,37.2,80.5,14.5,77.6,66,58.9
Master's earned (%),71.5,67.6,80.6,45,73.4,75.3,72.6,74.5,67.4,74.7,52.2,87.1,87
Master's earned at same doctorate institution (%),44.8,48,36.7,36.5,50.7,50.6,43.9,32.2,51.3,50.1,55.7,62.6,43.6
Time to doctorate (median years),,,,,,,,,,,,,
Years since earning bachelor's degree,8.3,7.9,9.1,8,8.1,7.6,8.3,9.9,6.8,8.1,7,8.9,10
From graduate school start,7,6.8,7.3,6.7,6.9,6.7,6.9,7.8,6,6.9,6,7,8.3
From doctoral program startc,5.7,5.6,5,5.8,5.7,5.3,5.5,5,5.3,5.6,5.8,5.9,5.9
Received tuition remission (%),86.7,88,87,90.5,86.9,86,87.2,76,93.9,84.8,91.7,81.5,89.2
Female doctorate recipients (number),27499,20486,706,5290,587,2851,547,1957,575,660,1848,2907,2558
Citizenship status (%),,,,,,,,,,,,,
U.S. citizen or permanent resident,68.7,66.7,64.3,73.6,37.6,47.9,71.7,74.6,41.2,55.5,61.7,84.2,66.4
Temporary visa holder,26.2,28.4,32,22.9,54.2,46.1,24.5,19.3,56.5,40.6,34.6,8.8,29.5
Unknown,5.1,4.8,3.7,3.5,8.2,6.1,3.8,6.1,2.3,3.9,3.7,6.9,4.1
Marital status (%),,,,,,,,,,,,,
Never married,34.7,37.9,36.5,41.8,35.8,43.5,39.9,23.9,47.5,36.4,49.3,30.5,33.5
Married,38.6,35.8,38,34.5,38.2,33,31.3,49.5,29.7,36.2,26.7,35.2,39.7
Marriage-like relationship,10.3,11.4,9.5,13.1,6.8,9,16.1,6.4,11.1,9.4,12.6,13.7,12.2
"Separated, divorced, widowed",4.2,3.2,3.4,2.1,2.6,1.7,3.3,6.3,2.3,4.5,1.4,4.3,5.2
Unknown,12.2,11.6,12.6,8.5,16.7,12.8,9.5,14,9.4,13.5,10.1,16.4,9.4
Has dependent age 18 or younger (%),20,16.3,19,12.6,18.1,10.3,10.5,35.3,13.3,17.7,7.4,18.2,21.4
Has one or more functional limitations (%),16.2,15.7,17.4,16.3,13,12.6,20.9,13,14,13.2,15.7,17.5,17.5
Age at doctorate (median years),31.7,30.7,31.6,30.1,31.3,29.6,30.4,35.8,29.4,31.2,28.7,31.1,33
Bachelor's in same field as doctorate (%)b,57.6,62.3,46.4,65.7,35.7,73.5,49,50.1,80.7,13.2,76.5,72.4,51.7
Master's earned (%),75,68.5,75.6,44.3,78.9,71.7,64.3,83.5,72.3,79.2,46.5,89.6,90.8
Master's earned at same doctorate institution (%),44.4,49.4,36.4,40.1,48.5,52.8,47.1,32.1,57.8,46.4,59.2,66.2,48.6
Time to doctorate (median years),,,,,,,,,,,,,
Years since earning bachelor's degree,9,8.2,8.6,7.6,8.9,7.1,8,12.2,7.2,8.4,6.3,8.4,10.3
From graduate school start,7.4,6.8,7.3,6.3,7.7,6.3,6.8,9.3,6.1,7.3,5.8,6.8,8.8
From doctoral program startc,5.8,5.7,5,5.7,5.7,5.3,5.8,5,5.3,5.3,5.3,5.9,6
Received tuition remission (%),84.4,86.7,88.8,90.3,83.7,87.9,89,70.5,93.5,88.3,91,81.5,90
