Table 9-13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
West,18.4,18.4,26.2,15.3,15.8,18.9,18.5,21.6
Outside the United States,15.8,16.7,10.5,24.2,12.6,6.7,10.2,14
Location unknown,0.1,0,0,0.2,0,0.4,0,0
Postgraduation location in same state as doctorate institution (%),30.2,36,40,18.7,28.1,46,35.7,33.6
Male doctorate recipients reporting postgraduation status (number),2232,121,147,820,347,154,220,423
Definite postdoctoral training plans,23.1,30.6,29.3,18,30.3,13.6,33.2,21
Definite employment plans,55.2,37.2,36.1,68.8,48.1,57.1,48.6,48.9
Seeking employment or study,19.7,28.9,32,11.6,19.9,27.3,15.9,27.4
Other statusa,2.1,3.3,2.7,1.6,1.7,1.9,2.3,2.6
Definite postdoctoral training plans (%)b,,,,,,,,
Postdoc fellowship or research associateship,96.7,94.6,95.3,97.3,97.1,90.5,100,95.5
Other training or unknownc,3.3,5.4,4.7,2.7,2.9,9.5,0,4.5
Definite employment plans (%)d,,,,,,,,
Academe,50.6,55.6,77.4,43.3,61.7,29.5,71,52.2
In tenure track faculty position (%),57.9,56,34.1,73.8,48.5,26.9,47.4,55.6
Not in tenure track position (%),40,44,65.9,23.8,49.5,65.4,52.6,41.7
Government,15,D,D,18.3,9.6,17,7.5,17.4
Industry or businesse,23.2,D,D,30.5,15.6,21.6,10.3,21.3
Nonprofit organization,8,D,D,6,9.6,25,7.5,5.8
Other or unknownf,3.2,0,9.4,2,3.6,6.8,3.7,3.4
Primary activityg,,,,,,,,
Research and development,43.4,D,D,59.6,34.1,37.2,D,25.3
Teaching,33.1,40.9,67.9,18.8,50.6,14,49,47
Management or administration,2.8,D,D,D,D,8.1,D,5.1
Professional services and other,20.7,20.5,17,D,D,40.7,12.5,22.7
Secondary activityg,,,,,,,,
Research and development,32.9,36.4,50.9,25,41.5,23.3,41.3,41.4
Teaching,15.3,11.4,13.2,19.9,12.8,11.6,12.5,9.1
Management or administration,14.6,D,D,14.5,9.8,30.2,D,14.6
Professional services and other,8.4,D,D,10.7,7.9,5.8,D,7.6
No secondary activity,28.9,31.8,24.5,30,28,29.1,28.8,27.3
Activity unknown,3.1,2.2,0,3.5,1.8,2.3,2.8,4.3
Postgraduation location (%)h,,,,,,,,
United Statesi,80.1,78,88.5,73,86.8,89,85.6,82.1
Midwest,14.7,9.8,18.8,12.9,14.7,14.7,22.8,14.2
Northeast,21.1,22,22.9,20.4,26.1,22,22.8,16.2
South,26.4,19.5,26,24.9,26.8,33.9,23.9,30.7
West,17.2,24.4,20.8,14.2,18.8,18.3,16.1,20.3
Outside the United States,19.8,22,11.5,26.8,13.2,10.1,14.4,17.9
Location unknown,0.1,0,0,0.1,0,0.9,0,0
Postgraduation location in same state as doctorate institution (%),27.7,28,38.5,18.3,30.1,45.9,35.6,33.1
Female doctorate recipients reporting postgraduation status (number),2371,228,272,444,256,234,363,574
Definite postdoctoral training plans,21.7,28.9,20.2,16.9,27,17.5,24,21.1
Definite employment plans,52.5,35.1,45.6,67.3,49.2,57.7,55.9,48.3
Seeking employment or study,22.7,33.3,30.9,14.2,21.1,20.1,16.5,27
Other statusa,3,2.6,3.3,1.6,2.7,4.7,3.3,3.3
Definite postdoctoral training plans (%)b,,,,,,,,
Postdoc fellowship or research associateship,96.5,98.5,92.7,96,95.7,95.1,97.7,97.5
Other training or unknownc,3.5,1.5,7.3,4,4.3,4.9,2.3,2.5
Definite employment plans (%)d,,,,,,,,
Academe,55.7,63.8,75.8,44.5,61.1,40.7,63.1,56
In tenure track faculty position (%),53.2,29.4,36.2,76.7,66.2,36.4,61.7,43.9
Not in tenure track position (%),44.3,70.6,58.5,22.6,31.2,60,36.7,52.9
Government,9.7,D,D,12,9.5,17.8,6.9,9
Industry or businesse,18.3,D,D,28.8,20.6,11.9,15.3,19.1
Nonprofit organization,11.9,D,D,12,6.3,20,13.3,11.2
Other or unknownf,4.3,7.5,6.5,2.7,2.4,9.6,1.5,4.7
Primary activityg,,,,,,,,
Research and development,40.8,D,20.5,55.1,36.9,42.9,D,37.5
Teaching,36.2,49.3,59,21.3,44.3,15.9,41.8,40.5
Management or administration,5.1,D,5.7,D,D,17.5,D,4.8
Professional services and other,17.9,21.3,14.8,D,D,23.8,10.2,17.1
Secondary activityg,,,,,,,,
Research and development,33.3,45.3,42.6,27.7,42.6,17.5,34.2,34.6
Teaching,13.8,9.3,12.3,18.6,15.6,11.9,15.8,8.9
Management or administration,13,D,D,6.8,5.7,25.4,D,16.7
Professional services and other,9.2,D,D,12.8,6.6,12.7,D,8.2
No secondary activity,30.7,21.3,27,34.1,29.5,32.5,29.6,31.6
Activity unknown,3.1,6.3,1.6,1,3.2,6.7,3.4,2.9
Postgraduation location (%)h,,,,,,,,
United Statesi,88.2,86.3,89.9,80.5,88.2,95.5,92.4,88.9
Midwest,15.3,14.4,18.4,12.6,12.3,16.5,19.3,14.8
Northeast,23.4,29.5,27.4,18.4,30.8,17.6,26.9,20.4
South,29.4,26.7,15.1,31.6,32.3,42,25.9,30.4
West,19.5,15.1,29.1,17.1,11.8,19.3,20,22.6
Outside the United States,11.8,13.7,10.1,19.3,11.8,4.5,7.6,11.1
Location unknown,0.1,0,0,0.3,0,0,0,0
Postgraduation location in same state as doctorate institution (%),32.6,40.4,40.8,19.3,25.1,46,35.9,33.9
