Table 3-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Cell/ cellular and molecular biology,583,140,430,59,0,64,22,265,18,1,1
Developmental biology and embryology,96,26,69,10,0,12,0,43,2,2,0
Cell/ cellular biology and anatomy nec,82,16,47,5,0,3,0,35,2,1,1
"Ecology, evolutionary biology, and epidemiology",1144,214,907,68,2,85,48,635,46,13,10
Ecology,246,30,209,13,0,7,3,162,11,6,7
Ecology and evolutionary biology,277,50,226,23,1,8,5,171,15,2,1
Epidemiology,382,83,290,18,1,57,31,164,14,3,2
Epidemiology and biostatistics,39,8,30,3,0,6,5,15,1,0,0
Evolutionary biology,84,22,61,9,0,4,1,44,1,2,0
"Ecology, evolutionary biology, and epidemiology nec",116,21,91,2,0,3,3,79,4,0,0
Genetics and genomics,477,100,359,33,2,51,13,241,15,0,4
"Genetics, general",128,23,96,6,0,13,6,62,7,0,2
Genome sciences and genomics,116,25,89,9,0,16,2,58,3,0,1
Human/ medical genetics,71,11,60,8,1,9,0,39,3,0,0
Molecular genetics,77,14,58,7,0,6,1,43,1,0,0
Genetics and genomics nec,85,27,56,3,1,7,4,39,1,0,1
Microbiology and immunology,1092,214,845,94,2,108,48,533,42,12,6
Immunology,342,72,263,24,0,49,11,156,14,6,3
Microbiology and immunology,271,51,212,20,2,29,15,134,8,2,2
"Microbiology, general",275,53,212,27,0,16,15,139,12,2,1
Virology,111,20,88,12,0,11,4,57,3,1,0
Microbiology and immunology nec,93,18,70,11,0,3,3,47,5,1,0
Neurobiology and neurosciences,1200,218,947,112,3,113,45,599,52,10,13
Cognitive neuroscience,114,23,90,9,0,9,2,67,1,1,1
Neurobiology,68,8,60,8,0,7,2,35,3,1,4
Neuroscience,877,143,705,86,2,84,38,436,43,8,8
Neurobiology and neurosciences nec,141,44,92,9,1,13,3,61,5,0,0
Pharmacology and toxicology,409,93,295,27,0,46,27,173,16,3,3
Pharmacology,186,43,133,8,0,27,10,80,4,2,2
Toxicology,95,27,62,10,0,6,7,33,4,1,1
Pharmacology and toxicology nec,128,23,100,9,0,13,10,60,8,0,0
"Physiology, oncology, and cancer biology",821,198,580,53,2,83,26,376,29,2,9
Biomechanics,85,27,58,7,1,5,0,41,3,1,0
Exercise physiology and kinesiology,103,10,91,3,0,1,3,75,5,0,4
Oncology and cancer biology,336,90,231,31,1,52,11,120,11,1,4
"Physiology, general",78,16,56,5,0,5,3,42,1,0,0
"Physiology, oncology, and cancer biology nec",219,55,144,7,0,20,9,98,9,0,1
"Biological and biomedical sciences, other",669,190,460,47,0,46,13,326,16,7,5
Botany and plant biology,59,22,35,4,0,3,1,26,1,0,0
Entomology,124,30,91,8,0,3,1,73,2,1,3
Plant pathology and phytopathology,105,48,53,6,0,3,0,43,1,0,0
Plant physiology and biology nec,67,15,52,6,0,7,3,33,2,1,0
Zoology and animal biology,88,10,78,8,0,2,0,61,4,1,2
Biological and biomedical sciences nec,226,65,151,15,0,28,8,90,6,4,0
Computer and information sciences,2297,1337,820,47,1,190,44,475,21,19,23
Computer science,1605,962,554,33,1,129,19,333,13,14,12
Computer science,1605,962,554,33,1,129,19,333,13,14,12
"Computer and information sciences, other",692,375,266,14,0,61,25,142,8,5,11
Artificial intelligence,211,136,68,1,0,20,3,40,1,1,2
"Computer and information sciences, general",108,71,26,1,0,6,1,13,1,1,3
Computer systems networking and telecommunications,91,54,30,2,0,4,4,17,0,1,2
Informatics and information technology,105,46,53,5,0,11,8,26,1,0,2
Information sciences/ studies,119,40,63,4,0,15,8,29,3,2,2
Computer and information sciences nec,58,28,26,1,0,5,1,17,2,0,0
Engineering,10724,5646,4542,401,6,732,210,2875,175,60,83
"Aerospace, aeronautical, astronautical, and space engineering",584,226,322,28,1,34,12,222,12,7,6
"Aerospace, aeronautical, astronautical, and space engineering, general",235,85,131,8,0,12,5,92,6,3,5
Mechanical and aerospace engineering ,207,96,110,12,0,14,6,72,2,3,1
"Aerospace, aeronautical, astronautical, and space engineering nec",142,45,81,8,1,8,1,58,4,1,0
"Biological, biomedical, and biosystems engineering",1313,392,860,79,2,178,27,504,48,6,16
Bioengineering and biomedical engineering,1222,353,810,74,2,170,27,471,45,6,15
Biological/ biosystems engineering and biomedical technology,91,39,50,5,0,8,0,33,3,0,1
Chemical and petroleum engineering,1245,594,600,40,0,96,26,396,27,5,10
Chemical and biomolecular engineering,211,87,121,10,0,18,5,79,6,1,2
Chemical engineering,862,395,425,25,0,68,17,288,17,3,7
Petroleum engineering,103,77,22,1,0,4,3,12,1,1,0
Chemical and petroleum engineering nec,69,35,32,4,0,6,1,17,3,0,1
"Civil, environmental, and transportation engineering",1279,769,444,55,1,58,25,279,14,3,9
Civil engineering,342,214,94,8,1,12,7,57,1,2,6
Civil and environmental engineering ,505,270,215,29,0,26,9,139,10,1,1
Environmental/ environmental health engineering,58,28,25,4,0,4,2,14,0,0,1
Geotechnical and geoenvironmental engineering,82,57,24,1,0,1,1,21,0,0,0
Structural engineering,133,90,43,10,0,8,0,24,1,0,0
Transportation and highway engineering,81,62,18,3,0,5,1,9,0,0,0
"Civil, environmental, and transportation engineering nec",78,48,25,0,0,2,5,15,2,0,1
Electrical and computer engineering,2119,1423,586,43,0,120,26,358,15,14,10
Computer engineering,256,184,62,3,0,13,3,40,2,0,1
Electrical and computer engineering,1359,915,400,33,0,84,20,240,12,7,4
Electrical and electronics engineering,436,279,102,6,0,22,3,59,1,6,5
Electrical and computer engineering nec,68,45,22,1,0,1,0,19,0,1,0
Engineering technologies,402,272,123,11,0,26,7,70,6,2,1
Electrical and electronic engineering technologies,71,57,12,0,0,3,1,7,1,0,0
Electromechanical technologies,90,48,41,2,0,8,2,27,0,1,1
Environmental control technologies,70,50,19,2,0,7,1,8,1,0,0
Engineering technologies nec,171,117,51,7,0,8,3,28,4,1,0
Industrial engineering and operations research,627,363,233,14,0,38,14,154,2,3,8
Industrial engineering,174,115,48,2,0,9,3,31,0,2,1
Industrial and systems engineering,134,81,53,4,0,5,4,35,1,0,4
Operations research,186,117,58,3,0,13,2,38,1,0,1
Systems and manufacturing engineering,133,50,74,5,0,11,5,50,0,1,2
Materials and mining engineering,912,447,417,37,0,58,21,274,18,3,6
Materials engineering,102,59,41,3,0,3,2,27,1,2,3
Materials science and engineering,762,364,356,33,0,53,18,234,15,1,2
Materials and mining engineering nec,48,24,20,1,0,2,1,13,2,0,1
Mechanical engineering,1552,840,634,68,1,82,29,412,24,10,8
"Mechanical engineering, general",1472,801,596,65,1,77,27,387,23,9,7
Mechanical engineering nec,80,39,38,3,0,5,2,25,1,1,1
"Engineering, other",691,320,323,26,1,42,23,206,9,7,9
"Engineering mechanics, physics, and science",105,63,38,3,0,7,1,26,1,0,0
Nanotechnology,47,29,17,0,0,7,0,9,1,0,0
Nuclear engineering,162,46,111,10,0,9,2,76,5,4,5
Engineering nec,377,182,157,13,1,19,20,95,2,3,4
"Geosciences, atmospheric, and ocean sciences",1216,389,773,58,4,57,15,597,29,5,8
Geological and earth sciences,682,235,412,35,2,33,10,317,10,2,3
Geochemistry,47,11,36,5,0,3,0,26,2,0,0
Geology,91,21,66,4,2,4,2,52,1,0,1
"Geology/ earth science, general",142,51,71,3,0,6,2,55,2,1,2
Geophysics and seismology,105,57,42,4,0,5,3,29,1,0,0
Hydrology and water resources science,96,37,58,7,0,5,1,45,0,0,0
Geological and earth sciences nec,201,58,139,12,0,10,2,110,4,1,0
"Ocean, marine, and atmospheric sciences",534,154,361,23,2,24,5,280,19,3,5
"Atmospheric sciences and meteorology, general",111,55,53,1,0,2,1,45,2,0,2
Atmospheric sciences and meteorology nec,123,22,98,3,1,5,2,82,2,1,2
"Climatology, atmospheric chemistry/ physics",67,18,46,6,1,7,0,30,2,0,0
Marine biology and biological oceanography,92,14,76,5,0,6,1,58,6,0,0
Marine sciences,66,17,43,5,0,1,1,32,4,0,0
"Oceanography, chemical/ physical",75,28,45,3,0,3,0,33,3,2,1
Health sciences,2746,623,1953,162,9,199,240,1199,60,25,59
Nursing and nursing science,638,79,517,22,4,37,76,348,12,4,14
Nursing education,84,3,79,2,1,1,8,64,2,1,0
Nursing science,396,46,336,17,2,30,51,223,7,2,4
Nursing specialties and practice,158,30,102,3,1,6,17,61,3,1,10
Pharmacy and pharmaceutical sciences,442,211,204,23,0,28,11,130,7,2,3
Medicinal and pharmaceutical chemistry,74,26,47,2,0,8,0,37,0,0,0
Pharmaceutical sciences,262,132,119,15,0,14,8,71,7,2,2
"Pharmacy, pharmaceutical sciences, and administration nec",106,53,38,6,0,6,3,22,0,0,1
Public health,766,165,578,60,3,75,106,289,23,12,10
Environmental health,70,18,50,7,0,6,2,32,0,2,1
Health services research,105,28,73,6,0,10,11,41,4,0,1
Health/ medical physics,72,24,45,8,0,7,1,27,1,1,0
Public health education and promotion,112,17,93,4,0,10,27,42,7,1,2
"Public health, general",203,47,149,19,0,23,33,59,4,7,4
Public health nec,204,31,168,16,3,19,32,88,7,1,2
"Health sciences, other",900,168,654,57,2,59,47,432,18,7,32
Communication disorders sciences,109,18,79,10,0,4,4,56,2,0,3
Exercise science and kinesiology,90,25,57,4,0,1,2,44,2,2,2
"Health sciences, general",61,7,47,3,0,2,5,35,1,0,1
Marriage and family therapy/ counseling,54,2,45,7,1,1,3,26,1,1,5
Medical clinical sciences,67,11,51,4,0,9,2,27,1,1,7
"Medical, biomedical, and health informatics",59,18,37,3,0,12,1,19,1,0,1
"Mental health, counseling, and therapy services and sciences",100,2,82,8,0,4,13,48,5,1,3
Rehabilitation and therapeutic sciences,159,32,126,10,0,8,5,93,4,2,4
Health sciences nec,201,53,130,8,1,18,12,84,1,0,6
Mathematics and statistics,2056,1049,929,64,0,135,22,648,41,11,8
Applied mathematics,490,239,240,21,0,39,9,157,11,1,2
"Applied mathematics, general",267,126,135,12,0,24,3,88,6,0,2
Computational and applied mathematics,165,84,78,5,0,9,4,57,3,0,0
Applied mathematics nec,58,29,27,4,0,6,2,12,2,1,0
Mathematics,890,351,495,31,0,51,6,373,22,8,4
Algebra and number theory,71,26,43,6,0,6,1,27,2,0,1
"Mathematics, general",687,280,370,18,0,38,2,285,18,6,3
Mathematics nec,132,45,82,7,0,7,3,61,2,2,0
Statistics,676,459,194,12,0,45,7,118,8,2,2
"Applied statistics, general",58,44,12,2,0,4,1,3,2,0,0
Mathematics and statistics,70,43,25,2,0,3,1,15,2,1,1
Statistics,484,323,143,7,0,36,3,92,3,1,1
Statistics nec,64,49,14,1,0,2,2,8,1,0,0
Multidisciplinary/ interdisciplinary sciences,1704,813,826,75,2,110,62,526,24,8,19
Interdisciplinary computer sciences,583,332,230,17,0,49,11,140,9,2,2
Computer science and engineering,188,125,52,2,0,13,3,31,2,0,1
Electrical engineering and computer science,250,136,108,11,0,19,6,66,4,2,0
Interdisciplinary computer sciences nec,145,71,70,4,0,17,2,43,3,0,1
"Multidisciplinary/ interdisciplinary sciences, other",1121,481,596,58,2,61,51,386,15,6,17
Behavioral and cognitive sciences,117,32,82,9,0,5,5,58,2,1,2
Computational science and engineering,132,71,51,2,0,5,9,33,1,1,0
Data mining and machine learning ,234,165,65,1,0,16,1,39,4,2,2
Data science and data analytics,86,46,36,4,0,6,5,18,1,0,2
"History/ philosophy of science, technology, and society",68,15,52,7,1,5,3,33,1,0,2
Nanoscience/ nanoscale science,33,17,16,1,0,2,2,10,1,0,0
Nutrition sciences,128,32,92,9,1,10,5,63,3,1,0
Multidisciplinary/ interdisciplinary sciences nec,323,103,202,25,0,12,21,132,2,1,9
Physical sciences,5443,2093,3142,296,6,343,99,2183,111,48,56
Astronomy and astrophysics,323,98,215,23,0,19,4,153,11,2,3
Astronomy,107,26,78,6,0,8,0,60,3,0,1
Astrophysics,133,39,88,11,0,5,2,63,4,2,1
Astronomy and astrophysics nec,83,33,49,6,0,6,2,30,4,0,1
Chemistry,2731,928,1711,174,6,171,62,1177,56,29,36
Analytical chemistry,344,116,225,29,1,20,13,157,4,0,1
Chemical biology,191,37,154,21,0,21,5,97,7,2,1
"Chemistry, general",611,203,339,30,3,28,12,218,7,14,27
Inorganic chemistry,266,80,183,19,0,14,6,133,10,1,0
Organic chemistry,566,205,355,29,0,42,13,251,13,6,1
Physical chemistry,294,110,182,17,0,19,2,136,7,0,1
Polymer chemistry,81,27,52,6,0,5,1,39,1,0,0
Theoretical and computational chemistry,202,93,103,9,0,17,5,65,2,5,0
Chemistry nec,176,57,118,14,2,5,5,81,5,1,5
Materials sciences,389,191,192,13,0,25,7,135,8,4,0
Materials science,188,96,88,7,0,10,3,64,2,2,0
Materials chemistry and materials sciences nec,201,95,104,6,0,15,4,71,6,2,0
Physics,2000,876,1024,86,0,128,26,718,36,13,17
Applied physics,124,51,62,5,0,8,3,42,2,2,0
Atomic/ molecular physics,103,38,64,6,0,6,1,44,6,0,1
Condensed matter and materials physics,365,191,169,11,0,35,9,105,7,1,1
Elementary particle physics,164,75,86,2,0,9,0,72,2,0,1
Nuclear physics,91,32,58,5,0,5,0,46,0,1,1
Optics/ optical sciences,135,82,48,2,0,6,1,36,1,0,2
Physics and astronomy,280,110,162,15,0,14,2,122,6,2,1
"Physics, general",430,176,199,20,0,24,2,134,4,6,9
Plasma and high-temperature physics,67,16,51,6,0,8,2,30,4,1,0
Theoretical and mathematical physics,117,47,69,8,0,9,0,48,3,0,1
Physics and physical sciences nec,124,58,56,6,0,4,6,39,1,0,0
Psychology,3793,335,3178,380,12,237,298,2005,141,39,66
Clinical psychology,1203,41,1078,128,6,90,69,703,50,10,22
Clinical child psychology,53,1,51,8,0,5,3,34,1,0,0
Clinical psychology,1150,40,1027,120,6,85,66,669,49,10,22
Counseling and applied psychology,1293,121,1099,141,3,66,155,654,47,16,17
Applied behavior analysis,49,6,42,9,0,4,0,25,2,0,2
Counseling psychology,366,28,316,45,1,17,51,173,16,9,4
Educational psychology,247,43,189,17,1,13,30,119,2,1,6
Industrial and organizational psychology,171,19,141,25,0,7,15,85,8,1,0
School psychology,223,12,201,20,0,15,26,128,8,3,1
Counseling and applied psychology nec,237,13,210,25,1,10,33,124,11,2,4
Research and experimental psychology,803,126,655,64,2,60,36,447,26,9,11
Behavioral neuroscience,82,5,67,8,0,3,3,52,1,0,0
Cognitive psychology and psycholinguistics,111,19,92,6,0,13,2,63,5,1,2
Developmental and child psychology,103,18,84,13,0,6,3,55,3,3,1
Experimental psychology,111,20,89,7,0,6,2,74,0,0,0
Social psychology,189,25,162,17,0,16,12,105,9,2,1
Research and experimental psychology nec,207,39,161,13,2,16,14,98,8,3,7
"Psychology, other",494,47,346,47,1,21,38,201,18,4,16
Human development,155,25,115,11,0,6,11,76,6,0,5
"Psychology, general",283,20,179,24,1,12,24,96,8,3,11
Psychology nec,56,2,52,12,0,3,3,29,4,1,0
Social sciences,4992,1716,3065,329,15,291,292,1950,103,46,39
Anthropology,379,66,296,39,4,21,9,205,7,8,3
"Anthropology, general",99,9,75,8,1,4,0,50,4,5,3
Cultural anthropology,161,43,116,17,1,12,7,76,1,2,0
Physical and biological anthropology,69,8,61,6,1,4,0,48,1,1,0
Anthropology nec,50,6,44,8,1,1,2,31,1,0,0
"Area, ethnic, cultural, gender, and group studies",452,108,316,59,8,32,47,152,7,7,4
Area studies,266,81,168,21,0,15,12,112,2,3,3
Ethnic studies,103,12,84,28,5,9,28,8,3,2,1
"Area, ethnic, cultural, gender, and group studies nec",83,15,64,10,3,8,7,32,2,2,0
Economics,1393,841,489,45,0,72,17,330,14,8,3
Agricultural economics,90,63,26,2,0,2,2,19,1,0,0
Applied economics,130,72,57,7,0,10,4,35,1,0,0
Development economics and international development,41,24,17,1,0,3,3,10,0,0,0
Econometrics and quantitative economics,202,171,28,2,0,5,1,17,1,2,0
"Economics, general",815,452,308,28,0,48,6,209,9,6,2
Environmental/ natural resource economics,62,30,30,2,0,2,0,24,1,0,1
Economics nec,53,29,23,3,0,2,1,16,1,0,0
Political science and government,665,196,438,42,0,39,30,298,12,6,11
"Political science and government, general",556,170,356,34,0,36,16,247,11,3,9
Political science and government nec,109,26,82,8,0,3,14,51,1,3,2
Public policy analysis,407,77,315,29,0,25,77,164,14,4,2
Education policy analysis,111,16,94,10,0,4,16,54,7,2,1
Health policy analysis,45,8,36,2,0,5,3,23,2,0,1
"Public policy analysis, general",113,31,76,6,0,9,15,44,2,0,0
Public policy nec,138,22,109,11,0,7,43,43,3,2,0
"Sociology, demography, and population studies",627,113,494,58,0,35,58,320,16,2,5
"Sociology, general",556,101,436,51,0,30,47,288,14,1,5
"Sociology, demography, and population studies nec",71,12,58,7,0,5,11,32,2,1,0
"Social sciences, other",1069,315,717,57,3,67,54,481,33,11,11
Applied linguistics,70,34,32,1,0,7,1,22,0,1,0
Archeology,91,19,72,5,1,2,0,59,4,1,0
Criminology,135,16,115,12,0,9,15,69,9,0,1
Geography and cartography,213,71,132,7,2,13,11,91,4,3,1
International relations and national security studies,115,36,74,6,0,7,4,52,2,1,2
Linguistics,194,76,107,7,0,8,1,84,3,1,3
Social sciences nec,251,63,185,19,0,21,22,104,11,4,4
Non-science and engineering,11889,2586,8556,856,47,580,1067,5472,236,115,183
Business,1510,742,663,38,2,122,65,392,15,12,17
Business administration and management,493,208,223,13,1,37,34,121,4,6,7
Business management and administration,312,129,136,5,1,24,16,76,2,5,7
Organizational leadership,68,8,49,8,0,3,12,23,2,1,0
Business administration and management nec,113,71,38,0,0,10,6,22,0,0,0
"Business, other",1017,534,440,25,1,85,31,271,11,6,10
Accounting and accounting-related,163,77,81,0,0,18,3,55,1,1,3
Finance and financial management,219,132,78,5,0,22,2,46,2,0,1
Management information systems,82,56,24,1,0,9,2,12,0,0,0
Management sciences,88,46,41,3,0,8,2,22,3,1,2
Marketing,145,85,52,2,0,12,2,33,2,0,1
Organizational behavior studies,100,32,66,6,0,4,7,46,0,3,0
Business nec,220,106,98,8,1,12,13,57,3,1,3
Education,3988,461,3291,356,25,180,594,1967,76,26,67
Education leadership and administration,1179,78,1051,118,6,47,271,553,25,9,22
"Educational leadership and administration, general",501,31,444,45,0,17,112,251,7,3,9
Higher education and community college administration,452,28,412,50,6,22,101,205,14,4,10
Education leadership and administration nec,226,19,195,23,0,8,58,97,4,2,3
Education research,1253,188,985,92,6,59,162,619,22,9,16
Curriculum and instruction,413,60,330,32,2,12,43,224,3,6,8
"Educational assessment, evaluation, and research methods",203,46,143,16,2,12,12,97,3,1,0
Educational/ instructional technology and media design,199,48,137,9,0,16,23,82,4,2,1
Higher education evaluation and research,62,4,56,7,1,3,14,30,0,0,1
Student counseling and personnel services,283,20,241,25,0,8,58,137,8,0,5
Education research nec,93,10,78,3,1,8,12,49,4,0,1
Teacher education and teaching fields,1098,159,885,96,10,50,106,582,18,3,20
"Adult, continuing, and workforce education and development",61,5,47,3,1,2,12,28,1,0,0
"Bilingual, multilingual, and multicultural education",72,6,62,18,2,8,13,18,2,0,1
Mathematics teacher education,73,19,52,4,1,5,6,32,2,0,2
Music teacher education,78,8,70,9,0,4,4,51,0,0,2
Special education and teaching,246,31,200,16,2,8,22,142,5,2,3
STEM educational methods,75,9,62,3,0,6,7,45,1,0,0
"Teacher education, science and engineering",55,4,47,2,0,2,7,35,0,0,1
"Teacher education, specific levels and methods",202,30,169,16,3,8,24,111,2,0,5
"Teacher education, specific subject areas",236,47,176,25,1,7,11,120,5,1,6
"Education, other",458,36,370,50,3,24,55,213,11,5,9
"Education, general",324,31,252,36,1,19,31,147,10,5,3
Education nec,134,5,118,14,2,5,24,66,1,0,6
Humanities,3358,621,2536,268,13,130,149,1805,74,41,56
"English language and literature, letters",1039,124,870,59,7,41,55,646,29,14,19
American literature (United States),113,14,98,9,0,1,15,71,2,0,0
Creative writing,103,6,95,3,0,7,7,73,4,0,1
"English language and literature, general",398,48,322,19,5,18,16,232,14,10,8
English literature (British and Commonwealth),141,23,115,4,0,5,0,101,2,2,1
"Rhetoric, composition, and writing studies",199,22,174,7,2,5,14,131,5,2,8
English language and literature nec,85,11,66,17,0,5,3,38,2,0,1
"Foreign languages, literatures, and linguistics",571,205,322,86,2,15,10,195,8,1,5
Comparative literature,129,44,70,6,0,3,2,55,4,0,0
"Hispanic/ Latin American languages, literatures, and linguistics",97,44,51,30,0,1,3,16,0,1,0
"Romance languages, literatures, and linguistics",97,32,57,8,0,3,4,41,1,0,0
Spanish language and literature,97,25,63,37,0,0,0,22,1,0,3
"Foreign languages, literatures, and linguistics nec",151,60,81,5,2,8,1,61,2,0,2
History,733,120,578,66,2,29,36,412,18,7,8
American history (United States),240,13,225,13,2,7,23,166,10,2,2
European history,109,16,93,9,0,2,1,77,2,1,1
"History, general",175,37,110,17,0,7,6,73,2,1,4
"History, regional focus",139,45,91,19,0,11,4,49,4,3,1
History nec,70,9,59,8,0,2,2,47,0,0,0
Philosophy and religious studies,619,107,482,41,2,27,22,347,15,16,12
Philosophy,415,82,312,33,1,13,14,219,10,12,10
Religion/ religious studies,143,15,121,5,0,8,6,96,2,2,2
Philosophy and religious studies nec,61,10,49,3,1,6,2,32,3,2,0
"Humanities, other",396,65,284,16,0,18,26,205,4,3,12
Bible/ biblical studies,99,19,74,3,0,4,2,62,2,0,1
Humanities and humanistic studies,98,22,72,9,0,2,7,49,0,0,5
Theological and ministerial studies,199,24,138,4,0,12,17,94,2,3,6
Visual and performing arts,824,185,575,50,2,38,22,423,16,9,15
Performing arts,487,96,340,30,1,18,14,251,12,6,8
"Dance, drama, theatre arts, and stagecraft",83,11,66,4,0,3,3,47,1,4,4
Music performance,122,27,73,9,1,6,2,50,3,0,2
Music theory and composition,94,27,61,5,0,3,4,42,5,1,1
Musicology and ethnomusicology,109,13,93,10,0,3,3,74,2,0,1
Music nec,79,18,47,2,0,3,2,38,1,1,0
"Visual arts, media studies, and design",337,89,235,20,1,20,8,172,4,3,7
"Art history, criticism, and conservation",185,39,140,8,0,12,5,105,2,2,6
"Film, cinema, and media studies",84,22,59,7,0,2,2,47,1,0,0
"Visual arts, media studies, and design nec",68,28,36,5,1,6,1,20,1,1,1
Other non-science and engineering,2209,577,1491,144,5,110,237,885,55,27,28
Communications and journalism,635,152,440,38,1,32,55,288,17,6,3
"Applied communication, advertising, and public relations",87,19,62,6,0,6,8,38,3,1,0
Communication and media studies,167,38,123,9,0,12,23,75,3,1,0
"Communication, general",194,37,141,11,0,5,10,107,5,1,2
Mass communication/ media studies,94,33,52,2,0,1,3,39,4,2,1
Communications and journalism nec,93,25,62,10,1,8,11,29,2,1,0
Multidisciplinary/ interdisciplinary studies,380,72,281,28,2,15,34,180,4,5,13
Classical and ancient studies,126,28,91,6,0,3,3,76,2,1,0
Interdisciplinary leadership/ leadership studies,110,8,87,7,0,4,20,44,2,0,10
Multidisciplinary/ interdisciplinary studies nec,144,36,103,15,2,8,11,60,0,4,3
Public administration and social services,505,99,383,41,1,25,96,193,17,5,5
Public administration,169,62,105,9,0,8,26,53,8,0,1
Social work and human services,336,37,278,32,1,17,70,140,9,5,4
"Non-science and engineering, other",689,254,387,37,1,38,52,224,17,11,7
Architecture and architectural studies,118,67,46,4,0,6,1,29,2,1,3
"City/ urban, community, and regional planning",103,49,48,6,0,3,9,24,3,3,0
"Family, consumer, and human sciences",132,35,91,7,0,11,7,57,5,2,2
Homeland security and protective services,138,26,94,7,0,8,24,51,3,1,0
Law/ legal studies and research,73,48,20,2,0,3,2,8,2,2,1
"Parks, recreation, leisure, fitness, and sport studies and management",93,23,66,8,0,6,6,42,1,2,1
Other non-science and engineering nec,32,6,22,3,1,1,3,13,1,0,0
