Table 7-10,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Massachusetts,3113,2609,14,567,176,591,61,145,80,129,346,124,376,504,74,119,176,46,89
Michigan,1980,1585,30,267,53,465,33,63,93,70,218,124,169,395,35,171,106,9,74
Minnesota,1369,1001,34,162,15,125,10,180,24,21,81,229,120,368,66,145,41,11,105
Mississippi,463,308,31,39,5,54,10,44,3,20,36,50,16,155,28,74,34,0,19
Missouri,962,723,18,164,34,147,20,60,29,20,80,73,78,239,20,62,107,8,42
Montana,138,109,7,31,5,10,6,3,6,1,13,16,11,29,0,21,6,0,2
Nebraska,373,298,26,81,10,41,3,32,18,8,23,31,25,75,4,33,20,0,18
Nevada,278,233,7,37,8,45,15,15,10,10,23,38,25,45,8,25,10,0,2
New Hampshire,187,171,5,49,2,32,6,12,12,3,38,6,6,16,1,6,9,0,0
New Jersey,1189,923,27,147,73,229,14,33,55,37,133,36,139,266,36,55,100,21,54
New Mexico,262,197,10,26,5,65,10,7,8,1,31,18,16,65,3,34,16,1,11
New York,4336,3401,61,828,207,623,74,169,140,130,388,305,476,935,91,231,303,126,184
North Carolina,1953,1591,55,413,70,352,24,116,91,60,169,94,147,362,38,120,101,13,90
North Dakota,177,144,14,21,2,48,2,8,13,2,14,17,3,33,4,18,5,0,6
Ohio,1921,1468,31,338,27,361,15,118,70,58,202,122,126,453,37,200,109,28,79
Oklahoma,499,358,16,64,14,88,19,19,17,9,34,43,35,141,32,42,27,11,29
Oregon,542,443,39,73,25,67,14,32,28,7,49,52,57,99,13,33,20,3,30
Pennsylvania,2725,2177,19,494,124,569,30,159,106,110,227,123,216,548,98,134,165,41,110
Puerto Rico,205,146,4,28,1,11,7,0,0,1,13,76,5,59,2,1,51,0,5
Rhode Island,337,292,2,63,16,48,18,12,18,6,56,6,47,45,3,8,26,4,4
South Carolina,581,443,18,90,20,142,8,49,20,12,46,15,23,138,8,78,17,0,35
South Dakota,116,104,13,21,6,21,1,12,0,1,11,15,3,12,1,1,4,0,6
Tennessee,998,775,25,200,30,177,16,47,21,31,92,76,60,223,22,95,62,6,38
Texas,4525,3495,92,689,156,1031,146,223,157,103,352,270,276,1030,169,390,281,43,147
Utah,583,496,9,100,25,120,24,33,23,6,73,58,25,87,10,44,17,0,16
Vermont,66,59,6,26,2,8,0,1,3,2,6,5,0,7,0,4,2,0,1
Virginia,1630,1289,45,211,77,413,33,60,36,59,107,119,129,341,35,201,52,6,47
Washington,985,831,27,197,35,177,31,74,36,48,78,48,80,154,29,41,31,8,45
West Virginia,245,180,7,34,8,39,2,12,9,7,27,21,14,65,6,42,4,7,6
Wisconsin,1055,814,28,203,31,166,12,69,36,25,98,52,94,241,20,89,76,13,43
Wyoming,93,79,6,12,2,29,7,0,4,2,8,6,3,14,0,13,0,0,1
