Table 3-1,Unnamed: 1,Unnamed: 2,Unnamed: 3
Botany and plant biology,62,45.0,59.0
Entomology,114,134.0,124.0
Plant pathology and phytopathology,119,98.0,105.0
Plant physiology and biology nec,60,70.0,67.0
Zoology and animal biology,96,84.0,88.0
Biological and biomedical sciences nec,184,200.0,226.0
Computer and information sciences,2194,2188.0,2297.0
Computer science,1545,1485.0,1605.0
Computer science,1545,1485.0,1605.0
"Computer and information sciences, other",649,703.0,692.0
Artificial intelligence,167,205.0,211.0
"Computer and information sciences, general",109,129.0,108.0
Computer systems networking and telecommunications,113,116.0,91.0
Informatics and information technology,88,94.0,105.0
Information sciences/ studies,103,92.0,119.0
Computer and information sciences nec,69,67.0,58.0
Engineering,9577,10753.0,10724.0
"Aerospace, aeronautical, astronautical, and space engineering",372,586.0,584.0
"Aerospace, aeronautical, astronautical, and space engineering, general",257,220.0,235.0
Mechanical and aerospace engineering ,na,213.0,207.0
"Aerospace, aeronautical, astronautical, and space engineering nec",115,153.0,142.0
"Biological, biomedical, and biosystems engineering",1070,1236.0,1313.0
Bioengineering and biomedical engineering,977,1135.0,1222.0
Biological/ biosystems engineering and biomedical technology,93,101.0,91.0
Chemical and petroleum engineering,1202,1253.0,1245.0
Chemical and biomolecular engineering,189,205.0,211.0
Chemical engineering,801,883.0,862.0
Petroleum engineering,132,102.0,103.0
Chemical and petroleum engineering nec,80,63.0,69.0
"Civil, environmental, and transportation engineering",1011,1314.0,1279.0
Civil engineering,571,330.0,342.0
Civil and environmental engineering ,na,501.0,505.0
Environmental/ environmental health engineering,93,65.0,58.0
Geotechnical and geoenvironmental engineering,76,87.0,82.0
Structural engineering,127,131.0,133.0
Transportation and highway engineering,76,112.0,81.0
"Civil, environmental, and transportation engineering nec",68,88.0,78.0
Electrical and computer engineering,2047,2130.0,2119.0
Computer engineering,264,263.0,256.0
Electrical and computer engineering,1205,1359.0,1359.0
Electrical and electronics engineering,512,433.0,436.0
Electrical and computer engineering nec,66,75.0,68.0
Engineering technologies,452,360.0,402.0
Electrical and electronic engineering technologies,80,55.0,71.0
Electromechanical technologies,59,90.0,90.0
Environmental control technologies,148,58.0,70.0
Engineering technologies nec,165,157.0,171.0
Industrial engineering and operations research,604,655.0,627.0
Industrial engineering,325,210.0,174.0
Industrial and systems engineering,na,128.0,134.0
Operations research,160,183.0,186.0
Systems and manufacturing engineering,119,134.0,133.0
Materials and mining engineering,670,925.0,912.0
Materials engineering,193,85.0,102.0
Materials science and engineering,429,783.0,762.0
Materials and mining engineering nec,48,57.0,48.0
Mechanical engineering,1501,1542.0,1552.0
"Mechanical engineering, general",1413,1437.0,1472.0
Mechanical engineering nec,88,105.0,80.0
"Engineering, other",648,752.0,691.0
"Engineering mechanics, physics, and science",111,166.0,105.0
Nanotechnology,60,54.0,47.0
Nuclear engineering,155,163.0,162.0
Engineering nec,322,369.0,377.0
"Geosciences, atmospheric, and ocean sciences",1044,1165.0,1216.0
Geological and earth sciences,613,658.0,682.0
Geochemistry,60,42.0,47.0
Geology,109,79.0,91.0
"Geology/ earth science, general",103,121.0,142.0
Geophysics and seismology,102,118.0,105.0
Hydrology and water resources science,81,89.0,96.0
Geological and earth sciences nec,158,209.0,201.0
"Ocean, marine, and atmospheric sciences",431,507.0,534.0
"Atmospheric sciences and meteorology, general",94,120.0,111.0
Atmospheric sciences and meteorology nec,47,95.0,123.0
"Climatology, atmospheric chemistry/ physics",60,67.0,67.0
Marine biology and biological oceanography,89,97.0,92.0
Marine sciences,57,63.0,66.0
"Oceanography, chemical/ physical",84,65.0,75.0
Health sciences,2577,2799.0,2746.0
Nursing and nursing science,601,617.0,638.0
Nursing education,88,81.0,84.0
Nursing science,358,381.0,396.0
Nursing specialties and practice,155,155.0,158.0
Pharmacy and pharmaceutical sciences,408,460.0,442.0
Medicinal and pharmaceutical chemistry,64,75.0,74.0
Pharmaceutical sciences,243,281.0,262.0
"Pharmacy, pharmaceutical sciences, and administration nec",101,104.0,106.0
Public health,696,792.0,766.0
Environmental health,66,68.0,70.0
Health services research,86,118.0,105.0
Health/ medical physics,71,68.0,72.0
Public health education and promotion,94,111.0,112.0
"Public health, general",179,211.0,203.0
Public health nec,200,216.0,204.0
"Health sciences, other",872,930.0,900.0
Communication disorders sciences,127,134.0,109.0
Exercise science and kinesiology,92,102.0,90.0
"Health sciences, general",65,61.0,61.0
Marriage and family therapy/ counseling,58,68.0,54.0
Medical clinical sciences,60,75.0,67.0
"Medical, biomedical, and health informatics",60,75.0,59.0
"Mental health, counseling, and therapy services and sciences",91,93.0,100.0
Rehabilitation and therapeutic sciences,120,149.0,159.0
Health sciences nec,199,173.0,201.0
Mathematics and statistics,1906,2143.0,2056.0
Applied mathematics,475,478.0,490.0
"Applied mathematics, general",265,275.0,267.0
Computational and applied mathematics,141,140.0,165.0
Applied mathematics nec,69,63.0,58.0
Mathematics,814,978.0,890.0
Algebra and number theory,69,75.0,71.0
"Mathematics, general",639,763.0,687.0
Mathematics nec,106,140.0,132.0
Statistics,617,687.0,676.0
"Applied statistics, general",55,70.0,58.0
Mathematics and statistics,128,101.0,70.0
Statistics,401,469.0,484.0
Statistics nec,33,47.0,64.0
Multidisciplinary/ interdisciplinary sciences,1271,1787.0,1704.0
Interdisciplinary computer sciences,447,626.0,583.0
Computer science and engineering,118,230.0,188.0
Electrical engineering and computer science,224,276.0,250.0
Interdisciplinary computer sciences nec,105,120.0,145.0
"Multidisciplinary/ interdisciplinary sciences, other",824,1161.0,1121.0
Behavioral and cognitive sciences,79,89.0,117.0
Computational science and engineering,104,111.0,132.0
Data mining and machine learning ,na,259.0,234.0
Data science and data analytics,106,94.0,86.0
"History/ philosophy of science, technology, and society",67,67.0,68.0
Nanoscience/ nanoscale science,57,53.0,33.0
Nutrition sciences,137,129.0,128.0
Multidisciplinary/ interdisciplinary sciences nec,274,359.0,323.0
Physical sciences,4807,5428.0,5443.0
Astronomy and astrophysics,263,289.0,323.0
Astronomy,71,109.0,107.0
Astrophysics,113,115.0,133.0
Astronomy and astrophysics nec,79,65.0,83.0
Chemistry,2366,2782.0,2731.0
Analytical chemistry,320,366.0,344.0
Chemical biology,151,163.0,191.0
"Chemistry, general",494,582.0,611.0
Inorganic chemistry,282,324.0,266.0
Organic chemistry,454,612.0,566.0
Physical chemistry,293,315.0,294.0
Polymer chemistry,121,98.0,81.0
Theoretical and computational chemistry,108,159.0,202.0
Chemistry nec,143,163.0,176.0
Materials sciences,429,385.0,389.0
Materials science,276,176.0,188.0
Materials chemistry and materials sciences nec,153,209.0,201.0
Physics,1749,1972.0,2000.0
Applied physics,132,161.0,124.0
Atomic/ molecular physics,89,87.0,103.0
Condensed matter and materials physics,359,433.0,365.0
Elementary particle physics,166,151.0,164.0
Nuclear physics,79,104.0,91.0
Optics/ optical sciences,120,138.0,135.0
Physics and astronomy,193,232.0,280.0
"Physics, general",337,401.0,430.0
Plasma and high-temperature physics,57,51.0,67.0
Theoretical and mathematical physics,99,101.0,117.0
Physics and physical sciences nec,118,113.0,124.0
Psychology,3696,3861.0,3793.0
Clinical psychology,1243,1130.0,1203.0
Clinical child psychology,52,55.0,53.0
Clinical psychology,1191,1075.0,1150.0
Counseling and applied psychology,1337,1416.0,1293.0
Applied behavior analysis,59,44.0,49.0
Counseling psychology,366,388.0,366.0
Educational psychology,229,245.0,247.0
Industrial and organizational psychology,181,197.0,171.0
School psychology,260,241.0,223.0
Counseling and applied psychology nec,242,301.0,237.0
Research and experimental psychology,651,852.0,803.0
Behavioral neuroscience,87,105.0,82.0
Cognitive psychology and psycholinguistics,106,100.0,111.0
Developmental and child psychology,78,114.0,103.0
Experimental psychology,98,130.0,111.0
Social psychology,143,221.0,189.0
Research and experimental psychology nec,139,182.0,207.0
"Psychology, other",465,463.0,494.0
Human development,141,145.0,155.0
"Psychology, general",256,265.0,283.0
Psychology nec,68,53.0,56.0
Social sciences,4651,5044.0,4992.0
Anthropology,387,409.0,379.0
"Anthropology, general",78,102.0,99.0
Cultural anthropology,187,198.0,161.0
Physical and biological anthropology,72,75.0,69.0
Anthropology nec,50,34.0,50.0
"Area, ethnic, cultural, gender, and group studies",383,442.0,452.0
Area studies,224,244.0,266.0
Ethnic studies,81,102.0,103.0
"Area, ethnic, cultural, gender, and group studies nec",78,96.0,83.0
Economics,1315,1391.0,1393.0
Agricultural economics,76,97.0,90.0
Applied economics,134,131.0,130.0
Development economics and international development,54,50.0,41.0
Econometrics and quantitative economics,146,179.0,202.0
"Economics, general",801,826.0,815.0
Environmental/ natural resource economics,55,50.0,62.0
Economics nec,49,58.0,53.0
Political science and government,581,676.0,665.0
"Political science and government, general",488,551.0,556.0
Political science and government nec,93,125.0,109.0
Public policy analysis,400,433.0,407.0
Education policy analysis,132,130.0,111.0
Health policy analysis,52,53.0,45.0
"Public policy analysis, general",158,120.0,113.0
Public policy nec,58,130.0,138.0
"Sociology, demography, and population studies",578,624.0,627.0
"Sociology, general",501,553.0,556.0
"Sociology, demography, and population studies nec",77,71.0,71.0
"Social sciences, other",1007,1069.0,1069.0
Applied linguistics,74,70.0,70.0
Archeology,83,105.0,91.0
Criminology,97,118.0,135.0
Geography and cartography,223,220.0,213.0
International relations and national security studies,104,129.0,115.0
Linguistics,203,192.0,194.0
Social sciences nec,223,235.0,251.0
Non-science and engineering,10972,11601.0,11889.0
Business,1344,1398.0,1510.0
Business administration and management,459,444.0,493.0
Business management and administration,235,297.0,312.0
Organizational leadership,117,54.0,68.0
Business administration and management nec,107,93.0,113.0
"Business, other",885,954.0,1017.0
Accounting and accounting-related,135,159.0,163.0
Finance and financial management,194,208.0,219.0
Management information systems,88,92.0,82.0
Management sciences,72,77.0,88.0
Marketing,119,146.0,145.0
Organizational behavior studies,103,94.0,100.0
Business nec,174,178.0,220.0
Education,3698,3882.0,3988.0
Education leadership and administration,1073,1150.0,1179.0
"Educational leadership and administration, general",491,478.0,501.0
Higher education and community college administration,391,436.0,452.0
Education leadership and administration nec,191,236.0,226.0
Education research,1203,1178.0,1253.0
Curriculum and instruction,425,407.0,413.0
"Educational assessment, evaluation, and research methods",222,218.0,203.0
Educational/ instructional technology and media design,155,170.0,199.0
Higher education evaluation and research,61,60.0,62.0
Student counseling and personnel services,266,245.0,283.0
Education research nec,74,78.0,93.0
Teacher education and teaching fields,1007,1094.0,1098.0
"Adult, continuing, and workforce education and development",66,64.0,61.0
"Bilingual, multilingual, and multicultural education",76,62.0,72.0
Mathematics teacher education,75,49.0,73.0
Music teacher education,73,73.0,78.0
Special education and teaching,234,257.0,246.0
STEM educational methods,70,83.0,75.0
"Teacher education, science and engineering",63,74.0,55.0
"Teacher education, specific levels and methods",152,187.0,202.0
"Teacher education, specific subject areas",198,245.0,236.0
"Education, other",415,460.0,458.0
"Education, general",267,323.0,324.0
Education nec,148,137.0,134.0
Humanities,3108,3367.0,3358.0
"English language and literature, letters",949,1062.0,1039.0
American literature (United States),129,138.0,113.0
Creative writing,68,75.0,103.0
"English language and literature, general",361,396.0,398.0
English literature (British and Commonwealth),131,161.0,141.0
"Rhetoric, composition, and writing studies",191,217.0,199.0
English language and literature nec,69,75.0,85.0
"Foreign languages, literatures, and linguistics",505,538.0,571.0
Comparative literature,118,91.0,129.0
"Hispanic/ Latin American languages, literatures, and linguistics",70,92.0,97.0
"Romance languages, literatures, and linguistics",72,104.0,97.0
Spanish language and literature,79,92.0,97.0
"Foreign languages, literatures, and linguistics nec",166,159.0,151.0
History,684,731.0,733.0
American history (United States),222,245.0,240.0
European history,88,120.0,109.0
"History, general",168,144.0,175.0
"History, regional focus",133,145.0,139.0
History nec,73,77.0,70.0
Philosophy and religious studies,598,643.0,619.0
Philosophy,406,433.0,415.0
Religion/ religious studies,125,140.0,143.0
Philosophy and religious studies nec,67,70.0,61.0
"Humanities, other",372,393.0,396.0
Bible/ biblical studies,71,90.0,99.0
Humanities and humanistic studies,62,79.0,98.0
Theological and ministerial studies,239,224.0,199.0
Visual and performing arts,770,835.0,824.0
Performing arts,490,489.0,487.0
"Dance, drama, theatre arts, and stagecraft",82,85.0,83.0
Music performance,127,117.0,122.0
Music theory and composition,86,92.0,94.0
Musicology and ethnomusicology,116,112.0,109.0
Music nec,79,83.0,79.0
"Visual arts, media studies, and design",280,346.0,337.0
"Art history, criticism, and conservation",167,208.0,185.0
"Film, cinema, and media studies",62,74.0,84.0
"Visual arts, media studies, and design nec",51,64.0,68.0
Other non-science and engineering,2052,2119.0,2209.0
Communications and journalism,521,586.0,635.0
"Applied communication, advertising, and public relations",94,103.0,87.0
Communication and media studies,161,145.0,167.0
"Communication, general",85,166.0,194.0
Mass communication/ media studies,95,94.0,94.0
Communications and journalism nec,86,78.0,93.0
Multidisciplinary/ interdisciplinary studies,303,372.0,380.0
Classical and ancient studies,91,100.0,126.0
Interdisciplinary leadership/ leadership studies,na,108.0,110.0
Multidisciplinary/ interdisciplinary studies nec,212,164.0,144.0
Public administration and social services,489,467.0,505.0
Public administration,175,178.0,169.0
Social work and human services,314,289.0,336.0
"Non-science and engineering, other",739,694.0,689.0
Architecture and architectural studies,133,99.0,118.0
"City/ urban, community, and regional planning",102,103.0,103.0
"Family, consumer, and human sciences",139,128.0,132.0
Homeland security and protective services,169,154.0,138.0
Law/ legal studies and research,79,71.0,73.0
"Parks, recreation, leisure, fitness, and sport studies and management",87,113.0,93.0
Other non-science and engineering nec,30,26.0,32.0
