Table 6-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Area, ethnic, cultural, gender, and group studies",452,275,246,88,121,7,30,29,0
Economics,1393,1087,822,164,241,241,176,263,2
Political science and government,665,467,408,148,157,49,54,59,0
Public policy analysis,407,285,265,56,74,33,102,19,1
"Sociology, demography, and population studies",627,470,422,133,190,40,59,48,0
"Social sciences, other",1069,694,597,174,226,90,107,97,0
Non-science and engineering,11889,7561,6889,1007,3598,657,1627,662,10
Business,1510,1115,938,86,644,136,72,175,2
Business administration and management,493,298,253,23,153,47,30,44,1
"Business, other",1017,817,685,63,491,89,42,131,1
Education,3988,2663,2547,216,1191,212,928,114,2
Education leadership and administration,1179,862,837,44,399,42,352,25,0
Education research,1253,792,754,65,336,113,240,37,1
Teacher education and teaching fields,1098,733,688,75,332,41,240,45,0
"Education, other",458,276,268,32,124,16,96,7,1
Humanities,3358,1967,1761,417,906,113,325,202,4
"English language and literature, letters",1039,604,566,101,344,50,71,37,1
"Foreign languages, literatures, and linguistics",571,318,280,59,165,15,41,37,1
History,733,446,400,129,165,18,88,45,1
Philosophy and religious studies,619,382,324,109,146,15,54,57,1
"Humanities, other",396,217,191,19,86,15,71,26,0
Visual and performing arts,824,434,388,62,229,39,58,46,0
Performing arts,487,249,228,19,147,28,34,21,0
"Visual arts, media studies, and design",337,185,160,43,82,11,24,25,0
Other non-science and engineering,2209,1382,1255,226,628,157,244,125,2
Communications and journalism,635,401,371,58,239,32,42,30,0
Multidisciplinary/ interdisciplinary studies,380,228,209,31,106,28,44,19,0
Public administration and social services,505,349,320,64,124,42,90,28,1
"Non-science and engineering, other",689,404,355,73,159,55,68,48,1
