Table 1-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
R2: doctoral universities - high research,692.0,701.0,737.0,767.0,731.0,719.0,716.0,699.0,656.0,696.0,695.0
Doctoral/ professional universities,515.0,616.0,597.0,589.0,531.0,611.0,608.0,630.0,648.0,636.0,594.0
Other universities,193.0,162.0,196.0,212.0,198.0,196.0,271.0,258.0,236.0,258.0,241.0
Social sciences,5041.0,5102.0,5369.0,5193.0,5188.0,5054.0,5134.0,5060.0,4875.0,5238.0,5199.0
R1: doctoral universities - very high research,4440.0,4413.0,4676.0,4532.0,4454.0,4403.0,4430.0,4376.0,4199.0,4548.0,4513.0
R2: doctoral universities - high research,475.0,505.0,536.0,470.0,558.0,459.0,487.0,476.0,457.0,448.0,496.0
Doctoral/ professional universities,86.0,133.0,98.0,127.0,124.0,150.0,169.0,155.0,173.0,186.0,129.0
Other universities,40.0,51.0,59.0,64.0,52.0,42.0,48.0,53.0,46.0,56.0,61.0
Non-science and engineering,13619.0,13278.0,13639.0,13503.0,13186.0,12934.0,12702.0,12639.0,11341.0,12046.0,12329.0
R1: doctoral universities - very high research,10917.0,10527.0,10699.0,10497.0,10148.0,10022.0,9814.0,9697.0,8539.0,9223.0,9470.0
R2: doctoral universities - high research,1661.0,1729.0,1818.0,1888.0,1921.0,1743.0,1740.0,1708.0,1578.0,1627.0,1626.0
Doctoral/ professional universities,580.0,626.0,687.0,729.0,698.0,746.0,714.0,796.0,833.0,752.0,735.0
Other universities,461.0,396.0,435.0,389.0,419.0,423.0,434.0,438.0,391.0,444.0,498.0
Business ,1551.0,1584.0,1582.0,1509.0,1566.0,1473.0,1529.0,1466.0,1389.0,1447.0,1560.0
R1: doctoral universities - very high research,1220.0,1204.0,1239.0,1184.0,1145.0,1096.0,1146.0,1118.0,1018.0,1135.0,1265.0
R2: doctoral universities - high research,143.0,185.0,147.0,163.0,194.0,165.0,165.0,172.0,171.0,160.0,160.0
Doctoral/ professional universities,135.0,160.0,169.0,129.0,193.0,181.0,173.0,145.0,173.0,134.0,106.0
Other universities,53.0,35.0,27.0,33.0,34.0,31.0,45.0,31.0,27.0,18.0,29.0
Education,4934.0,4789.0,5098.0,5146.0,4825.0,4818.0,4628.0,4712.0,4239.0,4471.0,4562.0
R1: doctoral universities - very high research,3602.0,3467.0,3569.0,3573.0,3378.0,3373.0,3229.0,3284.0,2892.0,3143.0,3162.0
R2: doctoral universities - high research,924.0,922.0,1087.0,1074.0,1066.0,989.0,994.0,953.0,887.0,879.0,896.0
Doctoral/ professional universities,317.0,336.0,372.0,421.0,317.0,375.0,328.0,400.0,396.0,371.0,392.0
Other universities,91.0,64.0,70.0,78.0,64.0,81.0,77.0,75.0,64.0,78.0,112.0
Humanities and arts,5662.0,5446.0,5522.0,5416.0,5209.0,5139.0,5051.0,4924.0,4132.0,4456.0,4453.0
R1: doctoral universities - very high research,4827.0,4632.0,4684.0,4562.0,4362.0,4342.0,4273.0,4108.0,3436.0,3703.0,3713.0
R2: doctoral universities - high research,466.0,477.0,450.0,513.0,487.0,437.0,406.0,430.0,342.0,368.0,368.0
Doctoral/ professional universities,78.0,66.0,80.0,103.0,71.0,81.0,80.0,86.0,85.0,86.0,65.0
Other universities,291.0,271.0,308.0,238.0,289.0,279.0,292.0,300.0,269.0,299.0,307.0
Other non-science and engineering,1472.0,1459.0,1437.0,1432.0,1586.0,1504.0,1494.0,1537.0,1581.0,1672.0,1754.0
R1: doctoral universities - very high research,1268.0,1224.0,1207.0,1178.0,1263.0,1211.0,1166.0,1187.0,1193.0,1242.0,1330.0
R2: doctoral universities - high research,128.0,145.0,134.0,138.0,174.0,152.0,175.0,153.0,178.0,220.0,202.0
Doctoral/ professional universities,50.0,64.0,66.0,76.0,117.0,109.0,133.0,165.0,179.0,161.0,172.0
Other universities,26.0,26.0,30.0,40.0,32.0,32.0,20.0,32.0,31.0,49.0,50.0
