Table 9-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Professional services and other,21,19.7,14,23.1,21.4,15,20.6
Secondary activityg,,,,,,,
Research and development,21.5,33.5,37.9,22.4,35.7,38.1,39.2
Teaching,7.8,17.5,32.5,16.5,10.4,7.5,14.8
Management or administration,13.6,10.6,5.5,16.5,9,6.8,12.3
Professional services and other,10.4,7.3,3.1,8.6,7.7,10.9,8.8
No secondary activity,46.7,31.1,21,36,37.1,36.7,24.8
Activity unknown,3.7,4,1.8,4.5,4.2,4.5,5.3
Postgraduation location (%)h,,,,,,,
United Statesi,90.5,88.5,83.4,94.4,87.8,88.4,87.8
Midwest,15.3,20,17.3,23.3,19.2,23.8,18.6
Northeast,21.4,18.2,16.1,15.9,19.6,25.4,18.6
South,25.4,33.6,34.4,39.3,31.9,19.9,32.7
West,27.9,16.1,15.3,15.6,16,19.3,16.8
Outside the United States,9.5,11.3,16.3,5.6,12.1,11.6,12
Location unknown,0.1,0.1,0.3,0,0.1,0,0.2
Postgraduation location in same state as doctorate institution (%),36,38.8,18.1,58,37.9,44.8,35.8
Female doctorate recipients reporting postgraduation status (number),24683,6193,588,2560,1449,413,1183
Definite postdoctoral training plans,27.1,10.6,8.5,6.4,15.7,11.4,14
Definite employment plans,46.1,61.8,77.7,68.9,50.4,49.9,56.5
Seeking employment or study,23.8,24.6,11.6,22.1,29.3,35.8,27
Other statusa,2.9,2.9,2.2,2.5,4.3,2.7,2.5
Definite postdoctoral training plans (%)b,,,,,,,
Postdoc fellowship or research associateship,93.7,93.3,92,91.5,93.9,95.7,94
Other training or unknownc,6.3,6.7,8,8.5,6.1,4.3,6
Definite employment plans (%)d,,,,,,,
Academe,42.7,61.8,80.5,51.8,72,71.4,61.1
In tenure track faculty position (%),43,43.4,82.6,29.2,35.4,34,53.7
Not in tenure track position (%),54.8,54.7,16.3,68.5,62.4,63.9,45.6
Government,7,4.3,D,4.1,2.9,D,9
Industry or businesse,34.8,10.5,12.7,9.3,8.6,9.7,14.2
Nonprofit organization,8.2,8,D,7.7,9.7,D,9.9
Other or unknownf,7.3,15.5,2.8,27.1,6.8,6.3,5.8
Primary activityg,,,,,,,
Research and development,38.6,17.8,41.7,11.6,11.2,10.3,27
Teaching,30.4,48.4,43.1,44.3,63.2,59.5,42.9
Management or administration,7.2,13.8,5,21.8,7.1,9.7,7.2
Professional services and other,23.9,20.1,10.3,22.2,18.5,20.5,22.8
Secondary activityg,,,,,,,
Research and development,25.6,33,43.5,25.1,39.8,39,36.9
Teaching,10,15.1,30.5,13,10.4,10.3,17
Management or administration,13.8,12.9,6.8,15.2,10.7,11.3,13.8
Professional services and other,8.7,6.8,2.7,9.3,5.1,5.1,5.5
No secondary activity,42,32.2,16.4,37.4,34,34.4,26.7
Activity unknown,3.8,4.4,3.9,4.5,3.8,5.3,4.8
Postgraduation location (%)h,,,,,,,
United Statesi,93.8,92.9,85,96.1,91.3,90.1,92.8
Midwest,16.9,19.7,17.4,22.4,18.6,15.8,17.1
Northeast,22.8,19.1,16.6,14.7,26.2,29.6,19.8
South,29.4,35.2,32.3,39.7,29.6,25.3,36.1
West,24.1,18.1,18.1,18.7,16.4,18.6,18.5
Outside the United States,6.1,7,15,3.8,8.3,9.9,7.1
Location unknown,0.1,0.1,0,0.1,0.3,0,0.1
Postgraduation location in same state as doctorate institution (%),41.8,47.2,18.3,63.3,40.9,37.5,37.5
