Table 6-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Chemistry,1711,1156,1132,419,86,549,78,24,0
Materials sciences,192,121,D,33,D,65,13,D,0
Physics,1024,686,632,311,53,217,51,54,0
Psychology,3178,2384,2363,1418,348,285,312,21,0
Clinical psychology,1078,893,D,760,42,D,D,D,0
Counseling and applied psychology,1099,835,828,409,D,D,152,7,0
Research and experimental psychology,655,447,D,173,117,D,D,D,0
"Psychology, other",346,209,D,76,D,41,38,D,0
Social sciences,3065,2221,2124,559,803,295,467,97,0
Anthropology,296,181,165,69,58,17,21,16,0
"Area, ethnic, cultural, gender, and group studies",316,212,201,D,102,D,28,11,0
Economics,489,408,390,D,112,D,122,18,0
Political science and government,438,322,310,97,121,40,52,12,0
Public policy analysis,315,232,227,D,63,D,95,5,0
"Sociology, demography, and population studies",494,385,369,111,169,34,55,16,0
"Social sciences, other",717,481,462,115,178,75,94,19,0
Non-science and engineering,8556,5820,5678,711,2871,542,1554,138,4
Business,663,504,486,39,309,79,59,18,0
Business administration and management,223,150,D,D,83,29,27,D,0
"Business, other",440,354,D,D,226,50,32,D,0
Education,3291,2375,2360,161,1095,198,906,14,1
Education leadership and administration,1051,822,817,D,390,D,352,5,0
Education research,985,673,D,43,D,D,231,D,0
Teacher education and teaching fields,885,627,D,58,295,D,231,D,0
"Education, other",370,253,252,D,D,16,92,0,1
Humanities,2536,1588,1521,317,785,104,315,65,2
"English language and literature, letters",870,534,521,D,320,D,71,12,1
"Foreign languages, literatures, and linguistics",322,196,187,D,109,D,35,8,1
History,578,371,355,D,151,D,87,16,0
Philosophy and religious studies,482,313,289,D,132,D,52,24,0
"Humanities, other",284,174,169,D,73,D,70,5,0
Visual and performing arts,575,350,333,52,194,34,53,17,0
Performing arts,340,207,196,D,124,D,32,11,0
"Visual arts, media studies, and design",235,143,137,D,70,D,21,6,0
Other non-science and engineering,1491,1003,978,142,488,127,221,24,1
Communications and journalism,440,292,284,D,183,D,37,8,0
Multidisciplinary/ interdisciplinary studies,281,188,179,D,88,D,42,9,0
Public administration and social services,383,271,D,42,105,D,85,D,1
"Non-science and engineering, other",387,252,D,D,112,37,57,D,0
