Table 9-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Industry or businesse,78,59.1,80.5,90.7,68.1,81.8,85.3,66.9,87.3,77.4,69
Nonprofit organization,3.1,5.8,3.7,D,2.4,3.1,D,4.2,D,4.2,4.2
Other or unknownf,1.5,2.3,1.2,1.2,2.4,1.5,0.7,0.8,1.5,1.8,0.9
Primary activityg,,,,,,,,,,,
Research and development,69.5,76.9,75.1,76.1,30.9,76.4,68.7,55.4,77.1,74.9,69.1
Teaching,6.1,D,D,D,D,D,D,D,D,D,D
Management or administration,1.4,D,D,D,D,D,D,D,D,D,D
Professional services and other,23,15.8,19.8,19,54.1,17.4,24.5,29,20.7,17.9,23
Secondary activityg,,,,,,,,,,,
Research and development,15.5,13.4,6.8,D,32.3,14.2,17,23.4,D,12.6,D
Teaching,3.2,D,D,D,D,2.4,D,6.9,D,3.4,D
Management or administration,14.3,D,D,21.2,12.4,10,D,16.9,19.5,14.1,16.2
Professional services and other,12.8,15.4,15.2,12.7,10.8,10.9,12.2,13.4,15,13,15.7
No secondary activity,54.2,56.3,53.6,52.9,40.6,62.5,55.1,39.4,55.6,57,47.5
Activity unknown,3.4,3.9,1.7,2.1,3.7,3.7,2,2.1,3.3,5.1,4.2
Postgraduation location (%)h,,,,,,,,,,,
United Statesi,92.1,94.8,96.1,91,89.1,91.1,89.2,91,92.2,93.4,95.2
Midwest,14.5,15,13.3,14.6,16.6,10.6,13.7,15.1,11.2,20,17.1
Northeast,18.4,15.9,31.1,23.3,13.8,13.2,14.2,22.1,20.4,18.8,18.1
South,24.6,30.3,23.6,20.8,32.1,23.9,24.5,31.1,19,22.1,24.4
West,34.3,32.9,28.1,32.3,25.9,43.2,36.8,21.7,41.1,32.4,35.6
Outside the United States,7.8,5.2,3.9,9,10.9,8.9,10.8,9,7.8,6.6,4.4
Location unknown,*,0,0,0,0,0,0,0,0,0,0.3
Postgraduation location in same state as doctorate institution (%),36.9,34.1,44.4,33.2,42.1,35.6,33,36.5,33.7,37.9,36.8
Female doctorate recipients reporting postgraduation status (number),2541,82,521,323,371,348,81,170,238,244,163
Definite postdoctoral training plans,23.5,20.7,32.6,20.7,27.2,16.1,22.2,10,25.6,19.7,26.4
Definite employment plans,47.8,56.1,36.1,51.1,38.5,58.6,48.1,65.3,50.4,53.3,42.3
Seeking employment or study,26.3,23.2,27.4,26.9,31.5,23.9,27.2,22.9,22.3,24.6,28.2
Other statusa,2.3,0,3.8,1.2,2.7,1.4,2.5,1.8,1.7,2,3.1
Definite postdoctoral training plans (%)b,,,,,,,,,,,
Postdoc fellowship or research associateship,95.5,D,93.5,95.5,98,92.9,100,76.5,98.4,100,95.3
Other training or unknownc,4.5,D,6.5,4.5,2,7.1,0,23.5,1.6,0,4.7
Definite employment plans (%)d,,,,,,,,,,,
Academe,14.7,D,8,D,17.5,11.3,D,27.9,D,16.9,D
In tenure track faculty position (%),46.1,54.5,D,D,40,69.6,D,51.6,D,54.5,D
Not in tenure track position (%),51.7,D,D,72.7,56,26.1,54.5,45.2,55.6,45.5,60
Government,6.2,13,3.7,3,13.3,3.4,D,8.1,6.7,5.4,D
Industry or businesse,73.6,50,83,86.7,62.2,81.4,61.5,58.6,80.8,71.5,55.1
Nonprofit organization,4.1,D,3.7,D,5.6,2.5,D,4.5,D,3.8,7.2
Other or unknownf,1.5,2.2,1.6,0.6,1.4,1.5,0,0.9,1.7,2.3,2.9
Primary activityg,,,,,,,,,,,
Research and development,60.3,62.2,59,73.1,35.7,74.9,43.6,51.9,72.6,56.9,47.8
Teaching,8.7,11.1,D,D,D,D,D,D,D,12.2,D
Management or administration,1.9,0,D,D,D,D,D,D,D,0,D
Professional services and other,29.2,26.7,36.1,22.5,50.7,17.6,30.8,26.4,21.2,30.9,31.3
Secondary activityg,,,,,,,,,,,
Research and development,17.7,17.8,14.2,10.6,30,13.1,28.2,21.7,D,21.1,D
Teaching,3.8,D,D,0,D,3.5,D,8.5,D,4.9,D
Management or administration,12.5,D,D,16.9,14.3,7.5,D,7.5,14.2,11.4,19.4
Professional services and other,11.7,15.6,8.7,12.5,12.9,14.6,12.8,13.2,8,11.4,7.5
No secondary activity,54.3,51.1,59,60,40,61.3,46.2,49.1,61.9,51.2,44.8
Activity unknown,3.3,2.2,2.7,3,2.1,2.5,0,4.5,5.8,5.4,2.9
Postgraduation location (%)h,,,,,,,,,,,
United Statesi,94.8,D,96.4,95.3,94.7,93.5,89.5,93,94.5,94.9,94.6
Midwest,13.7,14.3,14.8,17.2,12.3,6.2,15.8,12.5,14.9,18.5,13.4
Northeast,22.7,15.9,33.2,25.4,19.3,18.8,10.5,25.8,17.7,19.1,20.5
South,25.2,28.6,21.2,25,35.2,22.3,29.8,28.9,22.7,18.5,28.6
West,32.9,38.1,26.5,27.6,27.9,45.4,31.6,25.8,39.2,38.8,32.1
Outside the United States,5.1,0,3.6,4.7,5.3,6.2,10.5,6.3,5.5,5.1,5.4
Location unknown,0.1,D,0,0,0,0.4,0,0.8,0,0,0
Postgraduation location in same state as doctorate institution (%),37.2,33.3,43.3,30.6,43.9,31.5,31.6,43,38.1,34.3,32.1
