sas_name,SESTAT_NAME,DESCRIPTION,source,question,domain,SAS_FMT
ACTRES,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH,Primary/secondary work activity on principal job: basic or applied research,RECODE,Derived within SESTAT from reported information.,"Working during the week of October 1, 2003",$YESNO.
ACTTCH,F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH,Primary/secondary work activity on principal job: teaching,RECODE,Derived within SESTAT from reported information.,"Working during the week of October 1, 2003",$YESNO.
AGEP,U_DEM_AGE_PUB,Age (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,AGE03P.
ARTICLEP,F_JOB_ARTICLES_PROF_JOURNALS_PUB,No. of articles (co)authored since [question reference period] which have been accepted for publication (recoded for public use),C01.2 (RECODE),"Since [question reference period], how many articles, (co)authored by you, have been accepted for publication in a refereed professional journal?","All respondents, except for those who never worked",NUM5TOP.
BA03Y5P,J_ED_BA_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB,"Year of first bachelor's degree (5-year intervals), recoded for public use.",RECODE,Derived within SESTAT from reported information.,"Completed a degree or certificate before October 1, 2003",FIVEY03P.
BOOKSP,F_JOB_BOOKS_PUBLISHED_IND,1 or more books or monographs (co)authored since [question reference period] have been published or accepted for publication,C01.3,Derived within SESTAT from reported information.,"All respondents, except for those who never worked",$YESNO.
BTHUS,U_DEM_BIRTH_PLACE_REGION_US_NONUS,Place of birth (U.S./Non-U.S.),RECODE,Derived within SESTAT from reported information.,All respondents,$USNONUS.
CH1218IN,W_DEM_CHILDREN_IND_12_18,Children living in household indicator: ages 12-18,RECODE,Derived within SESTAT from reported information.,"Children living in the household on October 1, 2003",$YESNO.
CH19IN,W_DEM_CHILDREN_IND_19,Children living in household indicator: age 19 or older,RECODE,Derived within SESTAT from reported information.,"Children living in the household on October 1, 2003",$YESNO.
CH25IN,W_DEM_CHILDREN_IND_2_5,Children living in household indicator: ages 2-5,RECODE,Derived within SESTAT from reported information.,"Children living in the household on October 1, 2003",$YESNO.
CH611IN,W_DEM_CHILDREN_IND_6_11,Children living in household indicator: ages 6-11,RECODE,Derived within SESTAT from reported information.,"Children living in the household on October 1, 2003",$YESNO.
CH6IN,W_DEM_CHILDREN_IND_UNDER_6,Children living in household indicator: under age 6,RECODE,Derived within SESTAT from reported information.,"Children living in the household on October 1, 2003",$YESNO.
CHTOTPB,W_DEM_CHILDREN_TOTAL_PUB,Total number of children (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$CHTOTP.
CHU2IN,W_DEM_CHILDREN_IND_UNDER_2,Children living in household indicator: under age 2,RECODE,Derived within SESTAT from reported information.,"Children living in the household on October 1, 2003",$YESNO.
CHUN12,W_DEM_CHILDREN_UNDER_12_IND,Children living in household indicator: under age 12,RECODE,Derived within SESTAT from reported information.,"Children living in the household on October 1, 2003",$YESNO.
CMEDU,V_DEM_FIRST_CAME_REASON_TO_US_EDUCATION,Factors important in deciding to come to U.S.:  educational opportunities,E14.2,"Which factors were important in your decision to first come to the United States for six months or longer? (Marked ""Educational opportunities in the United States"")",Non-U.S. born citizens,$YESNO.
CMFAM,V_DEM_FIRST_CAME_REASON_TO_US_FAMILY,Factors important in deciding to come to U.S.:  family-related reasons,E14.1,"Which factors were important in your decision to first come to the United States for six months or longer? (Marked ""Family -related reasons"")",Non-U.S. born citizens,$YESNO.
CMFLD,V_DEM_FIRST_CAME_REASON_TO_US_SCIENCE,Factors important in deciding to come to U.S.:  scientific/professional infrastructure,E14.4,"Which factors were important in your decision to first come to the United States for six months or longer? (Marked ""Scientific or professional infrastructure in my field"")",Non-U.S. born citizens,$YESNO.
CMOPP,V_DEM_FIRST_CAME_REASON_TO_US_JOB,Factors important in deciding to come to U.S.:  job/economic opportunities,E14.3,"Which factors were important in your decision to first come to the United States for six months or longer? Marked ""Job or economic opportunities"")",Non-U.S. born citizens,$YESNO.
CMOT,V_DEM_FIRST_CAME_REASON_TO_US_OTHER,Factors important in deciding to come to U.S.:  other,E14.5,"Which factors were important in your decision to first come to the United States for six months or longer? (Marked ""Other"")",Non-U.S. born citizens,$YESNO.
CMPRI,V_DEM_FIRST_CAME_REASON_TO_US_PRIMARY,Reasons for coming to U.S.: most important reason,E15.1,"Which TWO factors in previous question were the MOST important reasons in your decision to come to the United States? (Response to ""Most important reason"")",Non-U.S. born citizens,$RSNUS.
CMSEC,V_DEM_FIRST_CAME_REASON_TO_US_SECONDARY,Reasons for coming to U.S.: second most important reason,E15.2,"Which TWO factors in previous question were the MOST important reasons in your decision to come to the United States? (Response to ""Second most important reason"")",Non-U.S. born citizens,$RSNUSR.
COHORT,Z_SURVEY_COHORT,Survey cohort,SYSTEM,Data item developed by survey contractors; describes the original survey where respondent entered SESTAT system,All respondents,$COHORT.
CTZUS,V_DEM_US_CITIZENSHIP_STATUS,Type of US citizen,E08,Were you a U.S. citizen?,U.S. citizens,$USCTZ.
CTZUSIN,V_DEM_CITIZENSHIP_US_CITIZEN,U.S. citizenship status,E07,On [survey reference date] were you a?. [Response to US or Non-US citizen],All respondents,$YESNO.
DGRDG,O_ED_HD_DEGREE_TYPE,Highest degree type,SYSTEM,"Derived within SESTAT from reported information. Click <a href=""./inventory.html"">here</A> for more information about the source of this variable.",All respondents,$DEGREE.
EMSECPB,E_JOB_EMPLR_SECTOR_CD_PUB,Employer sector (recoded for public use),RECODE,Derived within SESTAT from reported information.,"Working week of October 1, 2003",$EMSECP.
EMSIZE,E_JOB_EMPLR_SIZE,Employer size,A13,"Counting all locations where this employer operates, how many people worked for your principal employer?  Your best estimate is fine.","Working during the week of October 1, 2003",$EMP2SIZ.
EMSMI,D_JOB_SAME_EMPLOYER_JOB,"Employment status (same job/employer?), current and previous reference weeks",B02,"(IF YES) During these two time periods - the week of [previous survey reference date], and [survey reference date] -- were you working for?[the same job and/or employer?]","Working during the weeks of April 15, 2001 and October 1, 2003 (working respondents in NSCG and SDR only)",$SAMEDIF.
FACTEN,E_JOB_EMPLR_EDUC_INST_TENURE_RANK,Faculty rank and tenure status,RECODE,Derived within SESTAT from reported information.,Employed in a postsecondary educational institution (for respondents to SDR only),$FACTNR.
FNVSPUB,V_DEM_FIRST_CAME_VISA_TYPE_PUB,Type of visa held when first came to US,RECODE,What kind visa did you hold when you first came to the United States for six months or longer?,Non-U.S. born citizens,$RESDNTP.
FPTIND,A_JOB_STATUS_FULL_PART_TIME,Full-time/part-time status counting all jobs during reference week,A07,"Counting all jobs held during the week of [survey reference date], did you usually work?","Working week of October 1, 2003",$FULPRT.
FSAGR,I_JOB_GOV_AGCY_SUPP_AGRIC,Federal agency supporting work: Agriculture,A41.01,"Which Federal agencies or departments were supporting your work? (Marked or ""Agriculture Department"")",Work on job supported by U.S. government,$MRKALL.
FSDED,I_JOB_GOV_AGCY_SUPP_EDUC,Federal agency supporting work: Education,A41.03,"Which Federal agencies or departments were supporting your work? (Marked ""Department of Education (including NCES, OERI, FIPSE, FIRST)"")",Work on job supported by U.S. government,$MRKALL.
FSDK,I_JOB_GOV_AGCY_SUPPORT_DONT_KNOW,Federal agency supporting work: Agency Unknown,A41.12,"Which Federal agencies or departments were supporting your work? (Marked ""Don't Know Source Agency"")",Work on job supported by U.S. government,$MRKALL.
FSDOD,I_JOB_GOV_AGCY_SUPP_DEFENSE,Federal agency supporting work: Defense,A41.02,"Which Federal agencies or departments were supporting your work? (Marked ""Defense Department (DOD)"")",Work on job supported by U.S. government,$MRKALL.
FSDOE,I_JOB_GOV_AGCY_SUPP_ENERGY,Federal agency supporting work: Energy,A41.04,"Which Federal agencies or departments were supporting your work? (Marked ""Energy Department (DOE)"")",Work on job supported by U.S. government,$MRKALL.
FSDOT,I_JOB_GOV_AGCY_SUPP_TRANSPORT,Federal agency supporting work: Transportation,A41.10,"Which Federal agencies or departments were supporting your work? (Marked ""Transportation Department (DOT)"")",Work on job supported by U.S. government,$MRKALL.
FSEPA,I_JOB_GOV_AGCY_SUPP_EPA,Federal agency supporting work: EPA,A41.05,"Which Federal agencies or departments were supporting your work? (Marked ""Environmental Protection Agency (EPA)"")",Work on job supported by U.S. government,$MRKALL.
FSHHS,I_JOB_GOV_AGCY_SUPP_HHS,Federal agency supporting work: HHS,A41.06,"Which Federal agencies or departments were supporting your work? (Marked ""Health and Humans Services Department (excluding NIH)"")",Work on job supported by U.S. government,$MRKALL.
FSNASA,I_JOB_GOV_AGCY_SUPP_NASA,Federal agency supporting work: NASA,A41.07,"Which Federal agencies or departments were supporting your work? (Marked ""National Aeronautics and Space Administration (NASA)"")",Work on job supported by U.S. government,$MRKALL.
FSNIH,I_JOB_GOV_AGCY_SUPP_NIH,Federal agency supporting work: NIH,A41.08,"Which Federal agencies or departments were supporting your work? (Marked ""National Institutes of Health (NIH)"")",Work on job supported by U.S. government,$MRKALL.
FSNSF,I_JOB_GOV_AGCY_SUPP_NSF,Federal agency supporting work: NSF,A41.09,"Which Federal agencies or departments were supporting your work? (Marked ""National Science Foundation (NSF)"")",Work on job supported by U.S. government,$MRKALL.
FSOT,I_JOB_GOV_AGCY_SUPP_OTHR,Federal agency supporting work: Other,A41.11,"Which Federal agencies or departments were supporting your work? (Marked ""Other"")",Work on job supported by U.S. government,$MRKALL.
FTPRET,B_JOB_RETIRED_PREVLY_IND,Previously retired,A10,"Although you were working during the week of [survey reference date], had you previously RETIRED from any position?","Working full-time during week of October 1, 2003 (for respondents to NSCG and SDR surveys)",$YESNO.
GENDER,U_DEM_GENDER,Gender,SYSTEM,"Are you - (Response to ""gender"" categories)",All respondents,$GENDER.
GOVSUP,I_JOB_GOV_AGCY_SUPPORT_IND,Federal government support indicator,A40,"Thinking back now to [prior calendar year], was any of your work during [prior calendar year] supported by conttracts or grants from the U.S. government?",Worked during calendar year 2002,$YESNO.
HD03Y5P,O_ED_HD_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB,"Year of highest degree (5 year intervals), recoded for public use.",RECODE,Derived within SESTAT from reported information.,"Completed a degree or certificate before October 1, 2003",FIVEY03P.
HRSWKP,B_PRINCIPAL_JOB_WKLY_HRS_PUB,Principal job: hours per week typically worked (recoded for public use),A38 (RECODE),"During a typical week on this job, how many hours did you usually work?","Working week of October 1, 2003",HRSWKP.
JOBSATIS,F_JOB_SATISFACTION_OVERALL,Job satisfaction,A36,How would you rate your overall satisfaction with the job you held during the week of [survey reference date]?,"Working during the week of October 1, 2003",$SATIS.
LFSTAT,A_JOB_STATUS_LABOR_FORCE_STAT,Labor force status,RECODE,Derived within SESTAT from reported information.,All respondents,$LFSTAT.
LOOKWK,A_JOB_STATUS_LOOKING_FOR_WRK_IND,"Not working, looking for work",A02,Did you look for work at anytime during the four weeks preceding [survey reference date]?,"Not working during the week of October 1, 2003",$YESNO.
LWYRP,C_JOB_LAST_WRKD_PUB_YR,Year last worked (recoded for public use),A04YY (RECODE),"Prior to the week of [survey reference date], when did you last work for pay or profit? [Year response]","Not working week of October 1, 2003 and did not mark NEVER WORKED FOR PAY OR PROFIT",LWKPB.
MGRNAT,F_JOB_MGR_TECH_EXPERTSE_PHYS_SCI,"Job required technical expertise at the bachelor's level or higher:  eng, comp sci, math, nat sciences",A23.1,"Did your duties on this job require technical expertise of a bachelor's degree in engineering, computer science, math, or the natural sciences?","Working week of October 1, 2003",$YESNO.
MGROTH,F_JOB_MGR_TECH_EXPERTSE_OTHER,Job required technical expertise at the bachelor's level or higher:  Other fields (e.g. health/business),A23.3,"Did your duties on this job require technical expertise of a bachelor's degree or higher in some other field (for example, health, business or education)?","Working week of October 1, 2003",$YESNO.
MGRSOC,F_JOB_MGR_TECH_EXPERTSE_SOCIAL_SCI,Job required technical expertise at the bachelor's level or higher:  social sciences,A23.2,Did your duties on this job require technical expertise of a bachelor's degree or higher in the social sciences?,"Working week of October 1, 2003",$YESNO.
MINRTY,U_DEM_RACE_MINORITY_IND,Minority indicator,RECODE,Derived within SESTAT from reported information.,All respondents,$YESNO.
MR03Y5P,M_ED_MR_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB,"Year of most recent degree (5-year intervals), recoded for public use.",RECODE,Derived within SESTAT from reported information.,"Completed a degree or certificate before October 1, 2003",FIVEY03P.
MRADV,M_ED_MR_DEGREE_REAS_ADVANCEMT,"Reason for obtaining most recent degree: increase opportunities for promotion, advancement, higher salary",SYSTEM,Derived within SESTAT from reported information.,All respondents,$YESNO.
MRCAR,M_ED_MR_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining most recent degree: further education before career,SYSTEM,Derived within SESTAT from reported information.,All respondents,$YESNO.
MRCHG,M_ED_MR_DEGREE_REAS_CHG_FLD,Reason for obtaining most recent degree: change academic/occupational field,SYSTEM,Derived within SESTAT from reported information.,All respondents,$YESNO.
MRDG,M_ED_MR_DEGREE_TYPE,Most recent degree type,SYSTEM,"Derived within SESTAT from reported information. Click <a href=""./inventory.html"">here</A> for more information about the source of this variable.",All respondents,$DEGREE.
MRINT,M_ED_MR_DEGREE_REAS_PERSONL,Reason for obtaining most recent degree: leisure/personal interest,SYSTEM,Derived within SESTAT from reported information.,All respondents,$YESNO.
MRLIC,M_ED_MR_DEGREE_REAS_LICENSING,Reason for obtaining most recent degree: licensure/certification,SYSTEM,Derived within SESTAT from reported information.,All respondents,$YESNO.
MROTP,M_ED_MR_DEGREE_REAS_OTHR_PUB,"Reason for obtaining most recent degree: graduate school, required by employer or other",SYSTEM,Derived within SESTAT from reported information.,Completed another degree between April 2001 and October 2003,$MRKMR.
MRSKL,M_ED_MR_DEGREE_REAS_ACQ_SKILL,Reason for obtaining most recent degree: acquire further skills in field,SYSTEM,Derived within SESTAT from reported information.,All respondents,$YESNO.
NBAMEDP,J_ED_BA_MAJOR_ED_CAT_PUB_NEW,Field of major for first bachelor's degree (best code - recoded for public use),RECODE,Derived within SESTAT from reported information.,"Completed a degree or certificate before October 1, 2003",$EDCDPBN.
NBAMEMG,J_ED_BA_MAJOR_ED_GROUP_MAJOR_NEW,Field of study for first bachelor's degree (major group),RECODE,"Derived within SESTAT from reported information. Click <a href=""./inventory.html"">here</A> for more information about the source of this variable.",All respondents,$MAJORN.
NDGMEDP,O_ED_HD_MAJOR_ED_CAT_PUB_NEW,Field of major for highest degree (recoded for public use),RECODE,Derived within SESTAT from reported information.,Has bachelor or higher degree,$EDCDPBN.
NDGMEMG,O_ED_HD_MAJOR_ED_GRP_MAJOR_NEW,Field of study for highest degree (major group),RECODE,"Derived within SESTAT from reported information. Click <a href=""./inventory.html"">here</A> for more information about the source of this variable.",All respondents,$MAJORN.
NEWBUS,E_JOB_EMPLR_NEW_BUSINESS,New business,A14,Did your principal employer come into being as a new business within the past 5 years?,"Working week of October 1, 2003",$YESNO.
NMRMEDP,M_ED_MR_MAJOR_ED_CAT_PUB_NEW,Field of major for most recent degree (recoded for public use),RECODE,"Derived within SESTAT from reported information. Click <a href=""./inventory.html"">here</A> for more information about the source of this variable.","Completed a degree before October 1, 2003",$EDCDPBN.
NMRMEMG,M_ED_MR_MAJOR_ED_GRP_MAJOR_NEW,Field of study of major for most recent degree (major group),SYSTEM,"Derived within SESTAT from reported information. Click <a href=""./inventory.html"">here</A> for more information about the source of this variable.",All respondents,$MAJORN.
NOCMLST,C_JOB_LAST_OCC_GRP_MAJOR_NEW,Job code for last job (major group),A06,Derived within SESTAT from reported information.,"Not working during the week of October 1, 2003, except those who have never worked",$MAJOCCN.
NOCPRMG,B_JOB_OCC_GRP_MAJOR_NEW,Job code for principal job (major group),A22 (RECODE),Derived within SESTAT from information reported on the questionnaires or other sources.  See variable documentation for recode algorithm.,"Working during the week of October 1, 2003",$MAJOCCN.
NOCPRPB,B_JOB_CAT_PUB_NEW,Job code for principal job (recoded for public use),A22,"Using the JOB CODES, choose the code that BEST describes the work you were doing on your principal job during the week of [survey reference week]","Working week of October 1, 2003",$OCCUPPN.
NRCHG,B_JOB_OUTSIDE_FLD_REAS_CAREER_CHG,Reason for working outside field of highest degree: career change,A29.4,"Did these factors influence your decision to work in an area OUTSIDE THE FIELD OF YOUR HIGHEST DEGREE? (Response to ""Change in career or professional interests"")","Working during the week of October 1, 2003 and principal job not related to highest degree",$YESNO.
NRCON,B_JOB_OUTSIDE_FLD_REAS_WRKNG_CONDS,Reason for working outside field of highest degree: working conditions,A29.2,"Did these factors influence your decision to work in an area OUTSIDE THE FIELD OF YOUR HIGHEST DEGREE? (Response to ""Working conditions (hours, equipment, working environment"")","Working during the week of October 1, 2003 and principal job not related to highest degree",$YESNO.
NRFAM,B_JOB_OUTSIDE_FLD_REAS_FAMILY,Reason for working outside field of highest degree: family-related reasons,A29.5,"Did these factors influence your decision to work in an area OUTSIDE THE FIELD OF YOUR HIGHEST DEGREE? (Response to ""Family-related reasons"")","Working during the week of October 1, 2003 and principal job not related to highest degree",$YESNO.
NRLOC,B_JOB_OUTSIDE_FLD_REAS_LOC,Reason for working outside field of highest degree: job location,A29.3,"Did these factors influence your decision to work in an area OUTSIDE THE FIELD OF YOUR HIGHEST DEGREE? (Response to ""Job location"")","Working during the week of October 1, 2003 and principal job not related to highest degree",$YESNO.
NROCNA,B_JOB_OUTSIDE_FLD_REAS_JOB_NOT_AVAIL,Reason for working outside field of highest degree: suitable job not available,A29.6,"Did these factors influence your decision to work in an area OUTSIDE THE FIELD OF YOUR HIGHEST DEGREE? (Response to ""Job in highest degree field not available"")","Working during the week of October 1, 2003 and principal job not related to highest degree",$YESNO.
NROT,B_JOB_OUTSIDE_FLD_REAS_OTHR,Reason for working outside field of highest degree: other,A29.7,"Did these factors influence your decision to work in an area OUTSIDE THE FIELD OF YOUR HIGHEST DEGREE? (Response to ""Other reason"")","Working during the week of October 1, 2003 and principal job not related to highest degree",$YESNO.
NRPAY,B_JOB_OUTSIDE_FLD_REAS_PAY_OR_PROMOT,Reason for working outside field of highest degree: pay/promotion,A29.1,"Did these factors influence your decision to work in an area OUTSIDE THE FIELD OF YOUR HIGHEST DEGREE? (Response to  ""Pay, promotion opportunities"")","Working during the week of October 1, 2003 and principal job not related to highest degree",$YESNO.
NRREA,B_JOB_OUTSIDE_FLD_REASON_PRIMRY,Most important reason for working outside field of highest degree,A30.1,Which factor represents your MOST important reason for working in an area outside the field of your highest degree?,"Working during the week of October 1, 2003 and principal job not related to highest degree",$OUTFLD.
NRSEC,B_JOB_OUTSIDE_FLD_REASON_SECOND,Second most important reason for working outside field of highest degree,A30.2,Which factor represents your SECOND MOST important reason for working in an area outside the field of your highest degree?,"Working during the week of October 1, 2003 and principal job not related to highest degree",$OUTFLD.
NWFAM,A_JOB_NOT_WRKNG_REAS_FAMILY,Reasons for not working: family responsibilities,A03.4,"What were your reasons for not working during the week of [survey reference date] ?  (Marked ""Family responsibilities"")","Not working during the week of October 1, 2003",$MRKALL.
NWLAY,A_JOB_NOT_WRKNG_REAS_LAYOFF,Reasons for not working: layoff,A03.2,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""On layoff from a job"")","Not working during the week of October 1, 2003",$MRKALL.
NWNOND,A_JOB_NOT_WRKNG_REAS_NO_NEED,Reasons for not working: did not need/want to work,A03.7,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""Did not need or want to work"")","Not working during the week of October 1, 2003",$MRKALL.
NWOCNA,A_JOB_NOT_WRKNG_REAS_JOB_NOT_AVAIL,Reasons for not working: suitable job not available,A03.6,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""Suitable job not available"")","Not working during the week of October 1, 2003",$MRKALL.
NWOTP,A_JOB_NOT_WRKNG_REAS_OTHR_PUB,"Reasons for not working: illness, retired or other",RECODE,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""Illness"", ""Retired"" or ""Other"")","Not working week of October 1, 2003",$MRKNW.
NWSTU,A_JOB_NOT_WRKNG_REAS_STUDENT,Reasons for not working: student,A03.3,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""Student"")","Not working during the week of October 1, 2003",$MRKALL.
OCEDRLP,B_JOB_RELTD_TO_DEGREE,Extent that principal job is related to highest degree,A28,To what extent was your work on your principal job held during the week of [survey reference date] related to your highest degree?,"Working during the week of October 1, 2003",$RELATED.
PAPERSP,F_JOB_PAPERS_PRESENTED_PUB,Number of papers (co)authored presented since [question reference period] (recoded for public use),C01.1 (RECODE),"Since [question reference period], how many papers have you authored or co-authored for presentation at regional, national or international conferences?","All respondents, except for those who never worked",NUM6TOP.
PRMBRPB,D_JOB_PROF_ASSOC_MEMBRSHPS_NBR_PUB,Number of professional society memberships (recoded for public use),C05.NBR (RECODE),To how many national or international professional societies or associations do you currently belong? (Number),"All respondents, except for those who never worked",MEMC03P.
PROMTGI,D_JOB_PROF_ASSOC_ATTEND_MTNGS_IND,Attended professional meetings in past year,C04,"During the past year, did you attend any professional society or association meetings or conferences?","All respondents, excluding those who never worked",$YESNO.
PTFAM,C_JOB_PT_REAS_FAMILY,Reason for working < 35 hours/week: family responsibilities,A09.4,"For which of the following reasons were you working for less than 35 hours during the week of [survey reference date]? (Marked ""Family responsibilities"")","Working part-time during week of October 1, 2003",$MRKALL.
PTNOND,C_JOB_PT_REAS_NO_NEED,Reason for working < 35 hours/week: did not need/want to work,A09.7,"For which of the following reasons were you working for less than 35 hours during the week of [survey reference date]? (Marked ""Did not need or want to work full-time"")","Working part-time during week of October 1, 2003",$MRKALL.
PTOCNA,C_JOB_PT_REAS_JOB_NOT_AVAIL,Reason for working < 35 hours/week: suitable job not available,A09.6,"For which of the following reasons were you working for less than 35 hours during the week of [survey reference date]? (Marked ""Suitable full-time job not available"")","Working part-time during week of October 1, 2003",$MRKALL.
PTOTP,C_JOB_PT_REAS_OTHR_PUB,"Reason for working < 35 hours/week: student, layoff, illness, retired or other",RECODE,"For which of the following reasons were you working for less than 35 hours during the week of [survey reference date]? (Marked ""Student"", ""Layoff"", ""Illness"",""Retired"" or ""Other"")","Working part-time during week of October 1, 2003",$MRKPT.
PTWTFT,A_JOB_PT_WANT_FULL_TIME,Working part-time but wanted to work full-time,A08,"(IF YOU WORKED FEWER THAN 35 HOURS) During the week of [survey reference date], did you want to work a full-time work week of 35 or more hours?","Working part-time during week of October 1, 2003",$YESNO.
