sas_name,SESTAT_NAME,DESCRIPTION,source,question,domain,SAS_FMT
BA03Y5P,J_ED_BA_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB,"Year of first bachelor's degree (5-year intervals), recoded for public use.",RECODE,Derived within SESTAT from reported information.,All respondents,FIVEY03P.
BTHUS,U_DEM_BIRTH_PLACE_REGION_US_NONUS,Place of birth (U.S./Non-U.S.),RECODE,Derived within SESTAT from reported information.,All respondents,$USNONUS.
CH1218IN,W_DEM_CHILDREN_IND_12_18,Children living in household indicator: ages 12-18,RECODE,Derived within SESTAT from reported information.,"Children living in the household on April 1, 2006",$YESNO.
CH19IN,W_DEM_CHILDREN_IND_19,Children living in household indicator: age 19 or older,RECODE,Derived within SESTAT from reported information.,"Children living in the household on April 1, 2006",$YESNO.
CH25IN,W_DEM_CHILDREN_IND_2_5,Children living in household indicator: ages 2-5,RECODE,Derived within SESTAT from reported information.,"Children living in the household on April 1, 2006",$YESNO.
CH611IN,W_DEM_CHILDREN_IND_6_11,Children living in household indicator: ages 6-11,RECODE,Derived within SESTAT from reported information.,"Children living in the household on April 1, 2006",$YESNO.
CH6IN,W_DEM_CHILDREN_IND_UNDER_6,Children living in household indicator: under age 6,RECODE,Derived within SESTAT from reported information.,"Children living in the household on April 1, 2006",$YESNO.
CHTOTPB,W_DEM_CHILDREN_TOTAL_PUB,Total number of children (recoded for public use),RECODE,Derived within SESTAT from reported information.,"Children living in the household on April 1, 2006",$CHTOTP.
CHU2IN,W_DEM_CHILDREN_IND_UNDER_2,Children living in household indicator: under age 2,RECODE,Derived within SESTAT from reported information.,"Children living in the household on April 1, 2006",$YESNO.
CHUN12,W_DEM_CHILDREN_UNDER_12_IND,Children living in household indicator: under age 12,RECODE,Derived within SESTAT from reported information.,"Children living in the household on April 1, 2006",$YESNO.
COHORT,Z_SURVEY_COHORT,Survey cohort,SYSTEM,Data item developed by survey contractors; describes the original survey where respondent entered SESTAT system,All respondents,$COHORT.
CTZUS,V_DEM_US_CITIZENSHIP_STATUS,Type of US citizen,E07,Were you a U.S. citizen?,U.S. citizens,$USCTZ.
CTZUSIN,V_DEM_CITIZENSHIP_US_CITIZEN,U.S. citizenship status,E06,On [survey reference date] were you a... [Response to US or Non-US citizen),All respondents,$YESNO.
DGRDG,O_ED_HD_DEGREE_TYPE,Highest degree type,SYSTEM,Derived within SESTAT from reported information.,All respondents,$DEGREE.
EMSECPB,E_JOB_EMPLR_SECTOR_CD_PUB,Employer sector (recoded for public use),RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$EMSECP.
EMSIZE,E_JOB_EMPLR_SIZE,Employer size,A10,"Counting all locations where this employer operates, how many people worked for your principal employer?  Your best estimate is fine.","Working during the week of April 1, 2006",$EMP2SIZ.
EMSMI,D_JOB_SAME_EMPLOYER_JOB,"Employment status (same job/employer?), current and previous reference weeks",B02,"(IF YES) During these two time periods - the week of [previous survey reference date], and the week of [survey reference date] -- were you working for...[same/different job and/or employer?]","Working during the weeks of October 1, 2003 and April 1, 2006 (working respondents in NSCG and SDR only)",$SAMEDIF.
GENDER,U_DEM_GENDER,Gender,SYSTEM,Derived within SESTAT from reported information.,All respondents,$GENDER.
GOVSUP,I_JOB_GOV_AGCY_SUPPORT_IND,Federal government support indicator,A41,"Thinking back now to [prior calendar year], was any of your work during [prior calendar year] supported by contracts or grants from the U.S. government?",Worked during calendar year 2005,$YESNODK.
HD03Y5P,O_ED_HD_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB,"Year of highest degree (5 year intervals), recoded for public use.",RECODE,Derived within SESTAT from reported information.,All respondents,FIVEY03P.
HRSWKP,B_PRINCIPAL_JOB_WKLY_HRS_PUB,Principal job: hours per week typically worked (recoded for public use),RECODE,"During a typical week on this job, how many hours did you usually work?","Working during the week of April 1, 2006",HRSWKP.
ICCOMM,F_JOB_INT_COLLAB_EMAIL_TELEPHONE,International collaboration activity: communicate by phone/email,A29.1,"In your work with individuals located in other countries, did you... (Response to ""Communicate by telephone or e-mail to conduct the work?"")","Working during the week of April 1, 2006",$YESNO.
ICOLLAB,F_JOB_INT_COLLAB_IND,International collaboration indicator,A27.4,"In performing the principal job you held during the week of [survey reference date], did you... (Response to ""Work with individuals located in other countries?"")","Working during the week of April 1, 2006",$YESNO.
ICTRLA,F_JOB_INT_COLLAB_TRAVEL_ABROAD,International collaboration activity: travel abroad for collaboration,A29.3,"In your work with individuals located in other countries, did you... (Response to ""Travel to foreign country for collaborative activities?"")","Working during the week of April 1, 2006",$YESNO.
ICTRLH,F_JOB_INT_COLLAB_TRAVEL_HERE,International collaboration activity: foreign collaborators travel to US,A29.4,"In your work with individuals located in other countries, did you... (Response to ""Work with foreign collaborator(s) who traveled to the U.S. to meet with you?"")","Working during the week of April 1, 2006",$YESNO.
ICWBVT,F_JOB_INT_COLLAB_WEB_VIRTUAL,International collaboration activity: use web-based/virtual technology,A29.2,"In your work with individuals located in other countries, did you... (Response to ""Use web-based or virtual technology to conduct the work?"")","Working during the week of April 1, 2006",$YESNO.
JOBSATIS,F_JOB_SATISFACTION_OVERALL,Job satisfaction,A32,How would you rate your overall satisfaction with the principal job you held during the week of [survey reference date]?,"Working during the week of April 1, 2006",$SATIS.
LFSTAT,A_JOB_STATUS_LABOR_FORCE_STAT,Labor force status,RECODE,Derived within SESTAT from reported information.,All respondents,$LFSTAT.
LOOKWK,A_JOB_STATUS_LOOKING_FOR_WRK_IND,"Not working, looking for work",A02,Did you look for work at anytime during the four weeks preceding [survey reference date]? This would be between [Date] and [survey reference date].,"Not working during the week of April 1, 2006",$YESNO.
LWYRP,C_JOB_LAST_WRKD_PUB_YR,Year last worked (recoded for public use),RECODE,"Prior to the week of [survey reference date], when did you last work for pay or profit? [Year response]","Not working during the week of April 1, 2006, except those who have never worked",LWKPB.
MINRTY,U_DEM_RACE_MINORITY_IND,Minority indicator,RECODE,Derived within SESTAT from reported information.,All respondents,$YESNO.
MR03Y5P,M_ED_MR_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB,"Year of most recent degree (5-year intervals), recoded for public use.",RECODE,Derived within SESTAT from reported information.,All respondents,FIVEY03P.
MRADV,M_ED_MR_DEGREE_REAS_ADVANCEMT,"Reason for obtaining most recent degree: increase opportunities for promotion, advancement, higher salary",D06.6,"For which of the following reasons did you obtain this degree?  (Response to ""To increase opportunities for promotion, advancement or higher salary"")",All respondents,$YESNO.
MRCAR,M_ED_MR_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining most recent degree: further education before career,D06.1,"For which of the following reasons did you obtain this degree?  (Response to ""To gain further education before beginning a career"")",All respondents,$YESNO.
MRCHG,M_ED_MR_DEGREE_REAS_CHG_FLD,Reason for obtaining most recent degree: change academic/occupational field,D06.3,"For which of the following reasons did you obtain this degree?  (Response to ""To change your academic or occupational field"")",All respondents,$YESNO.
MRDG,M_ED_MR_DEGREE_TYPE,Most recent degree type,D02,What type of degree did you receive?,All respondents,$DEGREE.
MRINT,M_ED_MR_DEGREE_REAS_PERSONL,Reason for obtaining most recent degree: leisure/personal interest,D06.8,"For which of the following reasons did you obtain this degree?  (Response to ""For leisure or personal interest"")",All respondents,$YESNO.
MRLIC,M_ED_MR_DEGREE_REAS_LICENSING,Reason for obtaining most recent degree: licensure/certification,D06.5,"For which of the following reasons did you obtain this degree?  (Response to ""For licensure or certification"")",All respondents,$YESNO.
MROTP,M_ED_MR_DEGREE_REAS_OTHR_PUB,"Reason for obtaining most recent degree: graduate school, required by employer or other",RECODE,Derived within SESTAT from reported information.,All respondents,$MRKMR.
MRSKL,M_ED_MR_DEGREE_REAS_ACQ_SKILL,Reason for obtaining most recent degree: acquire further skills in field,D06.4,"For which of the following reasons did you obtain this degree?  (Response to ""To gain further skills or knowledge in your academic or occupational field"")",All respondents,$YESNO.
NBAMEDP,J_ED_BA_MAJOR_ED_CAT_PUB_NEW,Field of major for first bachelor's degree (best code - recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$EDCDPBN.
NBAMEMG,J_ED_BA_MAJOR_ED_GROUP_MAJOR_NEW,Field of study for first bachelor's degree (major group),RECODE,"Derived within SESTAT from reported information. Click <a href=""./inventory.html"">here</A> for more information about the source of this variable.",All respondents,$MAJORN.
NDGMEDP,O_ED_HD_MAJOR_ED_CAT_PUB_NEW,Field of major for highest degree (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$EDCDPBN.
NDGMEMG,O_ED_HD_MAJOR_ED_GRP_MAJOR_NEW,Field of study for highest degree (major group),RECODE,"Derived within SESTAT from reported information. Click <a href=""./inventory.html"">here</A> for more information about the source of this variable.",All respondents,$MAJORN.
NMRMEDP,M_ED_MR_MAJOR_ED_CAT_PUB_NEW,Field of major for most recent degree (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$EDCDPBN.
NMRMEMG,M_ED_MR_MAJOR_ED_GRP_MAJOR_NEW,Field of study of major for most recent degree (major group),RECODE,"Derived within SESTAT from reported information. Click <a href=""./inventory.html"">here</A> for more information about the source of this variable.",All respondents,$MAJORN.
NOCMLST,C_JOB_LAST_OCC_GRP_MAJOR_NEW,Job code for last job (major group),RECODE,Derived within SESTAT from reported information.,"Not working during the week of April 1, 2006, except those who have never worked",$MAJOCCN.
NOCPRMG,B_JOB_OCC_GRP_MAJOR_NEW,Job code for principal job (major group),RECODE,Derived within SESTAT from information reported on the questionnaires or other sources.  See variable documentation for recode algorithm.,"Working during the week of April 1, 2006",$MAJOCCN.
NOCPRPB,B_JOB_CAT_PUB_NEW,Job code for principal job (recoded for public use),RECODE,This variable is a recode produced for public use.  See variable documentation for recode algorithm.,"Working during the week of April 1, 2006",$OCCUPPN.
NRCHG,B_JOB_OUTSIDE_FLD_REAS_CAREER_CHG,Reason for working outside field of highest degree: career change,A23.4,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Change in career or professional interests"")","Working during the week of April 1, 2006 and principal job not related to highest degree",$YESNO.
NRCON,B_JOB_OUTSIDE_FLD_REAS_WRKNG_CONDS,Reason for working outside field of highest degree: working conditions,A23.2,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Working conditions (e.g., hours, equipment, working environment"")","Working during the week of April 1, 2006 and principal job not related to highest degree",$YESNO.
NRFAM,B_JOB_OUTSIDE_FLD_REAS_FAMILY,Reason for working outside field of highest degree: family-related reasons,A23.5,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Family-related reasons (e.g., children, spouse's job moved)"")","Working during the week of April 1, 2006 and principal job not related to highest degree",$YESNO.
NRLOC,B_JOB_OUTSIDE_FLD_REAS_LOC,Reason for working outside field of highest degree: job location,A23.3,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Job location"")","Working during the week of April 1, 2006 and principal job not related to highest degree",$YESNO.
NROCNA,B_JOB_OUTSIDE_FLD_REAS_JOB_NOT_AVAIL,Reason for working outside field of highest degree: suitable job not available,A23.6,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Job in doctoral degree field not available"")","Working during the week of April 1, 2006 and principal job not related to highest degree",$YESNO.
NROT,B_JOB_OUTSIDE_FLD_REAS_OTHR,Reason for working outside field of highest degree: other,A23.7,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Some other reason"")","Working during the week of April 1, 2006 and principal job not related to highest degree",$YESNO.
NRPAY,B_JOB_OUTSIDE_FLD_REAS_PAY_OR_PROMOT,Reason for working outside field of highest degree: pay/promotion,A23.1,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to  ""Pay, promotion opportunities"")","Working during the week of April 1, 2006 and principal job not related to highest degree",$YESNO.
NRREA,B_JOB_OUTSIDE_FLD_REASON_PRIMRY,Most important reason for working outside field of highest degree,A24.1,Which two factors in question A23 were your most important reason for working in an area outside the field of your first U.S. doctoral degree? (Most important reason),"Working during the week of April 1, 2006 and principal job not related to highest degree",$OUTFLD.
NRSEC,B_JOB_OUTSIDE_FLD_REASON_SECOND,Second most important reason for working outside field of highest degree,A24.2,Which two factors in question A23 were your most important reason for working in an area outside the field of your first U.S. doctoral degree? (Second most important reason),"Working during the week of April 1, 2006 and principal job not related to highest degree",$OUTFLD.
NWFAM,A_JOB_NOT_WRKNG_REAS_FAMILY,Reasons for not working: family responsibilities,A03.4,"What were your reasons for not working during the week of [survey reference date] ?  (Marked ""Family responsibilities"")","Not working during the week of April 1, 2006",$YESNO.
NWLAY,A_JOB_NOT_WRKNG_REAS_LAYOFF,Reasons for not working: layoff,A03.2,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""On layoff from a job"")","Not working during the week of April 1, 2006",$YESNO.
NWNOND,A_JOB_NOT_WRKNG_REAS_NO_NEED,Reasons for not working: did not need/want to work,A03.7,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""Did not need or want to work"")","Not working during the week of April 1, 2006",$YESNO.
NWOCNA,A_JOB_NOT_WRKNG_REAS_JOB_NOT_AVAIL,Reasons for not working: suitable job not available,A03.6,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""Suitable job not available"")","Not working during the week of April 1, 2006",$YESNO.
NWOTP,A_JOB_NOT_WRKNG_REAS_OTHR_PUB,"Reasons for not working: illness, retired or other",RECODE,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""Illness"", ""Retired"" or ""Other"")","Not working during the week of April 1, 2006",$MRKNW.
NWSTU,A_JOB_NOT_WRKNG_REAS_STUDENT,Reasons for not working: student,A03.3,"What were your reasons for not working during the week of [survey reference date]?  (Marked ""Student"")","Not working during the week of April 1, 2006",$YESNO.
OCEDRLP,B_JOB_RELTD_TO_DEGREE,Extent that principal job is related to highest degree,A22,To what extent was your work on your principal job related to your first U.S. doctoral degree?  Was it...,"Working during the week of April 1, 2006",$RELATED.
PD1EMO,D_JOB_POST_DOC1_MONTH_ENDED,Most recent (or current) postdoctoral appointment: month ended,A39.PD1.A.EMM,Date postdoc started and ended (or date you left) (Ended: Month response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",MNTHGRP.
PD1EYR,D_JOB_POST_DOC1_YEAR_ENDED,Most recent (or current) postdoctoral appointment: year ended,A39.PD1.A.EYY,Date postdoc started and ended (or date you left) (Ended: Year response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",FOUR.
PD1HEA,D_JOB_POST_DOC1_HEALTH_BENEFITS,Most recent (or current) postdoctoral appointment: received health benefits,A39.PD1.D.1,"For this postdoc position, did your employer provide... (Response to ""Health benefits?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$YESNO.
PD1PEN,D_JOB_POST_DOC1_PENSION_BENEFITS,Most recent (or current) postdoctoral appointment: received pension benefits,A39.PD1.D.2,"For this postdoc position, did your employer provide... (Response to ""Retirement benefits?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$YESNO.
PD1RT,D_JOB_POST_DOC1_REASON_TAKEN,Most recent (or current) postdoctoral appointment: primary reason taking postdoc,A39.PD1.B,What was your primary reason for taking this postdoc?,"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$PDREASN.
PD1SC,D_JOB_POST_DOC1_SECTOR_TYPE,Most recent (or current) postdoctoral appointment: sector where worked,A39.PD1.C,Which sector best describes where you worked for this postdoc?,"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$PDSECT.
PD1SMO,D_JOB_POST_DOC1_MONTH_STARTED,Most recent (or current) postdoctoral appointment: month started,A39.PD1.A.SMM,Date postdoc started and ended (or date you left) (Started: Month response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",MNTHGRP.
PD1SYR,D_JOB_POST_DOC1_YEAR_STARTED,Most recent (or current) postdoctoral appointment: year started,A39.PD1.A.SYY,Date postdoc started and ended (or date you left) (Started: Year response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",FOUR.
PD2EMO,D_JOB_POST_DOC2_MONTH_ENDED,Second most recent postdoctoral appointment: month ended,A39.PD2.A.EMM,Date postdoc started and ended (or date you left) (Ended: Month response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",MNTHGRP.
PD2EYR,D_JOB_POST_DOC2_YEAR_ENDED,Second most recent postdoctoral appointment: year ended,A39.PD2.A.EYY,Date postdoc started and ended (or date you left) (Ended: Year response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",FOUR.
PD2HEA,D_JOB_POST_DOC2_HEALTH_BENEFITS,Second most recent postdoctoral appointment: received health benefits,A39.PD2.D.1,"For this postdoc position, did your employer provide... (Response to ""Health benefits?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$YESNO.
PD2PEN,D_JOB_POST_DOC2_PENSION_BENEFITS,Second most recent postdoctoral appointment: received pension benefits,A39.PD2.D.2,"For this postdoc position, did your employer provide... (Response to ""Retirement benefits?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$YESNO.
PD2RT,D_JOB_POST_DOC2_REASON_TAKEN,Second most recent postdoctoral appointment: primary reason taking postdoc,A39.PD2.B,What was your primary reason for taking this postdoc?,"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$PDREASN.
PD2SC,D_JOB_POST_DOC2_SECTOR_TYPE,Second most recent postdoctoral appointment: sector where worked,A39.PD2.C,Which sector best describes where you worked for this postdoc?,"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$PDSECT.
PD2SMO,D_JOB_POST_DOC2_MONTH_STARTED,Second most recent postdoctoral appointment: month started,A39.PD2.A.SMM,Date postdoc started and ended (or date you left) (Started: Month response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",MNTHGRP.
PD2SYR,D_JOB_POST_DOC2_YEAR_STARTED,Second most recent postdoctoral appointment: year started,A39.PD2.A.SYY,Date postdoc started and ended (or date you left) (Started: Year response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",FOUR.
PD3EMO,D_JOB_POST_DOC3_MONTH_ENDED,Third most recent postdoctoral appointment: month ended,A39.PD3.A.EMM,Date postdoc started and ended (or date you left) (Ended: Month response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",MNTHGRP.
PD3EYR,D_JOB_POST_DOC3_YEAR_ENDED,Third most recent postdoctoral appointment: year ended,A39.PD3.A.EYY,Date postdoc started and ended (or date you left) (Ended: Year response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",FOUR.
PD3HEA,D_JOB_POST_DOC3_HEALTH_BENEFITS,Third most recent postdoctoral appointment: received health benefits,A39.PD3.D.1,"For this postdoc position, did your employer provide... (Response to ""Health benefits?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$YESNO.
PD3PEN,D_JOB_POST_DOC3_PENSION_BENEFITS,Third most recent postdoctoral appointment: received pension benefits,A39.PD3.D.2,"For this postdoc position, did your employer provide... (Response to ""Retirement benefits?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$YESNO.
PD3RT,D_JOB_POST_DOC3_REASON_TAKEN,Third most recent postdoctoral appointment: primary reason taking postdoc,A39.PD3.B,What was your primary reason for taking this postdoc?,"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$PDREASN.
PD3SC,D_JOB_POST_DOC3_SECTOR_TYPE,Third most recent postdoctoral appointment: sector where worked,A39.PD3.C,Which sector best describes where you worked for this postdoc?,"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$PDSECT.
PD3SMO,D_JOB_POST_DOC3_MONTH_STARTED,Third most recent postdoctoral appointment: month started,A39.PD3.A.SMM,Date postdoc started and ended (or date you left) (Started: Month response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",MNTHGRP.
PD3SYR,D_JOB_POST_DOC3_YEAR_STARTED,Third most recent postdoctoral appointment: year started,A39.PD3.A.SYY,Date postdoc started and ended (or date you left) (Started: Year response),"All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",FOUR.
PDREC,D_JOB_POST_DOC1_HELP_CAREER_OPPS,To what extent did your most recent (or current) postdoc:  enhance career,A40.6,"To what extent did your most recent (or current) postdoctoral appointment... (Response to ""Enhance your career opportunities?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$EXTNT.
PDRIC,D_JOB_POST_DOC1_HELP_INCREASE_CONTACTS,To what extent did your most recent (or current) postdoc:  increase contacts,A40.3,"To what extent did your most recent (or current) postdoctoral appointment... (Response to ""Increase contacts with colleagues in your field?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$EXTNT.
PDRIK,D_JOB_POST_DOC1_HELP_SUBJECT_KNOWLEDGE,To what extent did your most recent (or current) postdoc:  increase subject matter knowledge,A40.1,"To what extent did your most recent (or current) postdoctoral appointment... (Response to ""Increase your subject matter knowledge or expertise?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$EXTNT.
PDRIP,D_JOB_POST_DOC1_HELP_IMPROVE_PROBSOL,To what extent did your most recent (or current) postdoc:  improve problem-solving skills,A40.5,"To what extent did your most recent (or current) postdoctoral appointment... (Response to ""Improve your problem-solving skills?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$EXTNT.
PDRIS,D_JOB_POST_DOC1_HELP_IMPROVE_SKILLS,To what extent did your most recent (or current) postdoc:  improve research skills/techniques,A40.2,"To what extent did your most recent (or current) postdoctoral appointment... (Response to ""Improve specific research skills or techniques?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$EXTNT.
PDROT,D_JOB_POST_DOC1_HELP_OTHR,To what extent did your most recent (or current) postdoc:  help in other areas,A40.7,"To what extent did your most recent (or current) postdoctoral appointment... (Response to ""Help in other areas?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$EXTNT.
PDRPO,D_JOB_POST_DOC1_HELP_OPPS_EQUIPMENT,To what extent did your most recent (or current) postdoc:  use specialized equipment,A40.4,"To what extent did your most recent (or current) postdoctoral appointment... (Response to ""Provide opportunities to use specialized equipment?"")","All respondents who have held 1 or more postdocs through April 1, 2006, except those who never worked (SDR only)",$EXTNT.
PJFAM,F_JOB_PART_TIME_REAS_FAMILY,Reason worked part-time:  family responsibilities,A37.3,"For which of the following reasons did you usually work fewer than 35 hours per week on the principal job you held during the week of [survey reference date]?  (Response to ""Family responsibilities"")","Working less than 35 hours per week on principal job during the week of April 1, 2006",$YESNO.
PJNOND,F_JOB_PART_TIME_REAS_NO_NEED,Reason worked part-time:  did not need/want to work full-time,A37.5,"For which of the following reasons did you usually work fewer than 35 hours per week on the principal job you held during the week of [survey reference date]?  (Response to ""Did not need or want to work more hours"")","Working less than 35 hours per week on principal job during the week of April 1, 2006",$YESNO.
PJOCNA,F_JOB_PART_TIME_REAS_FT_JOB_NA,Reason worked part-time:  full-time job not available,SYSTEM,"For which of the following reasons did you usually work fewer than 35 hours per week on the principal job you held during the week of [survey reference date]?  (Verbatim response back-coded to ""Full-time job not available"")","Working less than 35 hours per week on principal job during the week of April 1, 2006",$YESNO.
PJOTP,F_JOB_PART_TIME_REAS_OTHR_PUB,"Reason worked part-time: student, illness, hold another job or other",RECODE,For which of the following reasons did you usually work fewer than 35 hours per week on the principal job you held during the week of [survey reference date]?  (Response to Other),"Working less than 35 hours per week on principal job during the week of April 1, 2006",$MRKPJ.
PJWTFT,F_JOB_PART_TIME_WANT_FULL_TIME,Want to work full-time on principal job indicator,A36,Did you want to work 35 or more hours per week on your principal job?,"Working less than 35 hours per week on principal job during the week of April 1, 2006",$YESNO.
