Table A-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
01.0610,Urban and Community Horticulture,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.0699,"Applied Horticulture/ Horticultural Business Services, Other",Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.1103,Horticultural Science,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.0201,"Agricultural Mechanization, General",Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
01.0204,Agricultural Power Machinery Operation,Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
01.0205,Agricultural Mechanics and Equipment/ Machine Technology,Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
01.0207,Irrigation Management Technology,Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
01.0299,"Agricultural Mechanization, Other",Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
01.0308,Agroecology and Sustainable Agriculture,Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
01.0399,"Agricultural Production Operations, Other",Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
01.1399,"Agriculture/ Veterinary Preparatory Programs, Other",Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
01.9999,"Agricultural/ Animal/ Plant/ Veterinary Science and Related Fields, Other",Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
03.0210,Bioenergy,Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
30.1801,Natural Sciences,Agricultural sciences and natural resources,Agricultural sciences,"Agricultural sciences/ natural resources, other"
01.1302,Pre-Veterinary Studies,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8001,Veterinary Medicine,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8101,"Veterinary Sciences/ Veterinary Clinical Sciences, General",Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8102,Comparative and Laboratory Animal Medicine,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8103,Large Animal/ Food Animal and Equine Surgery and Medicine,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8104,Small/ Companion Animal Surgery and Medicine,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8105,Veterinary Anatomy,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8106,Veterinary Infectious Diseases,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8107,Veterinary Microbiology and Immunobiology,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8108,Veterinary Pathology and Pathobiology,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8109,Veterinary Physiology,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8110,"Veterinary Preventive Medicine, Epidemiology, and Public Health",Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8111,Veterinary Toxicology and Pharmacology,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8199,"Veterinary Biomedical and Clinical Sciences, Other",Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8201,"Veterinary Administrative Services, General",Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8202,Veterinary Office Management/ Administration,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8203,Veterinary Reception/ Receptionist,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8204,Veterinary Administrative/ Executive Assistant and Veterinary Secretary,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8299,"Veterinary Administrative Services, Other",Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8301,Veterinary/ Animal Health Technology and Veterinary Assistant,Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
01.8399,"Veterinary/ Animal Health Technologies, Other",Agricultural sciences and natural resources,Agricultural sciences,Veterinary sciences
03.0204,Environmental/ Natural Resource Economics (NATURAL RESOURCES/ CONSERVATION SCIENCES),Agricultural sciences and natural resources,Natural resources and conservation,Natural resources/ environmental economics (agricultural sciences)
01.0303,Aquaculture,Agricultural sciences and natural resources,Natural resources and conservation,Fishing and fisheries sciences/ management
03.0301,Fishing and Fisheries Sciences and Management,Agricultural sciences and natural resources,Natural resources and conservation,Fishing and fisheries sciences/ management
03.0502,Forest Sciences and Biology,Agricultural sciences and natural resources,Natural resources and conservation,Forest sciences and biology
03.0506,Forest Management/ Forest Resources Management,Agricultural sciences and natural resources,Natural resources and conservation,Forest/ forest resources management
03.0510,Forest Resources Production and Management,Agricultural sciences and natural resources,Natural resources and conservation,Forest/ forest resources management
03.0101,"Natural Resources/ Conservation, General",Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and conservation
03.0199,"Natural Resources Conservation and Research, Other",Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and conservation
03.9999,"Natural Resources and Conservation, Other",Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and conservation
30.3301,Sustainability Studies,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and conservation
03.0501,"Forestry, General",Agricultural sciences and natural resources,Natural resources and conservation,"Forestry, other"
03.0508,Urban Forestry,Agricultural sciences and natural resources,Natural resources and conservation,"Forestry, other"
03.0509,Wood Science and Wood Products/ Pulp and Paper Technology,Agricultural sciences and natural resources,Natural resources and conservation,"Forestry, other"
03.0511,Forest Technology,Agricultural sciences and natural resources,Natural resources and conservation,"Forestry, other"
03.0599,"Forestry, Other",Agricultural sciences and natural resources,Natural resources and conservation,"Forestry, other"
01.1106,Range Science and Management,Agricultural sciences and natural resources,Natural resources and conservation,Wildlife/ range management
03.0601,"Wildlife, Fish and Wildlands Science and Management",Agricultural sciences and natural resources,Natural resources and conservation,Wildlife/ range management
03.0103,Environmental Studies,Agricultural sciences and natural resources,Natural resources and conservation,Environmental science
03.0104,Environmental Science,Agricultural sciences and natural resources,Natural resources and conservation,Environmental science
01.0000,"Agriculture, General",Agricultural sciences and natural resources,Natural resources and conservation,"Agricultural sciences/ natural resources, general"
01.0701,International Agriculture,Agricultural sciences and natural resources,Natural resources and conservation,"Agricultural sciences/ natural resources, general"
03.0201,"Environmental/ Natural Resources Management and Policy, General",Agricultural sciences and natural resources,Natural resources and conservation,Natural resource/ environmental policy
03.0209,Energy and Environmental Policy,Agricultural sciences and natural resources,Natural resources and conservation,Natural resource/ environmental policy
03.0299,"Environmental/ Natural Resources Management and Policy, Other",Agricultural sciences and natural resources,Natural resources and conservation,Natural resource/ environmental policy
26.0202,Biochemistry,Biological and biomedical sciences,Biochemistry and biophysics,Biochemistry (biological sciences)
26.0205,Molecular Biochemistry,Biological and biomedical sciences,Biochemistry and biophysics,Biochemistry (biological sciences)
26.0210,Biochemistry and Molecular Biology,Biological and biomedical sciences,Biochemistry and biophysics,Biochemistry (biological sciences)
26.0203,Biophysics (BIOLOGY),Biological and biomedical sciences,Biochemistry and biophysics,Biophysics (biological sciences)
26.0206,Molecular Biophysics,Biological and biomedical sciences,Biochemistry and biophysics,Biophysics (biological sciences)
26.0102,"Biomedical Sciences, General",Biological and biomedical sciences,"Biology and biomedical sciences, general",Biomedical sciences
26.0907,Cardiovascular Science,Biological and biomedical sciences,"Biology and biomedical sciences, general",Biomedical sciences
26.0101,"Biology/ Biological Sciences, General",Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
26.0101b,"Integrative/ Interdisciplinary Biology, Biosciences, and Biomedical Sciences",Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
26.0208,Photobiology,Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
26.0209,Radiation Biology/ Radiobiology,Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
26.0299,"Biochemistry, Biophysics and Molecular Biology, Other",Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
26.0905,Reproductive Biology,Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
26.1304,Aquatic Biology/ Limnology,Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
26.1305,Environmental Biology,Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
26.9999,"Biological and Biomedical Sciences, Other",Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
30.2701,Human Biology,Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
51.1405,Tropical Medicine,Biological and biomedical sciences,"Biology and biomedical sciences, general","Biological and biomedical sciences, general"
26.1103,Bioinformatics,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Bioinformatics
26.1199,"Biomathematics, Bioinformatics, and Computational Biology, Other",Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Bioinformatics
51.2706,Medical Informatics,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Bioinformatics
51.2706b,Biomedical and Health Informatics,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Bioinformatics
26.1104,Computational Biology,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Computational biology
26.1101,Biometry/ Biometrics,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Biometrics and biostatistics
26.1102,Biostatistics,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Biometrics and biostatistics
26.0403,Anatomy,Biological and biomedical sciences,"Cellular and developmental biology, and anatomy",Anatomy
26.0401,Cell/ Cellular Biology and Histology,Biological and biomedical sciences,"Cellular and developmental biology, and anatomy",Cell/ cellular biology and histology
26.0407,Cell Biology and Anatomy,Biological and biomedical sciences,"Cellular and developmental biology, and anatomy",Cell/ cellular biology and histology
26.0499,"Cell/ Cellular Biology and Anatomical Sciences, Other",Biological and biomedical sciences,"Cellular and developmental biology, and anatomy",Cell/ cellular biology and histology
26.0404,Developmental Biology and Embryology,Biological and biomedical sciences,"Cellular and developmental biology, and anatomy",Developmental biology and embryology
26.0207,Structural Biology,Biological and biomedical sciences,"Cellular and developmental biology, and anatomy",Structural biology
26.1309,Epidemiology,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Epidemiology
26.1311,Epidemiology and Biostatistics,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Epidemiology
26.1303,Evolutionary Biology,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Evolutionary biology
26.1306,Population Biology,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Evolutionary biology
26.1307,Conservation Biology,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Evolutionary biology
26.1308,Systematic Biology/ Biological Systematics,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Evolutionary biology
26.1399,"Ecology, Evolution, Systematics and Population Biology, Other",Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Evolutionary biology
26.1301,Ecology,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Ecology
26.1310,Ecology and Evolutionary Biology,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Ecology
26.1399b,"Ecology, Evolution, and Behavior",Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Ecology
26.0801,"Genetics, General",Biological and biomedical sciences,Genetics and genomics,"Genetics/ genomics, human and animal"
26.0802,Molecular Genetics,Biological and biomedical sciences,Genetics and genomics,"Genetics/ genomics, human and animal"
26.0803,Microbial and Eukaryotic Genetics,Biological and biomedical sciences,Genetics and genomics,"Genetics/ genomics, human and animal"
26.0804,Animal Genetics,Biological and biomedical sciences,Genetics and genomics,"Genetics/ genomics, human and animal"
26.0806,Human/ Medical Genetics,Biological and biomedical sciences,Genetics and genomics,"Genetics/ genomics, human and animal"
26.0807,Genome Sciences/ Genomics,Biological and biomedical sciences,Genetics and genomics,"Genetics/ genomics, human and animal"
26.0899,"Genetics, Other",Biological and biomedical sciences,Genetics and genomics,"Genetics/ genomics, human and animal"
51.0914,Gene/ Genetic Therapy,Biological and biomedical sciences,Genetics and genomics,"Genetics/ genomics, human and animal"
51.1010,Cytogenetics/ Genetics/ Clinical Genetics Technology/ Technologist,Biological and biomedical sciences,Genetics and genomics,"Genetics/ genomics, human and animal"
26.0503,Medical Microbiology and Bacteriology,Biological and biomedical sciences,Microbiology and immunology,Bacteriology
26.0506,Mycology,Biological and biomedical sciences,Microbiology and immunology,Immunology
26.0507,Immunology,Biological and biomedical sciences,Microbiology and immunology,Immunology
26.0509,Infectious Disease and Global Health,Biological and biomedical sciences,Microbiology and immunology,Immunology
26.0599,"Microbiological Sciences and Immunology, Other",Biological and biomedical sciences,Microbiology and immunology,Immunology
26.0502,"Microbiology, General",Biological and biomedical sciences,Microbiology and immunology,Microbiology
26.0508,Microbiology and Immunology,Biological and biomedical sciences,Microbiology and immunology,Microbiology
26.0505,Parasitology,Biological and biomedical sciences,Microbiology and immunology,Parasitology
26.0504,Virology,Biological and biomedical sciences,Microbiology and immunology,Virology
26.0204,Molecular Biology,Biological and biomedical sciences,Molecular biology,Molecular biology
26.0406,Cell/ Cellular and Molecular Biology,Biological and biomedical sciences,Molecular biology,Molecular biology
26.1501,Neuroscience,Biological and biomedical sciences,Neurobiology and neurosciences,Neurosciences and neurobiology
26.1502,Neuroanatomy,Biological and biomedical sciences,Neurobiology and neurosciences,Neurosciences and neurobiology
26.1503,Neurobiology and Anatomy,Biological and biomedical sciences,Neurobiology and neurosciences,Neurosciences and neurobiology
26.1504,Neurobiology and Behavior,Biological and biomedical sciences,Neurobiology and neurosciences,Neurosciences and neurobiology
26.1599,"Neurobiology and Neurosciences, Other",Biological and biomedical sciences,Neurobiology and neurosciences,Neurosciences and neurobiology
26.1599c,Computational Neuroscience,Biological and biomedical sciences,Neurobiology and neurosciences,Neurosciences and neurobiology
26.1006,Environmental Toxicology,Biological and biomedical sciences,Pharmacology and toxicology,Environmental toxicology
26.1004,Toxicology,Biological and biomedical sciences,Pharmacology and toxicology,Toxicology
26.1005,Molecular Toxicology,Biological and biomedical sciences,Pharmacology and toxicology,Toxicology
26.1099,"Pharmacology and Toxicology, Other",Biological and biomedical sciences,Pharmacology and toxicology,Toxicology
26.1001,Pharmacology,Biological and biomedical sciences,Pharmacology and toxicology,"Pharmacology, human and animal"
26.1002,Molecular Pharmacology,Biological and biomedical sciences,Pharmacology and toxicology,"Pharmacology, human and animal"
26.1003,Neuropharmacology,Biological and biomedical sciences,Pharmacology and toxicology,"Pharmacology, human and animal"
26.1007,Pharmacology and Toxicology,Biological and biomedical sciences,Pharmacology and toxicology,"Pharmacology, human and animal"
26.0904,Endocrinology,Biological and biomedical sciences,"Physiology, pathology, and cancer biology",Endocrinology
26.0911,Oncology and Cancer Biology,Biological and biomedical sciences,"Physiology, pathology, and cancer biology",Cancer biology
26.1401,Molecular Medicine,Biological and biomedical sciences,"Physiology, pathology, and cancer biology",Molecular medicine
26.0910,Pathology/ Experimental Pathology,Biological and biomedical sciences,"Physiology, pathology, and cancer biology","Pathology, human and animal"
26.0999b,Pathobiology/ Integrative Pathobiology,Biological and biomedical sciences,"Physiology, pathology, and cancer biology","Pathology, human and animal"
51.0811,Pathology/ Pathologist Assistant,Biological and biomedical sciences,"Physiology, pathology, and cancer biology","Pathology, human and animal"
26.0707,Animal Physiology,Biological and biomedical sciences,"Physiology, pathology, and cancer biology","Physiology, human and animal"
26.0901,"Physiology, General",Biological and biomedical sciences,"Physiology, pathology, and cancer biology","Physiology, human and animal"
26.0902,Molecular Physiology,Biological and biomedical sciences,"Physiology, pathology, and cancer biology","Physiology, human and animal"
26.0903,Cell Physiology,Biological and biomedical sciences,"Physiology, pathology, and cancer biology","Physiology, human and animal"
26.0999,"Physiology, Pathology, and Related Sciences, Other",Biological and biomedical sciences,"Physiology, pathology, and cancer biology","Physiology, human and animal"
26.1201,Biotechnology,Biological and biomedical sciences,"Biology and biomedical sciences, other",Biotechnology
26.0805,Plant Genetics,Biological and biomedical sciences,"Biology and biomedical sciences, other",Plant genetics
26.0305,Plant Pathology/ Phytopathology (BIOLOGY),Biological and biomedical sciences,"Biology and biomedical sciences, other",Plant pathology and phytopathology (biological sciences)
26.0307,Plant Physiology,Biological and biomedical sciences,"Biology and biomedical sciences, other",Plant physiology
26.0301,Botany/ Plant Biology,Biological and biomedical sciences,"Biology and biomedical sciences, other",Botany and plant biology
26.0308,Plant Molecular Biology,Biological and biomedical sciences,"Biology and biomedical sciences, other",Botany and plant biology
26.0399,"Botany/ Plant Biology, Other",Biological and biomedical sciences,"Biology and biomedical sciences, other",Botany and plant biology
01.0310,Apiculture,Biological and biomedical sciences,"Biology and biomedical sciences, other",Entomology
26.0702,Entomology,Biological and biomedical sciences,"Biology and biomedical sciences, other",Entomology
26.0702c,Entomology and Nematology,Biological and biomedical sciences,"Biology and biomedical sciences, other",Entomology
19.0504,Human Nutrition,Biological and biomedical sciences,"Biology and biomedical sciences, other",Nutrition sciences
30.1901,Nutrition Sciences,Biological and biomedical sciences,"Biology and biomedical sciences, other",Nutrition sciences
51.3101,Dietetics/ Dietitian,Biological and biomedical sciences,"Biology and biomedical sciences, other",Nutrition sciences
51.3102,Clinical Nutrition/ Nutritionist,Biological and biomedical sciences,"Biology and biomedical sciences, other",Nutrition sciences
51.3103,Dietetic Technician,Biological and biomedical sciences,"Biology and biomedical sciences, other",Nutrition sciences
51.3104,Dietitian Assistant,Biological and biomedical sciences,"Biology and biomedical sciences, other",Nutrition sciences
51.3199,"Dietetics and Clinical Nutrition Services, Other",Biological and biomedical sciences,"Biology and biomedical sciences, other",Nutrition sciences
26.0709,Wildlife Biology,Biological and biomedical sciences,"Biology and biomedical sciences, other",Wildlife biology
26.0701,Zoology/ Animal Biology,Biological and biomedical sciences,"Biology and biomedical sciences, other",Zoology
26.0799,"Zoology/ Animal Biology, Other",Biological and biomedical sciences,"Biology and biomedical sciences, other",Zoology
15.0401,Biomedical Technology,Biological and biomedical sciences,"Biology and biomedical sciences, other","Biological and biomedical sciences, other"
26.0702b,Nematology,Biological and biomedical sciences,"Biology and biomedical sciences, other","Biological and biomedical sciences, other"
26.0909,Vision Science/ Physiological Optics,Biological and biomedical sciences,"Biology and biomedical sciences, other","Biological and biomedical sciences, other"
26.0912,Aerospace Physiology and Medicine,Biological and biomedical sciences,"Biology and biomedical sciences, other","Biological and biomedical sciences, other"
26.0913,Biomechanics,Biological and biomedical sciences,"Biology and biomedical sciences, other","Biological and biomedical sciences, other"
30.0101,Biological and Physical Sciences,Biological and biomedical sciences,"Biology and biomedical sciences, other","Biological and biomedical sciences, other"
30.5301,Thanatology,Biological and biomedical sciences,"Biology and biomedical sciences, other","Biological and biomedical sciences, other"
11.0102,Artificial Intelligence,Computer and information sciences,Computer science,Computer science
11.0104,Informatics,Computer and information sciences,Computer science,Computer science
11.0701,Computer Science,Computer and information sciences,Computer science,Computer science
11.0701b,Computing Theory and Practice (COMPUTER SCIENCE),Computer and information sciences,Computer science,Computer science
30.3101,Human Computer Interaction,Computer and information sciences,Computer science,Computer science
11.0103,Information Technology,Computer and information sciences,"Computer and information sciences, other",Information science and systems
11.0301,Data Processing and Data Processing Technology,Computer and information sciences,"Computer and information sciences, other",Information science and systems
11.0401,Information Science/ Studies,Computer and information sciences,"Computer and information sciences, other",Information science and systems
29.0406,Military Information Systems Technology,Computer and information sciences,"Computer and information sciences, other",Information science and systems
11.0101,"Computer and Information Sciences, General",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
11.0201,"Computer Programming/ Programmer, General",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
11.0202,"Computer Programming, Specific Applications",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
11.0203,"Computer Programming, Vendor/ Product Certification",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
11.0204,Computer Game Programming,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
11.0205,"Computer Programming, Specific Platforms",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
11.0901,Computer Systems Networking and Telecommunications,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
11.0902,Cloud Computing,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
11.0999,"Computer Systems Networking and Telecommunications, Other",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
11.1006,Computer Support Specialist,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general"
10.0308,Computer Typography and Composition Equipment Operator,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.0105,Human-Centered Technology Design,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.0199,"Computer and Information Sciences, Other",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.0299,"Computer Programming, Other",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.0501,Computer Systems Analysis/ Analyst,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.0801,"Web Page, Digital/ Multimedia and Information Resources Design",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.0802,Data Modeling/ Warehousing and Database Administration,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.0803,Computer Graphics,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.0804,"Modeling, Virtual Environments and Simulation",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.0899,"Computer Software and Media Applications, Other",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.1001,Network and System Administration/ Administrator,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.1002,"System, Networking, and LAN/ WAN Management/ Manager",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.1003,Computer and Information Systems Security/ Auditing/ Information Assurance,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.1004,Web/ Multimedia Management and Webmaster,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.1005,Information Technology Project Management,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.1099,"Computer/ Information Technology Services Administration and Management, Other",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
11.9999,"Computer and Information Sciences and Support Services, Other",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
29.0207,Cyber/ Electronic Operations and Warfare (MILITARY),Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
29.0299,"Intelligence, Command Control and Information Operations, Other (MILITARY)",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
30.7001,"Data Science, General",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
30.7099,"Data Science, Other",Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, other"
