Table B-1,Unnamed: 1,Unnamed: 2
Table 25,Table 7-8,"Top 40 countries or economies of origin of temporary visa holders earning U.S. research doctorates, by number of doctorate recipients: 2023"
New,Table 7-9,"Top 20 baccalaureate-origin institutions ranked by 2021 Carnegie Classification category and total number of research doctorate recipients, by field of doctorate: 2023 "
Table 6,Table 7-10,"Research doctorate recipients, by state or location of doctorate institution and broad field of doctorate: 2023"
Statistical profiles of research doctorate recipients,,
Table 54,Table 8-1,"Science and engineering research doctorate recipients, statistical profile by sex and broad field of doctorate: 2023"
Table 54,Table 8-2,"Non-science and engineering research doctorate recipients, statistical profile by sex and broad field of doctorate: 2023"
Table 56,Table 8-3,"Agricultural sciences and natural resources research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 56,Table 8-4,"Biological and biomedical sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 60,Table 8-5,"Computer and information science research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 64,Table 8-6,"Engineering research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 58,Table 8-7,"Geosciences, atmospheric, and ocean sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 56,Table 8-8,"Health sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 60,Table 8-9,"Mathematics and statistics research doctorate recipients, statistical profiles by sex and major field of doctorate: 2023"
New,Table 8-10,"Multidisciplinary/interdisciplinary sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 58,Table 8-11,"Physical sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 62,Table 8-12,"Psychology research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 63,Table 8-13,"Social sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 66,Table 8-14,"Education research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 68,Table 8-15,"Humanities research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 70,Table 8-16,"Business research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 70,Table 8-17,"Visual and performing arts research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 70,Table 8-18,"Other non-science and engineering research doctorate recipients, statistical profile by sex and major field of doctorate: 2023"
Table 72,Table 8-19,"Statistical profile of research doctorate recipients, by ethnicity, race, and citizenship status: 2023"
Postgraduation plans of research doctorate recipients,,
Table 55,Table 9-1,"Science and engineering research doctorate recipients, postgraduation plans by sex and broad field of doctorate: 2023"
Table 55,Table 9-2,"Non-science and engineering research doctorate recipients, postgraduation plans by sex and broad field of doctorate: 2023"
Table 57,Table 9-3,"Agricultural sciences and natural resources research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 57,Table 9-4,"Biological and biomedical sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 61,Table 9-5,"Computer and information sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 65,Table 9-6,"Engineering research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 59,Table 9-7,"Geosciences, atmospheric, and ocean sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 57,Table 9-8,"Health sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 61,Table 9-9,"Mathematics and statistics research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
New,Table 9-10,"Multidisciplinary/ interdisciplinary sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 59,Table 9-11,"Physical sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 62,Table 9-12,"Psychology research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 63,Table 9-13,"Social sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 67,Table 9-14,"Education research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 69,Table 9-15,"Humanities research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 71,Table 9-16,"Business research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 71,Table 9-17,"Visual and performing arts research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 71,Table 9-18,"Other non-science and engineering research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023"
Table 72,Table 9-19,"Postgraduation plans of research doctorate recipients, by ethnicity, race, and citizenship status: 2023"
Technical tables,,
Table A-2,Table A-1,Research doctoral degrees included in the Survey of Earned Doctorates:  2019–23
Table A-3,Table A-2,Survey response rates: 1970–2023
Table A-4,Table A-3,Item response rates: 2017–23
Table A-6,Table A-4,"SED field of doctorate taxonomy, by SED-CIP series/codes: 2023"
New,Table A-5,"Doctoral SED-CIP codes in new broad, major, and detailed fields: 2023"
New,Table A-6,"Doctoral SED-CIP code crosswalk to trend broad, major, and fine fields: 2023"
New,Table B-1,SED data table crosswalk: 2020 vs. 2021–23
New,Table B-2,Comparison of the new field taxonomy to the trend and historical field taxonomy
