Table A-4,Unnamed: 1,Unnamed: 2
"Aerospace, aeronautical, astronautical, and space engineering, other",Detailed,"14.02 except 14.0201, 15.0801, 49.0101"
"Biological, biomedical, and biosystems engineering",Major,"14.05, 14.45, 15.0401"
Bioengineering and biomedical engineering,Detailed,14.0501
Biological and biosystems engineering and biomedical technology,Detailed,"14.4501, 15.0401"
Chemical and petroleum engineering,Major,"14.07, 14.25, 14.32, 14.40–14.44"
Chemical and biomolecular engineering,Detailed,14.0702
Chemical engineering,Detailed,14.0701
Petroleum engineering,Detailed,14.2501
Chemical and petroleum engineering nec,Detailed,"14.0799, 14.3201, 14.40, 14.4314.44"
"Civil, environmental, and transportation engineering",Major,"14.08, 14.1401, 14.3301, 14.3801, 14.3901"
Civil engineering,Detailed,"14.0801, 14.0899"
Civil and environmental engineering,Detailed,14.0899b
Environmental/ environmental health engineering,Detailed,14.1401
Geotechnical and geoenvironmental engineering,Detailed,"14.0802, 14.3901"
Structural engineering,Detailed,14.0803
Transportation and highway engineering,Detailed,14.0804
"Civil, environmental, and transportation engineering nec",Detailed,"14.0401, 14.0805, 14.3301, 14.3801"
Electrical and computer engineering,Major,"14.09, 14.10, 14.47"
Computer engineering,Detailed,14.09
Electrical and computer engineering,Detailed,14.4701
Electrical and electronics engineering,Detailed,14.1001
Electrical and computer engineering nec,Detailed,"14.1003, 14.1004, 14.1099, 14.1099b"
Engineering technologies,Major,"all 15 except 15.0401, 15.0801, 15.1102, 15.15, 15.16"
Electrical and electronic engineering technologies,Detailed,15.03
Electromechanical technologies,Detailed,15.04 except 15.0401
Environmental control technologies,Detailed,15.05
Engineering technologies nec,Detailed,"all other 15 except 15.0801, 15.1102, 15.15, 15.16"
Industrial engineering and operations research,Major,"14.27, 14.35, 14.36, 14.37"
Industrial engineering,Detailed,14.3501
Industrial and systems engineering,Detailed,14.3501b
Operations research,Detailed,14.37
Systems and manufacturing engineering,Detailed,"14.2701, 14.3601"
Materials and mining engineering,Major,"14.0601, 14.18, 14.2001, 14.2101, 14.2801"
Materials engineering,Detailed,14.1801
Materials science and engineering,Detailed,14.1801b
Materials and mining engineering nec,Detailed,"14.0601, 14.2001, 14.2101, 14.2801"
Mechanical engineering,Major,"14.19, 14.41, 14.42"
"Mechanical engineering, general",Detailed,14.1901
Mechanical engineering nec,Detailed,"14.4101, 14.4201"
"Engineering, other",Major,"all other 14, 15.0801, 15.15, 15.16"
"Engineering mechanics, physics, and science",Detailed,"14.11, 14.1201, 14.1301"
Nanotechnology,Detailed,15.1601
Nuclear engineering,Detailed,14.2301
Engineering nec,Detailed,"14.01, 14.0301, 14.2201, 14.2401, 14.3401, 14.48, 14.99, 15.15, 49.0101"
"Geosciences, atmospheric, and ocean sciences",Broad,"40.04, 40.06, 15.1102, 26.1302, 30.32, 30.35, 30.38, 30.41"
Geological and earth sciences,Major,"40.06, 15.1102, 30.38, 30.4101"
Geochemistry,Detailed,"40.0602, 40.0606"
Geology,Detailed,40.0601c
"Geology/ earth science, general",Detailed,"40.0601, 40.0601b"
Geophysics and seismology,Detailed,40.0603
Hydrology and water resources science,Detailed,40.0605
Geological and earth sciences nec,Detailed,"40.0604, 40.0699, 15.1102, 30.38, 30.4101"
"Ocean, marine, and atmospheric science",Major,"40.04, 40.0607, 26.1302, 30.32, 30.35"
"Atmospheric sciences and meteorology, general",Detailed,40.0401
"Climatology, atmospheric chemistry/ physics",Detailed,"40.0402, 40.0403"
Marine biology and biological oceanography,Detailed,26.1302
Marine sciences,Detailed,30.32
"Oceanography, chemical/ physical",Detailed,40.0607
Atmospheric sciences and meteorology nec,Detailed,"40.0404, 40.0499, 40.0499b, 30.3501"
Health sciences,Broad,"51, 31.0505"
Nursing and nursing science,Major,"51.3203, 51.38, 51.39"
Nursing education,Detailed,51.3203
Nursing science,Detailed,51.3808
Nursing specialties and practice,Detailed,"51.38, 51.39"
Pharmacy and pharmaceutical sciences,Major,51.20
Medicinal and pharmaceutical chemistry,Detailed,51.2004
Pharmaceutical sciences,Detailed,51.2010
"Pharmacy, pharmaceutical sciences, and administration nec",Detailed,all other 51.20
Public health,Major,51.22
Environmental health,Detailed,51.2202
Health services research,Detailed,51.2211b
Health/ medical physics,Detailed,51.2205
Public health education and promotion,Detailed,51.2207
"Public health, general",Detailed,51.2201
Public health nec,Detailed,all other 51.22
"Health sciences, other",Major,"all other 51, 31.0505"
Communication disorders sciences,Detailed,51.02
Exercise science and kinesiology,Detailed,31.0505
"Health sciences, general",Detailed,51.00
Marriage and family therapy/ counseling,Detailed,51.1505
Medical clinical sciences,Detailed,51.14
"Medical, biomedical, and health informatics",Detailed,51.27
"Mental health, counseling, and therapy services and sciences",Detailed,51.15
Rehabilitation and therapeutic sciences,Detailed,51.23
Health sciences nec,Detailed,all other 51
Mathematics and statistics,Broad,"27, 52.1304"
Applied mathematics,Major,"27.03, 52.1304"
"Applied mathematics, general",Detailed,27.0301
Computational and applied mathematics,Detailed,"27.0303, 27.0304"
Applied mathematics nec,Detailed,"all other 27.03, 52.1304"
Mathematics,Major,27.01
Algebra and number theory,Detailed,27.0102
"Mathematics, general",Detailed,"27.0101, 27.0101b"
Mathematics nec,Detailed,all other 27.01
Statistics,Major,"27.05, 27.06, 27.9999"
"Applied statistics, general",Detailed,27.0601
Mathematics and statistics,Detailed,"27.0502, 27.0503, 27.9999"
Statistics,Detailed,27.0501
Statistics nec,Detailed,"27.0599, 27.0599b"
Multidisciplinary/ interdisciplinary sciences,Broad,see below
Interdisciplinary computer sciences,Major,"30.08, 30.16, 30.31, 30.39, 30.48, 30.9999b/d"
Computer science and engineering,Detailed,30.9999d
Electrical engineering and computer science,Detailed,30.9999b
Interdisciplinary computer sciences nec,Detailed,"30.0801, 30.1601, 30.3101, 30.3901, 30.4801"
"Multidisciplinary/ interdisciplinary sciences, other",Major,see below
Behavioral and cognitive sciences,Detailed,"30.1701, 30.25"
Computational science and engineering,Detailed,30.30
Data science and data analytics,Detailed,"30.70 except 30.7099b, 30.71"
Data mining and machine learning,Detailed,30.7099b
"History/ philosophy of science, technology, and society",Detailed,"30.1501, 54.0104"
Nanoscience/ nanoscale science,Detailed,30.9999c
Nutrition sciences,Detailed,30.1901
Multidisciplinary/ interdisciplinary sciences nec,Detailed,"30.01, 30.05, 30.06, 30.10, 30.18, 30.20, 30.21, 30.23, 30.26, 30.27, 30.33, 30.34, 30.37, 30.40, 30.42, 30.43, 30.44, 30.46, 30.49, 30.50, 30.51, 30.53, 30.9999e, 30.9999z"
Physical sciences,Broad,"all 40 except 40.04, 40.06"
Astronomy and astrophysics,Major,40.02
Astronomy,Detailed,40.0201
Astrophysics,Detailed,40.0202
Astronomy and astrophysics nec,Detailed,"40.0203, 40.0299, 40.0299b"
Chemistry,Major,40.05
Analytical chemistry,Detailed,40.0502
Chemical biology,Detailed,40.0599b
"Chemistry, general",Detailed,40.0501
Inorganic chemistry,Detailed,40.0503
Organic chemistry,Detailed,40.0504
Physical chemistry,Detailed,40.0506
Polymer chemistry,Detailed,40.0507
Theoretical and computational chemistry,Detailed,"40.0511, 40.0511b"
Chemistry nec,Detailed,all other 40.05
Materials sciences,Major,40.10
Materials sciences ,Detailed,40.1001
Materials chemistry and materials sciences nec,Detailed,"40.1002, 40.1099,40.1099b"
Physics,Major,"40.01, 40.08, 40.11, 40.99"
Applied physics,Detailed,40.0899b
Atomic/ molecular physics,Detailed,40.0802
Condensed matter and materials physics,Detailed,40.0808
Elementary particle physics,Detailed,40.0804
Nuclear physics,Detailed,40.0806
Optics/ optical sciences,Detailed,40.0807
Physics and astronomy,Detailed,40.1101
"Physics, general",Detailed,40.0801
Plasma and high-temperature physics,Detailed,40.0805
Theoretical and mathematical physics,Detailed,40.0810
Physics and physical sciences nec,Detailed,"all other 40.08, 40.0101, 40.99"
Psychology,Broad,"42, 19.0701, 19.0702, 19.0706"
Clinical psychology,Major,"42.2801, 42.2807"
Clinical child psychology,Detailed,42.2807
Clinical psychology,Detailed,42.2801
Counseling and applied psychology,Major,"all 42.28 except 42.2801, 42.2807"
Applied behavior analysis,Detailed,42.2814
Counseling psychology,Detailed,42.2803
Educational psychology,Detailed,"42.2806, 42.2806b"
Industrial and organizational psychology,Detailed,42.2804
School psychology,Detailed,"42.2805, 42.2805b"
Counseling and applied psychology nec,Detailed,all other 42.28
Research and experimental psychology,Major,42.27
Behavioral neuroscience,Detailed,42.2706
Cognitive psychology and psycholinguistics,Detailed,42.2701
Developmental and child psychology,Detailed,42.2703
Experimental psychology,Detailed,42.2704
Social psychology,Detailed,42.2707
Research and experimental psychology nec,Detailed,all other 42.27
"Psychology, other",Major,"42.01, 42.99, 19.0701, 19.0702, 19.0706"
Human development,Detailed,"19.0701, 19.0702, 19.0706"
"Psychology, general",Detailed,42.0101
Psychology nec,Detailed,42.9999
Social sciences,Broad,"45, 01.0103, 03.0204, 05, 16.0102, 16.0105, 16.0199, 30.47, 43.0104, 44.05"
Anthropology,Major,45.02
"Anthropology, general",Detailed,45.0201
Cultural anthropology,Detailed,45.0204
Physical and biological anthropology,Detailed,45.0202
Anthropology nec,Detailed,all other 45.02
"Area, ethnic, cultural, gender, and group studies",Major,05
Area studies,Detailed,05.01
Ethnic studies,Detailed,05.0200–05.0206
"Area, ethnic, cultural, gender, and group studies nec",Detailed,"05.0207–05.0212, 05.0299, 05.9999"
Economics,Major,"45.06, 01.0103, 03.0204"
Agricultural economics,Detailed,01.0103
Applied economics,Detailed,45.0602
Development economics and international development,Detailed,45.0604
Econometrics and quantitative economics,Detailed,45.0603
"Economics, general",Detailed,45.0601
Environmental/ natural resource economics,Detailed,"45.0602b, 03.0204"
Economics nec,Detailed,all other 45.06
Political science and government,Major,45.10
"Political science and government, general",Detailed,45.1001
Political science and government nec,Detailed,all other 45.10
Public policy analysis,Major,44.05
Education policy analysis,Detailed,44.0502
Health policy analysis,Detailed,44.0503
"Public policy analysis, general",Detailed,44.0501
Public policy nec,Detailed,all other 44.05
"Sociology, demography, and population studies",Major,"45.05, 45.11"
"Sociology, general",Detailed,45.1101
"Sociology, demography, and population studies nec",Detailed,"all other 45.11, 45.05"
"Social sciences, other",Major,"all other 45, 16.0102, 16.0105, 16.0199, 30.11, 30.4701, 43.0104"
Applied linguistics,Detailed,"16.0105, 16.0199"
Archeology,Detailed,"45.0301, 45.0301b"
Criminology,Detailed,45.0401
Geography and cartography,Detailed,45.07
International relations and national security studies,Detailed,45.09
Linguistics,Detailed,16.0102
Social sciences nec,Detailed,"45.01, 45.1201, 45.1301, 45.1501, 45.9999, 43.0104, 30.11, 30.4701"
Non-science and engineering,Area,see below
Business,Broad,"52, 49.0104"
Business administration and management,Major,"52.02, 49.0104"
Business management and administration,Detailed,52.0201
Organizational leadership,Detailed,52.0213
Business administration and management nec,Detailed,"all other 52.02, 49.0104"
"Business, other",Major,all other 52
Accounting and accounting-related,Detailed,52.03
Finance and financial management,Detailed,52.08
Management information systems,Detailed,52.12
Management sciences,Detailed,"52.0601, 52.13"
Marketing,Detailed,52.14
Organizational behavior studies,Detailed,52.1003
Business nec,Detailed,all other 52
Education,Broad,13
Education leadership and administration,Major,13.04
"Educational leadership and administration, general",Detailed,13.0401
Higher education and community college administration,Detailed,"13.0406, 13.0407"
Education leadership and administration nec,Detailed,all other 13.04
Education research,Major,"13.03, 13.05–13.07, 13.09, 13.11"
Curriculum and instruction,Detailed,13.0301
"Educational assessment, evaluation, and research methods",Detailed,"13.0601, 13.0603, 13.0604, 13.0607, 13.0699"
Educational/ instructional technology and media design,Detailed,13.05
Higher education evaluation and research,Detailed,"13.0608, 13.0699b"
Student counseling and personnel services,Detailed,13.11
Education research nec,Detailed,"13.07, 13.09"
Teacher education and teaching fields,Major,"13.02, 13.12, 13.10, 13.13, 13.14"
"Adult, continuing, and workforce education and development",Detailed,"13.1201, 13.1201b"
"Bilingual, multilingual, and multicultural education",Detailed,13.02
Mathematics teacher education,Detailed,13.1311
Music teacher education,Detailed,13.1312
Special education and teaching,Detailed,13.10
STEM educational methods,Detailed,13.1213
"Teacher education, science and engineering",Detailed,"13.1301, 13.1316, 13.1317, 13.1321–13.1323, 13.1329, 13.1332, 13.1335, 13.1337, 13.1338"
"Teacher education, specific levels and methods",Detailed,"all 13.12 except 13.1201, 13.1201b, 13.1213"
"Teacher education, specific subject areas",Detailed,"all other 13.13, 13.14"
"Education, other",Major,"13.01, 13.15, 13.99"
"Education, general",Detailed,13.0101
Education nec,Detailed,"13.15, 13.9999"
Humanities,Broad,"23, 24.0103, 24.0199, 38, 39, 54, all 16 except 16.0102, 16.0105, 16.0199, 16.12"
"English language and literature, letters",Major,23
American literature (United States),Detailed,"23.1402, 23.1402b"
Creative writing,Detailed,23.1302
"English language and literature, general",Detailed,23.0101
English literature (British and Commonwealth),Detailed,23.1404
"Rhetoric and composition, and writing studies",Detailed,all other 23.13
English language and literature nec,Detailed,"all other 23.14, 23.99"
"Foreign languages, literatures, and linguistics",Major,"all 16 except 16.0102, 16.0105, 16.0199, 16.12"
Comparative literature,Detailed,16.0104
"Hispanic/ Latin American languages, literatures, and linguistics",Detailed,16.0908
"Romance languages, literatures, and linguistics",Detailed,all other 16.09
Spanish language and literature,Detailed,"16.0905, 16.0907"
"Foreign languages, literatures, and linguistics nec",Detailed,"all other 16 except 16.0102, 16.0105, 16.0199, 16.12"
History,Major,all 54 except 54.0104
American history (United States),Detailed,"54.0102, 54.0102b"
European history,Detailed,54.0103
"History, general",Detailed,54.0101
"History, regional focus",Detailed,"51.0106, 54.0107, 54.0199c/d/e"
History nec,Detailed,"54.0105, 54.0108, 54.0199"
Philosophy and religious studies,Major,38
Philosophy,Detailed,"38.01, 38.99"
Religion/ religious studies,Detailed,38.0201
Philosophy and religious studies nec,Detailed,all other 38.02
"Humanities, other",Major,"24.0103, 24.0199, 39"
Bible/ biblical studies,Detailed,39.0201
Humanities and humanistic studies,Detailed,"24.0103, 24.0199"
Theological and ministerial studies,Detailed,all other 39
Visual and performing arts,Broad,50
Music and performing arts,Major,"50.03, 50.05, 50.09"
"Dance, drama, theatre arts and stagecraft",Detailed,"50.03, 50.05"
Music performance,Detailed,"50.0903, 50.0906–50.0908, 50.0910, 50.0911, 50.0914–50.0916"
Music theory and composition,Detailed,50.0904
Musicology and ethnomusicology,Detailed,50.0905
Music nec,Detailed,"50.0901, 50.0902, 50.0912, 50.0913, 50.0917, 50.0999"
"Visual arts, media studies, and design",Major,"50.01, 50.04, 50.06, 50.07, 50.10, 50.1101, 50.9999"
"Art history, criticism and conservation",Detailed,50.0703
"Film, cinema, and media studies",Detailed,50.06
"Visual arts, media studies, and design nec",Detailed,all other 50
Other non-science and engineering,Broad,see below
Communications and journalism,Major,"09, 10"
"Applied communication, advertising, and public relations",Detailed,09.09
Communication and media studies,Detailed,"09.0101, 09.0199"
"Communication, general",Detailed,"09.0100, 09.0100d"
Mass communication/ media studies,Detailed,09.0102
Communications and journalism nec,Detailed,"09.0100b/c, 09.04, 09.07, 09.10, 09.99, 10"
Multidisciplinary/ interdisciplinary studies,Major,see below
Classical and ancient studies,Detailed,"30.22, 16.12"
Interdisciplinary leadership/leadership Studies,Detailed,30.9999f
Multidisciplinary/ interdisciplinary studies nec,Detailed,"16.0199b, 24.01, 30.00, 30.12–30.14, 30.28, 30.29, 30.36, 30.45, 30.52, 30.9999, 30.9999g"
Public administration and social services,Major,all 44 except 44.05
Public administration,Detailed,"44.0201, 44.04, 44.9999b"
Social work and human services,Detailed,"44.00, 44.07, 44.9999"
"Non-science and engineering, other",Major,see below
Architecture and architectural studies ,Detailed,all 04 except 04.0301
"City/ urban, community, and regional planning",Detailed,04.0301
"Family, consumer sciences and human sciences",Detailed,"all 19 except 19.0701, 19.0702, 19.0706"
Homeland security and protective services,Detailed,all 43 except 43.0104
"Law, legal studies and research",Detailed,22
"Parks, recreation, leisure, fitness, and sport studies and management",Detailed,all 31 except 31.0505
Other non-science and engineering nec,Detailed,"01.05, 01.82, 25, 29"
