Table B-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Engineering technologies,Major,,-,,-
Industrial engineering and operations research,Major,Industrial engineering and operations research,Major,Industrial and manufacturing engineering,Major
Materials and mining engineering,Major,Materials and mining engineering,Major,Materials science engineering,Major
Mechanical engineering,Major,Mechanical engineering,Major,Mechanical engineering,Major
"Engineering, other",Major,"Engineering, other",Major,Other engineering,Major
"Geosciences, atmospheric, and ocean sciences",Broad,"Geosciences, atmospheric, and ocean sciences",Broad,"Geosciences, atmospheric, and ocean sciences",Major
Geological and earth sciences,Major,Geological sciences,Major,na,-
"Ocean, marine, and atmospheric sciences",Major,"Ocean, marine, and atmospheric sciences",Major,na,-
Health sciences,Broad,Health sciencesa,Broad,Health sciences,Major
Nursing and nursing science,Major,Nursing science ,Major,na,-
Pharmacy and pharmaceutical sciences,Major,Pharmaceutical sciences,Major,na,-
Public health,Major,Public health,Major,na,-
"Health sciences, other",Major,"Health sciences, other ",Major,na,-
na,-,na,-,Mathematics and computer sciences,Broad
Mathematics and statistics,Broad,Mathematics and statistics,Broad,Mathematics and statistics,Major
Applied mathematics,Major,Applied mathematics,Major,na,-
Mathematics,Major,Mathematics ,Major,na,-
Statistics,Major,Statistics,Major,na,-
na,-,"Mathematics and statistics, other",Major,na,-
Multidisciplinary/ interdisciplinary sciences,Broad,,-,,-
Interdisciplinary computer sciences,Major,,-,,-
"Multidisciplinary/ interdisciplinary sciences, other",Major,,-,,-
na,-,na,-,Physical sciences and earth sciences,Broad
Physical sciences,Broad,Physical sciences,Broad,na,-
Astronomy and astrophysics,Major,Astronomy and astrophysics,Major,na,-
Chemistry,Major,Chemistry,Major,Chemistry,Major
Materials sciences,Major,,-,,-
Physics,Major,Physics,Major,Physics and astronomy,Major
na,-,na,-,Psychology and social sciences,Broad
Psychology,Broad,Psychology,Broad,Psychology,Major
Clinical psychology,Major,Clinical psychology,Major,na,-
Counseling and applied psychology,Major,Counseling and applied psychology,Major,na,-
Research and experimental psychology,Major,Research and experimental psychology,Major,na,-
"Psychology, other",Major,"Psychology, other ",Major,na,-
Social sciences,Broad,Social sciences,Broad,na,-
Anthropology,Major,Anthropology,Major,Anthropology,Major
"Area, ethnic, cultural, gender, and group studies",Major,na,-,na,-
Economics,Major,Economics,Major,Economics,Major
Political science and government,Major,Political science and government,Major,Political science and government,Major
Public policy analysis,Major,Public policy analysis,Major,na,-
"Sociology, demography, and population studies",Major,"Sociology, demography, and population studies",Major,Sociology,Major
"Social sciences, other",Major,"Social sciences, other  ",Major,Other social sciences,Major
Non-science and engineering,Area,Non-science and engineering,Area,na,-
Business,Broad,Business ,Broad,Business management and administration,Major
Business administration and management,Major,na,-,na,-
"Business, other",Major,na,-,na,-
na,-,Business ,Major,na,-
Education,Broad,Education,Broad,Education,Broad
Education leadership and administration,Major,Education leadership and administration,Major,Education administration,Major
Education research,Major,Education research,Major,Education research,Major
Teacher education and teaching fields,Major,Teacher education and teaching fields,Major,Teacher education,Major
na,-,na,-,Teaching fields,Major
"Education, other",Major,"Education, other ",Major,Other education,Major
Humanities,Broad,Humanities and arts,Broad,Humanities and arts,Broad
"English language and literature, letters",Major,Letters,Major,Letters,Major
"Foreign languages, literatures, and linguistics",Major,Foreign languages and literature,Major,Foreign languages and literature,Major
History,Major,History,Major,History,Major
Philosophy and religious studies,Major,Philosophy and religious studies,Major,na,-
na,Major,"Humanities and arts, other",Major,Other humanities and arts,Major
"Humanities, other",Major,na,-,na,-
Visual and performing arts,Broad,na,-,na,-
Performing arts,Major,Music and performing arts,Major,na,-
"Visual arts, media studies, and design",Major,,-,,-
Other non-science and engineering,Broad,Other non-science and engineering,Broad,Other,Broad
Communications and journalism,Major,Communication,Major,Communication,Major
Multidisciplinary/ interdisciplinary studies,Major,,-,,-
Public administration and social services,Major,Public administration and social services,Major,na,-
"Non-science and engineering, other",Major,"Non-science and engineering, other",Major,Non-science and engineering fields nec,Major
