varnumber,varname,codevalue,valuelabel,frequency,percent
35000,CIPCODE,1.0699,"Applied Horticulture/Horticultural Business Services, Other",20,0.01
35000,CIPCODE,1.0701,International Agriculture,23,0.01
35000,CIPCODE,1.0801,Agricultural and Extension Education Services,50,0.02
35000,CIPCODE,1.0802,Agricultural Communication/Journalism,37,0.01
35000,CIPCODE,1.0899,"Agricultural Public Services, Other",3,0.0
35000,CIPCODE,1.0901,"Animal Sciences, General",272,0.09
35000,CIPCODE,1.0902,Agricultural Animal Breeding,6,0.0
35000,CIPCODE,1.0903,Animal Health,9,0.0
35000,CIPCODE,1.0904,Animal Nutrition,3,0.0
35000,CIPCODE,1.0905,Dairy Science,25,0.01
35000,CIPCODE,1.0906,Livestock Management,21,0.01
35000,CIPCODE,1.0907,Poultry Science,24,0.01
35000,CIPCODE,1.0999,"Animal Sciences, Other",18,0.01
35000,CIPCODE,1.1001,Food Science,167,0.06
35000,CIPCODE,1.1002,Food Technology and Processing,38,0.01
35000,CIPCODE,1.1003,Brewing Science,30,0.01
35000,CIPCODE,1.1004,Viticulture and Enology,66,0.02
35000,CIPCODE,1.1005,Zymology/Fermentation Science,5,0.0
35000,CIPCODE,1.1099,"Food Science and Technology, Other",27,0.01
35000,CIPCODE,1.1101,"Plant Sciences, General",89,0.03
35000,CIPCODE,1.1102,Agronomy and Crop Science,143,0.05
35000,CIPCODE,1.1103,Horticultural Science,118,0.04
35000,CIPCODE,1.1104,Agricultural and Horticultural Plant Breeding,12,0.0
35000,CIPCODE,1.1105,Plant Protection and Integrated Pest Management,31,0.01
35000,CIPCODE,1.1106,Range Science and Management,53,0.02
35000,CIPCODE,1.1199,"Plant Sciences, Other",14,0.0
35000,CIPCODE,1.1201,"Soil Science and Agronomy, General",73,0.02
35000,CIPCODE,1.1202,Soil Chemistry and Physics,2,0.0
35000,CIPCODE,1.1299,"Soil Sciences, Other",12,0.0
35000,CIPCODE,1.1302,Pre-Veterinary Studies,59,0.02
35000,CIPCODE,1.1399,"Agriculture/Veterinary Preparatory Programs, Other",1,0.0
35000,CIPCODE,1.8001,Veterinary Medicine,38,0.01
35000,CIPCODE,1.8101,"Veterinary Sciences/Veterinary Clinical Sciences, General",44,0.01
35000,CIPCODE,1.8102,Comparative and Laboratory Animal Medicine,10,0.0
35000,CIPCODE,1.8103,Large Animal/Food Animal and Equine Surgery and Medicine,3,0.0
35000,CIPCODE,1.8104,Small/Companion Animal Surgery and Medicine,3,0.0
35000,CIPCODE,1.8106,Veterinary Infectious Diseases,4,0.0
35000,CIPCODE,1.8107,Veterinary Microbiology and Immunobiology,7,0.0
35000,CIPCODE,1.8108,Veterinary Pathology and Pathobiology,15,0.0
35000,CIPCODE,1.8109,Veterinary Physiology,2,0.0
35000,CIPCODE,1.811,"Veterinary Preventive Medicine, Epidemiology, and Public Health",6,0.0
35000,CIPCODE,1.8202,Veterinary Office Management/Administration,3,0.0
35000,CIPCODE,1.8203,Veterinary Reception/Receptionist,1,0.0
35000,CIPCODE,1.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary,1,0.0
35000,CIPCODE,1.8301,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,365,0.12
35000,CIPCODE,1.8399,"Veterinary/Animal Health Technologies/Technicians, Other",4,0.0
35000,CIPCODE,1.9999,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",60,0.02
35000,CIPCODE,3.0101,"Natural Resources/Conservation, General",254,0.08
35000,CIPCODE,3.0103,Environmental Studies,911,0.3
35000,CIPCODE,3.0104,Environmental Science,1030,0.34
35000,CIPCODE,3.0199,"Natural Resources Conservation and Research, Other",44,0.01
35000,CIPCODE,3.0201,"Environmental/Natural Resources Management and Policy, General",121,0.04
35000,CIPCODE,3.0204,Environmental/Natural Resource Economics,28,0.01
35000,CIPCODE,3.0205,"Water, Wetlands, and Marine Resources Management",58,0.02
35000,CIPCODE,3.0206,Land Use Planning and Management/Development,18,0.01
35000,CIPCODE,3.0207,Environmental/Natural Resource Recreation and Tourism,24,0.01
35000,CIPCODE,3.0208,Environmental/Natural Resources Law Enforcement and Protective Services,27,0.01
35000,CIPCODE,3.0209,Energy and Environmental Policy,17,0.01
35000,CIPCODE,3.0299,"Environmental/Natural Resources Management and Policy, Other",42,0.01
35000,CIPCODE,3.0301,Fishing and Fisheries Sciences and Management,55,0.02
35000,CIPCODE,3.0501,"Forestry, General",95,0.03
35000,CIPCODE,3.0502,Forest Sciences and Biology,41,0.01
35000,CIPCODE,3.0506,Forest Management/Forest Resources Management,37,0.01
35000,CIPCODE,3.0508,Urban Forestry,27,0.01
35000,CIPCODE,3.0509,Wood Science and Wood Products/Pulp and Paper Technology/Technician,17,0.01
35000,CIPCODE,3.051,Forest Resources Production and Management,11,0.0
35000,CIPCODE,3.0511,Forest Technology/Technician,52,0.02
35000,CIPCODE,3.0599,"Forestry, Other",24,0.01
35000,CIPCODE,3.0601,"Wildlife, Fish and Wildlands Science and Management",156,0.05
35000,CIPCODE,3.9999,"Natural Resources and Conservation, Other",24,0.01
35000,CIPCODE,4.02,Pre-Architecture Studies,8,0.0
35000,CIPCODE,4.0201,Architecture,241,0.08
35000,CIPCODE,4.0202,Architectural Design,6,0.0
35000,CIPCODE,4.0301,"City/Urban, Community, and Regional Planning",233,0.08
35000,CIPCODE,4.0401,Environmental Design/Architecture,69,0.02
35000,CIPCODE,4.0402,Healthcare Environment Design/Architecture,2,0.0
35000,CIPCODE,4.0403,Sustainable Design/Architecture,4,0.0
35000,CIPCODE,4.0499,"Environmental Design, Other",1,0.0
35000,CIPCODE,4.0501,Interior Architecture,66,0.02
35000,CIPCODE,4.0601,Landscape Architecture,109,0.04
35000,CIPCODE,4.0801,"Architectural History and Criticism, General",38,0.01
35000,CIPCODE,4.0802,Architectural Conservation,1,0.0
35000,CIPCODE,4.0803,Architectural Studies,11,0.0
35000,CIPCODE,4.0901,Architectural Technology/Technician,130,0.04
35000,CIPCODE,4.0902,Architectural and Building Sciences/Technology,216,0.07
35000,CIPCODE,4.0999,"Architectural Sciences and Technology, Other",2,0.0
35000,CIPCODE,4.1001,Real Estate Development,28,0.01
35000,CIPCODE,4.9999,"Architecture and Related Services, Other",35,0.01
35000,CIPCODE,5.0101,African Studies,113,0.04
35000,CIPCODE,5.0102,American/United States Studies/Civilization,335,0.11
35000,CIPCODE,5.0103,Asian Studies/Civilization,253,0.08
35000,CIPCODE,5.0104,East Asian Studies,147,0.05
35000,CIPCODE,5.0105,"Russian, Central European, East European and Eurasian Studies",37,0.01
35000,CIPCODE,5.0106,European Studies/Civilization,84,0.03
35000,CIPCODE,5.0107,Latin American Studies,275,0.09
35000,CIPCODE,5.0108,Near and Middle Eastern Studies,140,0.05
35000,CIPCODE,5.0109,Pacific Area/Pacific Rim Studies,11,0.0
35000,CIPCODE,5.011,Russian Studies,93,0.03
35000,CIPCODE,5.0111,Scandinavian Studies,16,0.01
35000,CIPCODE,5.0112,South Asian Studies,26,0.01
35000,CIPCODE,5.0113,Southeast Asian Studies,11,0.0
35000,CIPCODE,5.0114,Western European Studies,11,0.0
35000,CIPCODE,5.0115,Canadian Studies,5,0.0
35000,CIPCODE,5.0118,Slavic Studies,6,0.0
35000,CIPCODE,5.0119,Caribbean Studies,5,0.0
35000,CIPCODE,5.012,Ural-Altaic and Central Asian Studies,7,0.0
35000,CIPCODE,5.0121,Commonwealth Studies,1,0.0
35000,CIPCODE,5.0122,"Regional Studies (U.S., Canadian, Foreign)",33,0.01
35000,CIPCODE,5.0123,Chinese Studies,41,0.01
35000,CIPCODE,5.0124,French Studies,68,0.02
35000,CIPCODE,5.0125,German Studies,76,0.03
35000,CIPCODE,5.0126,Italian Studies,70,0.02
35000,CIPCODE,5.0127,Japanese Studies,33,0.01
35000,CIPCODE,5.0128,Korean Studies,4,0.0
35000,CIPCODE,5.013,Spanish and Iberian Studies,21,0.01
35000,CIPCODE,5.0133,Irish Studies,2,0.0
35000,CIPCODE,5.0134,Latin American and Caribbean Studies,52,0.02
35000,CIPCODE,5.0135,Appalachian Studies,3,0.0
35000,CIPCODE,5.0199,"Area Studies, Other",126,0.04
35000,CIPCODE,5.02,Ethnic Studies,130,0.04
35000,CIPCODE,5.0201,African-American/Black Studies,373,0.12
35000,CIPCODE,5.0202,American Indian/Native American Studies,178,0.06
35000,CIPCODE,5.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies",129,0.04
35000,CIPCODE,5.0206,Asian-American Studies,37,0.01
35000,CIPCODE,5.0207,Women's Studies,739,0.24
35000,CIPCODE,5.0208,Gay/Lesbian Studies,22,0.01
35000,CIPCODE,5.0209,Folklore Studies,19,0.01
35000,CIPCODE,5.021,Disability Studies,44,0.01
35000,CIPCODE,5.0211,Deaf Studies,42,0.01
35000,CIPCODE,5.0212,Comparative Group Studies,13,0.0
35000,CIPCODE,5.0299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other",269,0.09
35000,CIPCODE,5.9999,"Area, Ethnic, Cultural, Gender, and Group Studies, Other",13,0.0
35000,CIPCODE,9.01,"Communication, General",614,0.2
35000,CIPCODE,9.0101,Speech Communication and Rhetoric,1382,0.46
35000,CIPCODE,9.0102,Mass Communication/Media Studies,586,0.19
35000,CIPCODE,9.0199,"Communication and Media Studies, Other",210,0.07
35000,CIPCODE,9.0401,Journalism,667,0.22
35000,CIPCODE,9.0402,Broadcast Journalism,107,0.04
35000,CIPCODE,9.0404,Photojournalism,29,0.01
35000,CIPCODE,9.0406,Cultural Journalism,1,0.0
35000,CIPCODE,9.0407,Science/Health/Environmental Journalism,2,0.0
35000,CIPCODE,9.0499,"Journalism, Other",82,0.03
35000,CIPCODE,9.0701,Radio and Television,313,0.1
35000,CIPCODE,9.0702,Digital Communication and Media/Multimedia,691,0.23
35000,CIPCODE,9.0799,"Radio, Television, and Digital Communication, Other",56,0.02
35000,CIPCODE,9.09,"Public Relations, Advertising, and Applied Communication",282,0.09
35000,CIPCODE,9.0901,"Organizational Communication, General",164,0.05
35000,CIPCODE,9.0902,Public Relations/Image Management,277,0.09
35000,CIPCODE,9.0903,Advertising,182,0.06
35000,CIPCODE,9.0904,Political Communication,29,0.01
35000,CIPCODE,9.0905,Health Communication,103,0.03
35000,CIPCODE,9.0906,Sports Communication,109,0.04
35000,CIPCODE,9.0907,International and Intercultural Communication,37,0.01
35000,CIPCODE,9.0908,Technical and Scientific Communication,42,0.01
35000,CIPCODE,9.0909,Communication Management and Strategic Communications,79,0.03
35000,CIPCODE,9.0999,"Public Relations, Advertising, and Applied Communication, Other",85,0.03
35000,CIPCODE,9.1001,Publishing,36,0.01
35000,CIPCODE,9.9999,"Communication, Journalism, and Related Programs, Other",130,0.04
35000,CIPCODE,10.0105,Communications Technology/Technician,75,0.02
35000,CIPCODE,10.0201,Photographic and Film/Video Technology/Technician,199,0.07
35000,CIPCODE,10.0202,Radio and Television Broadcasting Technology/Technician,158,0.05
35000,CIPCODE,10.0203,Recording Arts Technology/Technician,306,0.1
35000,CIPCODE,10.0204,Voice Writing Technology/Technician,3,0.0
35000,CIPCODE,10.0299,"Audiovisual Communications Technologies/Technicians, Other",29,0.01
35000,CIPCODE,10.0301,"Graphic Communications, General",60,0.02
35000,CIPCODE,10.0302,Printing Management,4,0.0
35000,CIPCODE,10.0303,Prepress/Desktop Publishing and Digital Imaging Design,186,0.06
35000,CIPCODE,10.0304,"Animation, Interactive Technology, Video Graphics, and Special Effects",452,0.15
35000,CIPCODE,10.0305,"Graphic and Printing Equipment Operator, General Production",56,0.02
35000,CIPCODE,10.0306,Platemaker/Imager,7,0.0
35000,CIPCODE,10.0307,Printing Press Operator,2,0.0
35000,CIPCODE,10.0308,Computer Typography and Composition Equipment Operator,2,0.0
35000,CIPCODE,10.0399,"Graphic Communications, Other",15,0.0
35000,CIPCODE,10.9999,"Communications Technologies/Technicians and Support Services, Other",39,0.01
35000,CIPCODE,11.0101,"Computer and Information Sciences, General",1832,0.6
35000,CIPCODE,11.0102,Artificial Intelligence,125,0.04
35000,CIPCODE,11.0103,Information Technology,1281,0.42
35000,CIPCODE,11.0104,Informatics,135,0.04
35000,CIPCODE,11.0105,Human-Centered Technology Design,26,0.01
35000,CIPCODE,11.0199,"Computer and Information Sciences,  Other",135,0.04
35000,CIPCODE,11.0201,"Computer Programming/Programmer, General",806,0.27
35000,CIPCODE,11.0202,"Computer Programming, Specific Applications",272,0.09
35000,CIPCODE,11.0203,"Computer Programming, Vendor/Product Certification",39,0.01
35000,CIPCODE,11.0204,Computer Game Programming,34,0.01
35000,CIPCODE,11.0205,"Computer Programming, Specific Platforms",13,0.0
35000,CIPCODE,11.0299,"Computer Programming, Other",38,0.01
35000,CIPCODE,11.0301,Data Processing and Data Processing Technology/Technician,219,0.07
35000,CIPCODE,11.0401,Information Science/Studies,807,0.27
35000,CIPCODE,11.0501,Computer Systems Analysis/Analyst,159,0.05
35000,CIPCODE,11.0601,"Data Entry/Microcomputer Applications, General",172,0.06
35000,CIPCODE,11.0602,Word Processing,9,0.0
35000,CIPCODE,11.0699,"Data Entry/Microcomputer Applications, Other",6,0.0
35000,CIPCODE,11.0701,Computer Science,1803,0.59
35000,CIPCODE,11.0801,"Web Page, Digital/Multimedia and Information Resources Design",829,0.27
35000,CIPCODE,11.0802,Data Modeling/Warehousing and Database Administration,240,0.08
35000,CIPCODE,11.0803,Computer Graphics,237,0.08
35000,CIPCODE,11.0804,"Modeling, Virtual Environments and Simulation",67,0.02
35000,CIPCODE,11.0899,"Computer Software and Media Applications, Other",140,0.05
35000,CIPCODE,11.0901,Computer Systems Networking and Telecommunications,1014,0.33
35000,CIPCODE,11.0902,Cloud Computing,77,0.03
35000,CIPCODE,11.0999,"Computer Systems Networking and Telecommunications, Other",2,0.0
35000,CIPCODE,11.1001,Network and System Administration/Administrator,475,0.16
35000,CIPCODE,11.1002,"System, Networking, and LAN/WAN Management/Manager",182,0.06
35000,CIPCODE,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,1633,0.54
35000,CIPCODE,11.1004,Web/Multimedia Management and Webmaster,213,0.07
35000,CIPCODE,11.1005,Information Technology Project Management,119,0.04
35000,CIPCODE,11.1006,Computer Support Specialist,446,0.15
35000,CIPCODE,11.1099,"Computer/Information Technology Services Administration and Management, Other",164,0.05
35000,CIPCODE,11.9999,"Computer and Information Sciences and Support Services, Other",134,0.04
35000,CIPCODE,12.0301,"Funeral Service and Mortuary Science, General",87,0.03
35000,CIPCODE,12.0302,Funeral Direction/Service,19,0.01
35000,CIPCODE,12.0303,Mortuary Science and Embalming/Embalmer,6,0.0
35000,CIPCODE,12.0399,"Funeral Service and Mortuary Science, Other",5,0.0
35000,CIPCODE,12.0401,"Cosmetology/Cosmetologist, General",1705,0.56
35000,CIPCODE,12.0402,Barbering/Barber,648,0.21
35000,CIPCODE,12.0404,Electrolysis/Electrology and Electrolysis Technician,14,0.0
35000,CIPCODE,12.0406,Make-Up Artist/Specialist,46,0.02
35000,CIPCODE,12.0407,Hair Styling/Stylist and Hair Design,112,0.04
35000,CIPCODE,12.0408,Facial Treatment Specialist/Facialist,86,0.03
35000,CIPCODE,12.0409,Aesthetician/Esthetician and Skin Care Specialist,762,0.25
35000,CIPCODE,12.041,Nail Technician/Specialist and Manicurist,611,0.2
35000,CIPCODE,12.0411,Permanent Cosmetics/Makeup and Tattooing,3,0.0
35000,CIPCODE,12.0412,Salon/Beauty Salon Management/Manager,39,0.01
35000,CIPCODE,12.0413,"Cosmetology, Barber/Styling, and Nail Instructor",656,0.22
35000,CIPCODE,12.0414,Master Aesthetician/Esthetician,66,0.02
35000,CIPCODE,12.0499,"Cosmetology and Related Personal Grooming Arts, Other",126,0.04
35000,CIPCODE,12.05,"Cooking and Related Culinary Arts, General",287,0.09
35000,CIPCODE,12.0501,Baking and Pastry Arts/Baker/Pastry Chef,333,0.11
35000,CIPCODE,12.0502,Bartending/Bartender,8,0.0
35000,CIPCODE,12.0503,Culinary Arts/Chef Training,714,0.24
35000,CIPCODE,12.0504,"Restaurant, Culinary, and Catering Management/Manager",233,0.08
35000,CIPCODE,12.0505,Food Preparation/Professional Cooking/Kitchen Assistant,86,0.03
35000,CIPCODE,12.0506,Meat Cutting/Meat Cutter,13,0.0
35000,CIPCODE,12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager",24,0.01
35000,CIPCODE,12.0508,Institutional Food Workers,37,0.01
35000,CIPCODE,12.0509,Culinary Science/Culinology,15,0.0
35000,CIPCODE,12.051,Wine Steward/Sommelier,10,0.0
35000,CIPCODE,12.0599,"Culinary Arts and Related Services, Other",46,0.02
35000,CIPCODE,12.0602,Casino Dealing,1,0.0
35000,CIPCODE,12.9999,"Culinary, Entertainment, and Personal Services, Other",8,0.0
35000,CIPCODE,13.0101,"Education, General",1365,0.45
35000,CIPCODE,13.0201,Bilingual and Multilingual Education,162,0.05
35000,CIPCODE,13.0202,Multicultural Education,67,0.02
35000,CIPCODE,13.0203,Indian/Native American Education,18,0.01
35000,CIPCODE,13.0299,"Bilingual, Multilingual, and Multicultural Education, Other",14,0.0
35000,CIPCODE,13.0301,Curriculum and Instruction,747,0.25
35000,CIPCODE,13.0401,"Educational Leadership and Administration, General",1486,0.49
35000,CIPCODE,13.0402,Administration of Special Education,51,0.02
35000,CIPCODE,13.0403,Adult and Continuing Education Administration,33,0.01
35000,CIPCODE,13.0404,"Educational, Instructional, and Curriculum Supervision",160,0.05
35000,CIPCODE,13.0406,Higher Education/Higher Education Administration,442,0.15
35000,CIPCODE,13.0407,Community College Administration,50,0.02
35000,CIPCODE,13.0408,Elementary and Middle School Administration/Principalship,54,0.02
35000,CIPCODE,13.0409,Secondary School Administration/Principalship,47,0.02
35000,CIPCODE,13.041,Urban Education and Leadership,62,0.02
35000,CIPCODE,13.0411,Superintendency and Educational System Administration,117,0.04
35000,CIPCODE,13.0412,International School Administration/Leadership,5,0.0
35000,CIPCODE,13.0413,Education Entrepreneurship,5,0.0
35000,CIPCODE,13.0414,Early Childhood Program Administration,8,0.0
35000,CIPCODE,13.0499,"Educational Administration and Supervision, Other",166,0.05
35000,CIPCODE,13.0501,Educational/Instructional Technology,595,0.2
35000,CIPCODE,13.0601,Educational Evaluation and Research,73,0.02
35000,CIPCODE,13.0603,Educational Statistics and Research Methods,78,0.03
35000,CIPCODE,13.0604,"Educational Assessment, Testing, and Measurement",40,0.01
35000,CIPCODE,13.0607,Learning Sciences,58,0.02
35000,CIPCODE,13.0608,Institutional Research,2,0.0
35000,CIPCODE,13.0699,"Educational Assessment, Evaluation, and Research, Other",36,0.01
35000,CIPCODE,13.0701,International and Comparative Education,43,0.01
35000,CIPCODE,13.0901,Social and Philosophical Foundations of Education,114,0.04
35000,CIPCODE,13.1001,"Special Education and Teaching, General",1459,0.48
35000,CIPCODE,13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness,70,0.02
35000,CIPCODE,13.1004,Education/Teaching of the Gifted and Talented,107,0.04
35000,CIPCODE,13.1005,Education/Teaching of Individuals with Emotional Disturbances,34,0.01
35000,CIPCODE,13.1006,Education/Teaching of Individuals with Intellectual Disabilities,29,0.01
35000,CIPCODE,13.1007,Education/Teaching of Individuals with Multiple Disabilities,59,0.02
35000,CIPCODE,13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments,10,0.0
35000,CIPCODE,13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness,31,0.01
35000,CIPCODE,13.1011,Education/Teaching of Individuals with Specific Learning Disabilities,89,0.03
35000,CIPCODE,13.1012,Education/Teaching of Individuals with Speech or Language Impairments,36,0.01
35000,CIPCODE,13.1013,Education/Teaching of Individuals with Autism,135,0.04
35000,CIPCODE,13.1014,Education/Teaching of Individuals Who are Developmentally Delayed,13,0.0
35000,CIPCODE,13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs,275,0.09
35000,CIPCODE,13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries,5,0.0
35000,CIPCODE,13.1017,Education/Teaching of Individuals in Elementary Special Education Programs,128,0.04
35000,CIPCODE,13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs,20,0.01
35000,CIPCODE,13.1019,Education/Teaching of Individuals in Secondary Special Education Programs,84,0.03
35000,CIPCODE,13.1099,"Special Education and Teaching, Other",174,0.06
35000,CIPCODE,13.1101,Counselor Education/School Counseling and Guidance Services,717,0.24
35000,CIPCODE,13.1102,College Student Counseling and Personnel Services,114,0.04
35000,CIPCODE,13.1199,"Student Counseling and Personnel Services, Other",35,0.01
35000,CIPCODE,13.1201,Adult and Continuing Education and Teaching,147,0.05
35000,CIPCODE,13.1202,Elementary Education and Teaching,1879,0.62
35000,CIPCODE,13.1203,Junior High/Intermediate/Middle School Education and Teaching,494,0.16
35000,CIPCODE,13.1205,Secondary Education and Teaching,987,0.33
35000,CIPCODE,13.1206,"Teacher Education, Multiple Levels",472,0.16
35000,CIPCODE,13.1207,Montessori Teacher Education,32,0.01
35000,CIPCODE,13.1208,Waldorf/Steiner Teacher Education,1,0.0
35000,CIPCODE,13.1209,Kindergarten/Preschool Education and Teaching,217,0.07
35000,CIPCODE,13.121,Early Childhood Education and Teaching,1894,0.62
35000,CIPCODE,13.1211,Online Educator/Online Teaching,37,0.01
35000,CIPCODE,13.1212,International Teaching and Learning,3,0.0
35000,CIPCODE,13.1213,"Science, Technology, Engineering, and Mathematics (STEM) Educational Methods",40,0.01
35000,CIPCODE,13.1214,College/Postsecondary/University Teaching,19,0.01
35000,CIPCODE,13.1299,"Teacher Education and Professional Development, Specific Levels and Methods, Other",336,0.11
35000,CIPCODE,13.1301,Agricultural Teacher Education,129,0.04
35000,CIPCODE,13.1302,Art Teacher Education,522,0.17
35000,CIPCODE,13.1303,Business and Innovation/Entrepreneurship Teacher Education,143,0.05
35000,CIPCODE,13.1304,Driver and Safety Teacher Education,7,0.0
35000,CIPCODE,13.1305,English/Language Arts Teacher Education,684,0.23
35000,CIPCODE,13.1306,Foreign Language Teacher  Education,163,0.05
35000,CIPCODE,13.1307,Health Teacher Education,196,0.06
35000,CIPCODE,13.1308,Family and Consumer Sciences/Home Economics Teacher Education,74,0.02
35000,CIPCODE,13.1309,Technology Teacher Education/Industrial Arts Teacher Education,108,0.04
35000,CIPCODE,13.131,Sales and Marketing Operations/Marketing and Distribution   Teacher Education,12,0.0
35000,CIPCODE,13.1311,Mathematics Teacher Education,773,0.25
35000,CIPCODE,13.1312,Music Teacher Education,816,0.27
35000,CIPCODE,13.1314,Physical Education Teaching and Coaching,768,0.25
35000,CIPCODE,13.1315,Reading Teacher Education,566,0.19
35000,CIPCODE,13.1316,Science Teacher Education/General Science Teacher Education,443,0.15
35000,CIPCODE,13.1317,Social Science Teacher Education,146,0.05
35000,CIPCODE,13.1318,Social Studies Teacher Education,414,0.14
35000,CIPCODE,13.1319,Technical Teacher Education,84,0.03
35000,CIPCODE,13.132,Trade and Industrial Teacher Education,89,0.03
35000,CIPCODE,13.1321,Computer Teacher Education,66,0.02
35000,CIPCODE,13.1322,Biology Teacher Education,410,0.14
35000,CIPCODE,13.1323,Chemistry Teacher Education,283,0.09
35000,CIPCODE,13.1324,Drama and Dance Teacher Education,102,0.03
35000,CIPCODE,13.1325,French Language Teacher Education,115,0.04
35000,CIPCODE,13.1326,German Language Teacher Education,54,0.02
35000,CIPCODE,13.1327,Health Occupations Teacher Education,26,0.01
35000,CIPCODE,13.1328,History Teacher Education,254,0.08
35000,CIPCODE,13.1329,Physics Teacher Education,179,0.06
35000,CIPCODE,13.133,Spanish Language Teacher Education,291,0.1
35000,CIPCODE,13.1331,Speech Teacher Education,40,0.01
35000,CIPCODE,13.1332,Geography Teacher Education,12,0.0
35000,CIPCODE,13.1333,Latin Teacher Education,20,0.01
35000,CIPCODE,13.1334,School Librarian/School Library Media Specialist,51,0.02
35000,CIPCODE,13.1335,Psychology Teacher Education,23,0.01
35000,CIPCODE,13.1337,Earth Science Teacher Education,82,0.03
35000,CIPCODE,13.1338,Environmental Education,25,0.01
35000,CIPCODE,13.1339,Communication Arts and Literature Teacher Education,5,0.0
35000,CIPCODE,13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other",257,0.08
35000,CIPCODE,13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor,726,0.24
35000,CIPCODE,13.1499,"Teaching English or French as a Second or Foreign Language, Other",15,0.0
35000,CIPCODE,13.1501,Teacher Assistant/Aide,276,0.09
35000,CIPCODE,13.1502,Adult Literacy Tutor/Instructor,11,0.0
35000,CIPCODE,13.1599,"Teaching Assistants/Aides, Other",10,0.0
35000,CIPCODE,13.9999,"Education, Other",456,0.15
35000,CIPCODE,14.0101,"Engineering, General",695,0.23
35000,CIPCODE,14.0102,Pre-Engineering,283,0.09
35000,CIPCODE,14.0103,Applied Engineering,22,0.01
35000,CIPCODE,14.0201,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",227,0.07
35000,CIPCODE,14.0202,Astronautical Engineering,2,0.0
35000,CIPCODE,14.0301,Agricultural Engineering,104,0.03
35000,CIPCODE,14.0401,Architectural Engineering,52,0.02
35000,CIPCODE,14.0501,Bioengineering and Biomedical Engineering,559,0.18
