SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
ACTDED,F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN,Primary/secondary work activity on principal job: development or design,RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$YES_NO_CODES
ACTMGT,F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES,Primary/secondary work activity on principal job: management/sales,RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$YES_NO_CODES
ACTRD,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV,Primary/secondary work activity on principal job: basic research/applied research/development/design,RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$YES_NO_CODES
ACTRDT,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TEACH,Primary/secondary work activity on principal job: basic research/applied research/development/design/teaching,RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$YES_NO_CODES
ACTRES,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH,Primary/secondary work activity on principal job: basic or applied research,RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$YES_NO_CODES
ACTTCH,F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH,Primary/secondary work activity on principal job: teaching,RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$YES_NO_CODES
AGEGRP,U_DEM_AGE_GROUP_5_YR_GROUPING_PUB,Age Group (5 year intervals) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents,AGE_GROUP_CODES_PUB
BAAYR5P,J_ED_BA_DEGREE_AWARD_YR_5_YR_GROUPING_PUB,Year of award of first bachelor's degree (5-year intervals) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents,BAAYR5P_CODES
BADGRUS,J_ED_BA_SCHOOL_REGION_US_NONUS,Location of school awarding first bachelor's degree (U.S./Non-U.S.),RECODE,Derived within SESTAT from reported information,All respondents,$US_NONUS_CODES
BAPBPR,J_ED_BA_SCHOOL_PUBLIC_OR_PRIVTE,Public/private status of postsecondary institution awarding first bachelor's degree - 1994 Carnegie value,SYSTEM,From which academic institution did you receive your first BA degree (1994 Public/Private flag)?,All respondents,$PUBLIC_PRIVATE_CODES
BARGNP,J_ED_BA_SCHOOL_REGION_PUB,Location of school awarding first bachelor's degree (region code) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents,$REGION_CODES_PUB
BTHUS,U_DEM_BIRTH_PLACE_REGION_US_NONUS,Place of birth (U.S./Non-U.S.),RECODE,Derived within SESTAT from reported information,All respondents,$US_NONUS_CODES
CH1218IN,W_DEM_CHILDREN_IND_12_18,Children living in household indicator: ages 12-18,RECODE,Derived within SESTAT from reported information,"Children living in the household on February 1, 2015",$YES_NO_CODES
CH19IN,W_DEM_CHILDREN_IND_19,Children living in household indicator: age 19 or older,RECODE,Derived within SESTAT from reported information,"Children living in the household on February 1, 2015",$YES_NO_CODES
CH25IN,W_DEM_CHILDREN_IND_2_5,Children living in household indicator: ages 2-5,RECODE,Derived within SESTAT from reported information,"Children living in the household on February 1, 2015",$YES_NO_CODES
CH611IN,W_DEM_CHILDREN_IND_6_11,Children living in household indicator: ages 6-11,RECODE,Derived within SESTAT from reported information,"Children living in the household on February 1, 2015",$YES_NO_CODES
CH6IN,W_DEM_CHILDREN_IND_UNDER_6,Children living in household indicator: under age 6,RECODE,Derived within SESTAT from reported information,"Children living in the household on February 1, 2015",$YES_NO_CODES
CHCHG,D_JOB_CHG_REAS_CAREER_CHG,Reason for changing employer or job: change in career/professional interests,B03.4,Why did you change your employer or your job? (Marked Change in career or professional interest),"Changed employer and/or job between the weeks of February 1, 2013 and February 1, 2015",$YES_NO_CODES
CHCON,D_JOB_CHG_REAS_WRKNG_CONDS,Reason for changing employer or job: working conditions,B03.2,"Why did you change your employer or your job? (Marked Working conditions (e.g., hours, equipment, working environment))","Changed employer and/or job between the weeks of February 1, 2013 and February 1, 2015",$YES_NO_CODES
CHFAM,D_JOB_CHG_REAS_FAMILY,Reason for changing employer or job: family-related reasons,B03.5,"Why did you change your employer or your job? (Marked Family-related reasons (e.g., children, spouse's job moved))","Changed employer and/or job between the weeks of February 1, 2013 and February 1, 2015",$YES_NO_CODES
CHLAY,D_JOB_CHG_REAS_LAID_OFF,Reason for changing employer or job: laid off/job terminated,B03.7,"Why did you change your employer or your job? (Marked Laid off or job terminated (includes company closings, mergers, buyouts, grant or contract ended))","Changed employer and/or job between the weeks of February 1, 2013 and February 1, 2015",$YES_NO_CODES
CHLOC,D_JOB_CHG_REAS_LOCATN,Reason for changing employer or job: job location,B03.3,Why did you change your employer or your job? (Marked Job location),"Changed employer and/or job between the weeks of February 1, 2013 and February 1, 2015",$YES_NO_CODES
CHLVIN,W_DEM_CHILDREN_IN_HOUSEHOLD,Children living in household indicator (all ages),E04,"As of the week of February 1, 2015 did you have any children living with you as part of your family?",All respondents,$YES_NO_CODES
CHOT,D_JOB_CHG_REAS_OTHR,Reason for changing employer or job: other,B03.9,Why did you change your employer or your job? (Marked Some other reason),"Changed employer and/or job between the weeks of February 1, 2013 and February 1, 2015",$YES_NO_CODES
CHPAY,D_JOB_CHG_REAS_PAY_OR_PROMOT,"Reason for changing employer or job: pay, promotion",B03.1,"Why did you change your employer or your job? (Marked Pay, promotion opportunities)","Changed employer and/or job between the weeks of February 1, 2013 and February 1, 2015",$YES_NO_CODES
CHRET,D_JOB_CHG_REAS_RETIRED,Reason for changing employer or job: retired,B03.8,Why did you change your employer or your job? (Marked Retired),"Changed employer and/or job between the weeks of February 1, 2013 and February 1, 2015",$YES_NO_CODES
CHSCH,D_JOB_CHG_REAS_SCHOOL_RELTD,Reason for changing employer or job: school-related reasons,B03.6,"Why did you change your employer or your job? (Marked School-related reasons (e.g. returned to school, completed a degree))","Changed employer and/or job between the weeks of February 1, 2013 and February 1, 2015",$YES_NO_CODES
CHTOTPB,W_DEM_CHILDREN_TOTAL_PUB,Total number of children (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents,$CHILD_TOT_PUB_CODES03_
CHU2IN,W_DEM_CHILDREN_IND_UNDER_2,Children living in household indicator: under age 2,RECODE,Derived within SESTAT from reported information,"Children living in the household on February 1, 2015",$YES_NO_CODES
CHUN12,W_DEM_CHILDREN_UNDER_12_IND,Children living in household indicator: under age 12,RECODE,Derived within SESTAT from reported information,"Children living in the household on February 1, 2015",$YES_NO_CODES
COHORT,Z_SURVEY_COHORT,Survey cohort,SYSTEM,Derived within SESTAT from reported information,All respondents,$SURVEY_COHORTS
CTZFOR,V_DEM_NON_US_CITIZEN,Visa type for non-US citizens,E09,(If Non-U.S. citizen) Were you a non-U.S. citizen&#-61;&#-94;&#-30;&#-126;&#-84;&#-62;&#-90; (Response to: permanent/temporary visa type),Non-U.S. citizens,$NON_US_CITIZEN_CODES
CTZN,V_DEM_CITIZENSHIP_STATUS,Citizenship or visa status,RECODE,Derived within SESTAT from reported information,All respondents,$CITIZENSHIP_CODES
CTZN_DRF,V_DEM_CITIZENSHIP_STATUS_DRF,"Citizenship/visa status at time of doctorate (recoded, from DRF)",RECODE,Derived within SESTAT from reported information,All respondents,$CITIZENSHIP_CODES
CTZUS,V_DEM_US_CITIZENSHIP_STATUS,Type of US citizen,E08,Were you a U.S. citizen?,U.S. citizens,$US_CITIZEN_CODES
CTZUSIN,V_DEM_CITIZENSHIP_US_CITIZEN,U.S. citizenship status,E07,"On February 1, 2015 were you a... (Response to: US or Non-US citizen)",All respondents,$YES_NO_CODES
D25YRP,P_ED_2ND_HD_DEGREE_AWARD_YR_5_YR_GROUPING_PUB,Year of award of second highest degree (5 year intervals) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents with two or more degrees,D25YRP_CODES
D2DG,P_ED_2ND_HD_DEGREE_TYPE,Second highest degree type,SYSTEM,What type of degree did you earn?,All respondents with two or more degrees,$DEGREE_CODES
D2DGRUS,P_ED_2ND_HD_SCHOOL_REGION_US_NONUS,Location of school awarding second highest degree (U.S./Non-U.S.),RECODE,Derived within SESTAT from reported information,All respondents with two or more degrees,$US_NONUS_CODES
D2PBPR,P_ED_2ND_HD_SCHOOL_PUB_OR_PRIV,Public/private status of postsecondary institution awarding second highest degree - 1994 Carnegie value,SYSTEM,From which academic institution did you receive your 2nd highest degree (1994 Public/Private flag)?,All respondents,$PUBLIC_PRIVATE_CODES
D2RGNP,P_ED_2ND_HD_SCHOOL_REGION_PUB,Location of school awarding second highest degree (region code) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents with two or more degrees,$REGION_CODES_PUB
D35YRP,Q_ED_3RD_HD_DEGREE_AWARD_YR_5_YR_GROUPING_PUB,Year of award of third highest degree (5 year intervals) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents with three or more degrees,D35YRP_CODES
D3DG,Q_ED_3RD_HD_DEGREE_TYPE,Third highest degree type,SYSTEM,What type of degree did you earn?,All respondents with three or more degrees,$DEGREE_CODES
D3DGRUS,Q_ED_3RD_HD_SCHOOL_REGION_US_NONUS,Location of school awarding third highest degree (U.S./Non-U.S.),RECODE,Derived within SESTAT from reported information,All respondents with three or more degrees,$US_NONUS_CODES
D3PBPR,Q_ED_3RD_HD_SCHOOL_PUB_OR_PRIV,Public/private status of postsecondary institution awarding third highest degree - 1994 Carnegie value,SYSTEM,From which academic institution did you receive your 3rd highest degree (1994 Public/Private flag)?,All respondents,$PUBLIC_PRIVATE_CODES
D3RGNP,Q_ED_3RD_HD_SCHOOL_REGION_PUB,Location of school awarding third highest degree (region code) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents with three or more degrees,$REGION_CODES_PUB
DIFAGEGR,X_DEM_DISABLE_EARLIEST_AGE_5_YR_GROUPING,Physical abilities: earliest age experienced difficulties (5 year intervals),RECODE,Derived within SESTAT from reported information,"Marked having slight or greater level of difficulty for seeing, hearing, walking, lifting, or cognition",AGE_GROUP_CODES
DIFBIR,X_DEM_DISABLE_SINCE_BIRTH,Physical abilities: experienced difficulties since birth,E15.2,What is the earliest age at which you FIRST began experiencing ANY difficulties in ANY of these areas? (Responded by checking Since Birth box),"Marked having slight or greater level of difficulty for seeing, hearing, walking, lifting, or cognition",$SINCE_BIRTH_CODES
DIFNO,X_DEM_DISABLE_NONE_IND,No difficulty with physical activities,E14,What is the USUAL degree of difficulty you have with -- (Responded by checking NONE box),All respondents,$NO_HANDICAP_CODES
EARNP,H_JOB_TOTAL_INCOME_PUB,Total earned income before deductions in previous year (recoded for public use),RECODE,Derived within SESTAT from reported information,Worked during calendar year 2014,
EDDAD,W_DEM_PARENT_FATHERS_ED_LEVEL,Father's education level,SYSTEM,Derived within SESTAT from reported information,All respondents,$EDUCATION_LEVEL_CODES
EDMOM,W_DEM_PARENT_MOTHERS_ED_LEVEL,Mother's education level,SYSTEM,Derived within SESTAT from reported information,All respondents,$EDUCATION_LEVEL_CODES
EDTP,E_JOB_EMPLR_EDUC_INST_TYPE,Type of educational institution employer,A15,Was the educational institution where you worked a...,"Working during the week of February 1, 2015 and employer is an educational institution",$EDUCATION_INSTITUTION_CODES_R2_
EMED,E_JOB_EMPLR_EDUC_INST_IND,Indicator for educational institution employer,A14,Was your principal employer an educational institution?,"Working during the week of February 1, 2015",$YES_NO_CODES
EMRGP,E_JOB_EMPLR_LOC_REGION_PUB,Region code for employer (recoded for public use),RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$REGION_CODES_PUB
EMSECDT,E_JOB_EMPLR_SECTOR_CD,Employer sector (detailed codes),RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$EMP_SECTOR_DET_CODES
EMSECSM,E_JOB_EMPLR_SECTOR_CD_SUMRY,Employer sector (summary codes),RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$EMP_SECTOR_SUM_CODES
EMSIZE,E_JOB_EMPLR_SIZE,Employer size,A11,"Counting all locations where this employer operates, how many people worked for your principal employer?  Your best estimate is fine.","Working during the week of February 1, 2015",$EMPLOYER_SIZE_R1_
EMSMI,D_JOB_SAME_EMPLOYER_JOB,"Employment status (same job/employer?), current and previous reference weeks",B02,"During these two time periods - the week of February 1, 2013, and the week of February 1, 2015 -- were you working for?","Working during the weeks of February 1, 2013 and February 1, 2015",$SAME_DIFFERENT_CODES
EMTPP,E_JOB_EMPLR_TYPE_PUB,Employer type (taking into account educational institutions) (recoded for public use),RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$EMP_TYPE_CODE
EMUS,E_JOB_EMPLR_LOC_REGION_US_NONUS,Employer location (U.S./Non-U.S.),RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$US_NONUS_CODES
FACADV,F_JOB_IMPORTANCE_ADVANCEMENT,Importance of job's opportunities for advancement,C06.5,"When thinking about a job, how important is each of the following factors to you?.(Response to: Opportunities for advancement).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACBEN,F_JOB_IMPORTANCE_BENEFITS,Importance of job's benefits,C06.2,"When thinking about a job, how important is each of the following factors to you?.(Response to: Benefits).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACCHAL,F_JOB_IMPORTANCE_CHALLENGE,Importance of job's intellectual challenge,C06.6,"When thinking about a job, how important is each of the following factors to you?.(Response to: Intellectual challenge).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACIND,F_JOB_IMPORTANCE_INDEPENDENCE,Importance of job's degree of independence,C06.8,"When thinking about a job, how important is each of the following factors to you?.(Response to: Degree of independence).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACLOC,F_JOB_IMPORTANCE_LOCATION,Importance of job's location,C06.4,"When thinking about a job, how important is each of the following factors to you?.(Response to: Job location).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACRANK,E_JOB_EMPLR_EDUC_INST_FACULTY_RANK,Faculty rank,A17,What was your faculty rank?,"Working during the week of February 1, 2015 and employer is a postsecondary educational institution",$FACULTY_RANK_CODES_R1_
FACRESP,F_JOB_IMPORTANCE_RESPONSIBILITY,Importance of job's level of responsibility,C06.7,"When thinking about a job, how important is each of the following factors to you?.(Response to: Level of responsibility).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACSAL,F_JOB_IMPORTANCE_SALARY,Importance of job's salary,C06.1,"When thinking about a job, how important is each of the following factors to you?.(Response to: Salary).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACSEC,F_JOB_IMPORTANCE_SECURITY,Importance of job's security,C06.3,"When thinking about a job, how important is each of the following factors to you?.(Response to: Job security).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACSOC,F_JOB_IMPORTANCE_SOCIETY,Importance of job's contribution to society,C06.9,"When thinking about a job, how important is each of the following factors to you?.(Response to: Contribution to society).","All respondents, except for those who never worked",$IMPORTANT_CODES
FNINUS,V_LIVE_WORK_IN_US_ON_REF_DATE,Living in U.S. during reference week,RECODE,"On February 1, 2015 were you living in the United States, Puerto Rico, or another U.S. territory, or were you living in another country?",All respondents,$YES_NO_CODES
FSDED,I_JOB_GOV_AGCY_SUPP_EDUC,Federal agency supporting work: Education,A43.02,Which Federal agencies or departments were supporting your work? (Marked Dept. of Education),Work on job supported by U.S. government,$MARK_ALL_CODES
FSDK,I_JOB_GOV_AGCY_SUPPORT_DONT_KNOW,Federal agency supporting work: Agency Unknown,A43.09,Which Federal agencies or departments were supporting your work? (Marked Don't Know Source Agency),Work on job supported by U.S. government,$MARK_ALL_CODES
FSDOD,I_JOB_GOV_AGCY_SUPP_DEFENSE,Federal agency supporting work: Defense,A43.01,Which Federal agencies or departments were supporting your work? (Marked Dept. of Defense (DOD)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSDOE,I_JOB_GOV_AGCY_SUPP_ENERGY,Federal agency supporting work: Energy,A43.03,Which Federal agencies or departments were supporting your work? (Marked Dept. of Energy (DOE)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSHHS,I_JOB_GOV_AGCY_SUPP_HHS,Federal agency supporting work: HHS,A43.05,Which Federal agencies or departments were supporting your work? (Marked Dept. of Health and Humans Services Department (except NIH)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSNASA,I_JOB_GOV_AGCY_SUPP_NASA,Federal agency supporting work: NASA,A43.06,"Which Federal agencies or departments were supporting your work? (Marked ""National Aeronautics and Space Administration (NASA)"")",Work on job supported by U.S. government,$MARK_ALL_CODES
FSNIH,I_JOB_GOV_AGCY_SUPP_NIH,Federal agency supporting work: NIH,A43.04,Which Federal agencies or departments were supporting your work? (Marked National Institutes of Health (NIH)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSNSF,I_JOB_GOV_AGCY_SUPP_NSF,Federal agency supporting work: NSF,A43.07,Which Federal agencies or departments were supporting your work? (Marked National Science Foundation (NSF)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSOT,I_JOB_GOV_AGCY_SUPP_OTHR,Federal agency supporting work: Other,A43.08,Which Federal agencies or departments were supporting your work? (Marked Other),Work on job supported by U.S. government,$MARK_ALL_CODES
FTPRET,B_JOB_RETIRED_PREVLY_IND,Previously retired,A08,"Although you were working during the week of February 1, 2015, had you previously retired from any position?","Working full-time during week of February 1, 2015",$YES_NO_CODES
GENDER,U_DEM_GENDER,Gender,SYSTEM,Derived within SESTAT from reported information,All respondents,$GENDER_CODES
GOVSUP,I_JOB_GOV_AGCY_SUPPORT_IND,Federal government support indicator,A42,"Thinking back now to 2014, was any of your work during 2014 supported by contracts or grants from the U.S. Federal Government?",Worked during calendar year 2014,$YES_NO_CODES
HCAPIN,X_DEM_DISABLE_IND,Physical disabilities indicator,RECODE,Derived within SESTAT from reported information,All respondents,$YES_NO_CODES
HDAY5P,O_ED_HD_DEGREE_AWARD_YR_5_YR_GROUPING_PUB,Year of award of highest degree (5 year intervals) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents,HDAY5P_CODES
HDDGRUS,O_ED_HD_SCHOOL_REGION_US_NONUS,Location of school awarding highest degree (U.S./Non-U.S.),RECODE,Derived within SESTAT from reported information,All respondents,$US_NONUS_CODES
HDPBPR,O_ED_HD_SCHOOL_PUB_OR_PRIV,Public/private status of postsecondary institution awarding highest degree - 1994 Carnegie value,SYSTEM,From which academic institution did you receive your highest degree (1994 Public/Private flag)?,All respondents,$PUBLIC_PRIVATE_CODES
HDRGNP,O_ED_HD_SCHOOL_REGION_PUB,Location of school awarding highest degree (region code) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents,$REGION_CODES_PUB
HRSWKP,B_PRINCIPAL_JOB_WKLY_HRS_PUB,Principal job: hours per week typically worked (recoded for public use),RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",HRSWKP
JOBINS,E_JOB_EMPLR_BENEFITS_HEALTHINS,Available benefits: health insurance,A41.1,"Concerning your principal job during the week of February 1, 2015, were any of the following benefits available to you, even if you chose not to take them? (Response to: Health insurance that was at least partially paid by your employer)","Working week of February 1, 2015",$YES_NO_CODES
JOBPENS,E_JOB_EMPLR_BENEFITS_PENSION,Available benefits: pension/retirement plan,A41.2,"Concerning your principal job during the week of February 1, 2015, were any of the following benefits available to you, even if you chose not to take them? (Response to: A pension plan or a retirement plan)","Working week of February 1, 2015",$YES_NO_CODES
JOBPROFT,E_JOB_EMPLR_BENEFITS_PROFIT_SHARING,Available benefits: profit-sharing plan,A41.3,"Concerning your principal job during the week of February 1, 2015, were any of the following benefits available to you, even if you chose not to take them? (Response to: A profit-sharing plan)","Working week of February 1, 2015",$YES_NO_CODES
JOBSATIS,F_JOB_SATISFACTION_OVERALL,Job satisfaction,A35,"How would you rate your overall satisfaction with the principal job you held during the week of February 1, 2015?","Working during the week of February 1, 2015",$SATISFIED_CODES
JOBVAC,E_JOB_EMPLR_BENEFITS_VACATION,Available benefits: paid vacation/sick/personal days,A41.4,"Concerning your principal job during the week of February 1, 2015, were any of the following benefits available to you, even if you chose not to take them? (Response to: Paid vacation, sick, or personal days)","Working week of February 1, 2015",$YES_NO_CODES
LFSTAT,A_JOB_STATUS_LABOR_FORCE_STAT,Labor force status,RECODE,Derived within SESTAT from reported information,All respondents,$LABOR_FORCE_STATUS_CODES
LOOKWK,A_JOB_STATUS_LOOKING_FOR_WRK_IND,"Not working, looking for work",A02,"Did you look for work during the four weeks preceding February 1, 2015? This would be between January 4th and February 1st.","Not working during the week of February 1, 2015",$YES_NO_CODES
MARIND,W_DEM_MARITAL_STAT_MARRIED,Marital status indicator,RECODE,Derived within SESTAT from reported information,All respondents,$YES_NO_CODES
MARSTA,W_DEM_MARITAL_STATUS,Marital status,E01,"On February 1, 2015 were you... (Response to: marital status categories)...",All respondents,$MARITAL_STATUS_CODES_R1_
MGRNAT,F_JOB_MGR_TECH_EXPERTSE_PHYS_SCI,"Job required technical expertise at the bachelor's level or higher:  eng, comp sci, math, nat sciences",A22.1,"Did your duties on this job require technical expertise of a bachelor's degree in engineering, computer science, math, or the natural sciences?","Working week of February 1, 2015",$YES_NO_CODES
MGROTH,F_JOB_MGR_TECH_EXPERTSE_OTHER,Job required technical expertise at the bachelor's level or higher:  Other fields (e.g. health/business),A22.3,"Did your duties on this job require technical expertise of a bachelor's degree or higher in some other field (e.g., health, business or education)?","Working week of February 1, 2015",$YES_NO_CODES
MGRSOC,F_JOB_MGR_TECH_EXPERTSE_SOCIAL_SCI,Job required technical expertise at the bachelor's level or higher:  social sciences,A22.2,Did your duties on this job require technical expertise of a bachelor's degree or higher in the social sciences?,"Working week of February 1, 2015",$YES_NO_CODES
MINRTY,U_DEM_RACE_MINORITY_IND,Minority indicator,RECODE,Derived within SESTAT from reported information,All respondents,$YES_NO_CODES
MR5YRP,M_ED_MR_DEGREE_AWARD_YR_5_YR_GROUPING_PUB,Year of award of most recent degree (5-year intervals) (recoded for public use),RECODE,Derived within SESTAT from reported information,All respondents,MR5YRP_CODES
MRADV,M_ED_MR_DEGREE_REAS_ADVANCEMT,"Reason for obtaining most recent degree: increase opportunities for promotion, advancement, higher salary",SYSTEM,"For which of the following reasons did you obtain your most recent degree?  (Response to: 'To increase opportunities for promotion, advancement or higher salary')?",All respondents,$YES_NO_CODES
MRCAR,M_ED_MR_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining most recent degree: further education before career,SYSTEM,For which of the following reasons did you obtain your most recent degree?  (Response to: 'To gain further education before beginning a career'),All respondents,$YES_NO_CODES
MRCHG,M_ED_MR_DEGREE_REAS_CHG_FLD,Reason for obtaining most recent degree: change academic/occupational field,SYSTEM,For which of the following reasons did you obtain your most recent degree?  (Response to: 'To change your academic or occupational field'),All respondents,$YES_NO_CODES
MRDG,M_ED_MR_DEGREE_TYPE,Most recent degree type,SYSTEM,What type of degree did you earn?,All respondents,$DEGREE_CODES
