sas_name,SESTAT_NAME,DESCRIPTION,source,question,domain,SAS_FMT
JOBPENS,E_JOB_EMPLR_BENEFITS_PENSION,Available benefits: pension/retirement plan,A41.2,"Concerning your principal job during the week of February 1, 2013, were any of the following benefits available to you, even if you chose not to take them? (Response to ""A pension plan or a retirement plan"")","Working week of February 1, 2013",$YESNO.
JOBPROFT,E_JOB_EMPLR_BENEFITS_PROFIT_SHARING,Available benefits: profit-sharing plan,A41.3,"Concerning your principal job during the week of February 1, 2013, were any of the following benefits available to you, even if you chose not to take them? (Response to ""A profit-sharing plan"")","Working week of February 1, 2013",$YESNO.
JOBSATIS,F_JOB_SATISFACTION_OVERALL,Job satisfaction,A35,"How would you rate your overall satisfaction with the principal job you held during the week of February 1, 2013?","Working during the week of February 1, 2013",$SATIS.
JOBVAC,E_JOB_EMPLR_BENEFITS_VACATION,Available benefits: paid vacation/sick/personal days,A41.4,"Concerning your principal job during the week of February 1, 2013, were any of the following benefits available to you, even if you chose not to take them? (Response to ""Paid vacation, sick, or personal days"")","Working week of February 1, 2013",$YESNO.
LFSTAT,A_JOB_STATUS_LABOR_FORCE_STAT,Labor force status,RECODE,Derived within SESTAT from reported information.,All respondents,$LFSTAT.
LOOKWK,A_JOB_STATUS_LOOKING_FOR_WRK_IND,"Not working, looking for work",A02,"Did you look for work during the four weeks preceding February 1, 2013? This would be between January 4th and February 1st.","Not working during the week of February 1, 2013",$YESNO.
MGRNAT,F_JOB_MGR_TECH_EXPERTSE_PHYS_SCI,"Job required technical expertise at the bachelor's level or higher:  eng, comp sci, math, nat sciences",A22.1,"Did your duties on this job require technical expertise of a bachelor's degree in engineering, computer science, math, or the natural sciences?","Working week of February 1, 2013",$YESNO.
MGROTH,F_JOB_MGR_TECH_EXPERTSE_OTHER,Job required technical expertise at the bachelor's level or higher:  Other fields (e.g. health/business),A22.3,"Did your duties on this job require technical expertise of a bachelor's degree or higher in some other field (e.g., health, business or education)?","Working week of February 1, 2013",$YESNO.
MGRSOC,F_JOB_MGR_TECH_EXPERTSE_SOCIAL_SCI,Job required technical expertise at the bachelor's level or higher:  social sciences,A22.2,Did your duties on this job require technical expertise of a bachelor's degree or higher in the social sciences?,"Working week of February 1, 2013",$YESNO.
MINRTY,U_DEM_RACE_MINORITY_IND,Minority indicator,RECODE,Derived within SESTAT from reported information.,All respondents,$YESNO.
MR03Y5P,M_ED_MR_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB,"Year of most recent degree (5-year intervals), recoded for public use.",RECODE,Derived within SESTAT from reported information.,All respondents,HM5Y13S.
MRADV,M_ED_MR_DEGREE_REAS_ADVANCEMT,"Reason for obtaining most recent degree: increase opportunities for promotion, advancement, higher salary",D06.6,"For which of the following reasons did you obtain this degree?  (Response to ""To increase opportunities for promotion, advancement or higher salary"")",All respondents,$YESNO.
MRCAR,M_ED_MR_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining most recent degree: further education before career,D06.1,"For which of the following reasons did you obtain this degree?  (Response to ""To gain further education before beginning a career"")",All respondents,$YESNO.
MRCHG,M_ED_MR_DEGREE_REAS_CHG_FLD,Reason for obtaining most recent degree: change academic/occupational field,D06.3,"For which of the following reasons did you obtain this degree?  (Response to ""To change your academic or occupational field"")",All respondents,$YESNO.
MRDG,M_ED_MR_DEGREE_TYPE,Most recent degree type,D02,What type of degree did you earn?,All respondents,$DEGREE.
MRINT,M_ED_MR_DEGREE_REAS_PERSONL,Reason for obtaining most recent degree: leisure/personal interest,D06.8,"For which of the following reasons did you obtain this degree?  (Response to ""For leisure or personal interest"")",All respondents,$YESNO.
MRLIC,M_ED_MR_DEGREE_REAS_LICENSING,Reason for obtaining most recent degree: licensure/certification,D06.5,"For which of the following reasons did you obtain this degree?  (Response to ""For licensure or certification"")",All respondents,$YESNO.
MROTP,M_ED_MR_DEGREE_REAS_OTHR_PUB,"Reason for obtaining most recent degree: graduate school, required by employer or other",RECODE,Derived within SESTAT from reported information.,All respondents,$MRKMR.
MRSKL,M_ED_MR_DEGREE_REAS_ACQ_SKILL,Reason for obtaining most recent degree: acquire further skills in field,D06.4,"For which of the following reasons did you obtain this degree?  (Response to ""To gain further skills or knowledge in your academic or occupational field"")",All respondents,$YESNO.
N2OCPRMG,B_JOB_OCC_GRP_MAJOR_NEW2,Job code for principal job (major group),RECODE,Derived within SESTAT from information reported on the questionnaires or other sources.  See variable documentation for recode algorithm.,"Working during the week of February 1, 2013",$MAJOCCN.
N2OCPRPB,B_JOB_CAT_PUB_NEW2,Job code for principal job (recoded for public use),RECODE,This variable is a recode produced for public use.  See variable documentation for recode algorithm.,"Working during the week of February 1, 2013",$OCCUPPN.
NACEDMG,N_ED_REF_WK_ENROLL_ED_CAT_MAJOR_NEW,Code for field of study during reference week (major group),RECODE,Derived within SESTAT from reported information.,"Took courses/enrolled in college/university during the week of February 1, 2013",$MAJORN.
NBAMEDP,J_ED_BA_MAJOR_ED_CAT_PUB_NEW,Field of major for first bachelor's degree (best code - recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$EDCDPBN.
NBAMEMG,J_ED_BA_MAJOR_ED_GROUP_MAJOR_NEW,Field of study for first bachelor's degree (major group),RECODE,Derived within SESTAT from reported information.,All respondents,$MAJORN.
NDGMEDP,O_ED_HD_MAJOR_ED_CAT_PUB_NEW,Field of major for highest degree (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$EDCDPBN.
NDGMEMG,O_ED_HD_MAJOR_ED_GRP_MAJOR_NEW,Field of study for highest degree (major group),RECODE,Derived within SESTAT from reported information.,All respondents,$MAJORN.
NEWBUS,E_JOB_EMPLR_NEW_BUSINESS,New business,A12,Did your principal employer come into being as a new business within the past 5 years?,"Working week of February 1, 2013",$YESNO.
NMRMEDP,M_ED_MR_MAJOR_ED_CAT_PUB_NEW,Field of major for most recent degree (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$EDCDPBN.
NMRMEMG,M_ED_MR_MAJOR_ED_GRP_MAJOR_NEW,Field of study of major for most recent degree (major group),RECODE,Derived within SESTAT from reported information.,All respondents,$MAJORN.
NRCHG,B_JOB_OUTSIDE_FLD_REAS_CAREER_CHG,Reason for working outside field of highest degree: career change,A28.4,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Change in career or professional interests"")","Working during the week of February 1, 2013 and principal job not related to highest degree",$YESNO.
NRCON,B_JOB_OUTSIDE_FLD_REAS_WRKNG_CONDS,Reason for working outside field of highest degree: working conditions,A28.2,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Working conditions (e.g., hours, equipment, working environment"")","Working during the week of February 1, 2013 and principal job not related to highest degree",$YESNO.
NRFAM,B_JOB_OUTSIDE_FLD_REAS_FAMILY,Reason for working outside field of highest degree: family-related reasons,A28.5,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Family-related reasons (e.g., children, spouse's job moved)"")","Working during the week of February 1, 2013 and principal job not related to highest degree",$YESNO.
NRLOC,B_JOB_OUTSIDE_FLD_REAS_LOC,Reason for working outside field of highest degree: job location,A28.3,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Job location"")","Working during the week of February 1, 2013 and principal job not related to highest degree",$YESNO.
NROCNA,B_JOB_OUTSIDE_FLD_REAS_JOB_NOT_AVAIL,Reason for working outside field of highest degree: suitable job not available,A28.6,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Job in doctoral degree field not available"")","Working during the week of February 1, 2013 and principal job not related to highest degree",$YESNO.
NROT,B_JOB_OUTSIDE_FLD_REAS_OTHR,Reason for working outside field of highest degree: other,A28.7,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to ""Some other reason"")","Working during the week of February 1, 2013 and principal job not related to highest degree",$YESNO.
NRPAY,B_JOB_OUTSIDE_FLD_REAS_PAY_OR_PROMOT,Reason for working outside field of highest degree: pay/promotion,A28.1,"Did these factors influence your decision to work in an area outside the field of your first U.S. doctoral degree? (Response to  ""Pay, promotion opportunities"")","Working during the week of February 1, 2013 and principal job not related to highest degree",$YESNO.
NRREA,B_JOB_OUTSIDE_FLD_REASON_PRIMRY,Most important reason for working outside field of highest degree,A29.1,Which two factors in [the previous question] were your most important reason for working in an area outside the field of your first U.S. doctoral degree? (Most important reason),"Working during the week of February 1, 2013 and principal job not related to highest degree",$OUTFLD.
NRSEC,B_JOB_OUTSIDE_FLD_REASON_SECOND,Second most important reason for working outside field of highest degree,A29.2,Which two factors in [the previous question] were your most important reason for working in an area outside the field of your first U.S. doctoral degree? (Second most important reason),"Working during the week of February 1, 2013 and principal job not related to highest degree",$OUTFLD.
NWFAM,A_JOB_NOT_WRKNG_REAS_FAMILY,Reasons for not working: family responsibilities,A03.4,"What were your reasons for not working during the week of February 1, 2013?  (Marked ""Family responsibilities"")","Not working during the week of February 1, 2013",$YESNO.
NWLAY,A_JOB_NOT_WRKNG_REAS_LAYOFF,Reasons for not working: layoff,A03.2,"What were your reasons for not working during the week of February 1, 2013?  (Marked ""On layoff from a job"")","Not working during the week of February 1, 2013",$YESNO.
NWNOND,A_JOB_NOT_WRKNG_REAS_NO_NEED,Reasons for not working: did not need/want to work,A03.7,"What were your reasons for not working during the week of February 1, 2013?  (Marked ""Did not need or want to work"")","Not working during the week of February 1, 2013",$YESNO.
NWOCNA,A_JOB_NOT_WRKNG_REAS_JOB_NOT_AVAIL,Reasons for not working: suitable job not available,A03.6,"What were your reasons for not working during the week of February 1, 2013?  (Marked ""Suitable job not available"")","Not working during the week of February 1, 2013",$YESNO.
NWOTP,A_JOB_NOT_WRKNG_REAS_OTHR_PUB,"Reasons for not working: illness, retired or other",RECODE,"What were your reasons for not working during the week of February 1, 2013?  (Marked ""Illness"", ""Retired"" or ""Other"")","Not working during the week of February 1, 2013",$MRKNW.
NWSTU,A_JOB_NOT_WRKNG_REAS_STUDENT,Reasons for not working: student,A03.3,"What were your reasons for not working during the week of February 1, 2013?  (Marked ""Student"")","Not working during the week of February 1, 2013",$YESNO.
OCEDRLP,B_JOB_RELTD_TO_DEGREE,Extent that principal job is related to highest degree,A27,To what extent was your work on your principal job related to your first U.S. doctoral degree?,"Working during the week of February 1, 2013",$RELATED.
PJFAM,F_JOB_PART_TIME_REAS_FAMILY,Reason worked part-time:  family responsibilities,A40.3,"For which of the following reasons did you usually work fewer than 35 hours per week on the principal job you held during the week of February 1, 2013?  (Response to ""Family responsibilities"")","Working less than 35 hours per week on principal job during the week of February 1, 2013",$YESNO.
PJNOND,F_JOB_PART_TIME_REAS_NO_NEED,Reason worked part-time:  did not need/want to work full-time,A40.6,"For which of the following reasons did you usually work fewer than 35 hours per week on the principal job you held during the week of February 1, 2013?  (Response to ""Did not need or want to work more hours"")","Working less than 35 hours per week on principal job during the week of February 1, 2013",$YESNO.
PJOCNA,F_JOB_PART_TIME_REAS_FT_JOB_NA,Reason worked part-time:  full-time job not available,A40.4,"For which of the following reasons did you usually work fewer than 35 hours per week on the principal job you held during the week of February 1, 2013?  (Response to ""Full-time job not available"")","Working less than 35 hours per week on principal job during the week of February 1, 2013",$YESNO.
PJOTP,F_JOB_PART_TIME_REAS_OTHR_PUB,"Reason worked part-time: student, illness, hold another job or other",RECODE,"For which of the following reasons did you usually work fewer than 35 hours per week on the principal job you held during the week of February 1, 2013?  (Response to Other)","Working less than 35 hours per week on principal job during the week of February 1, 2013",$MRK2PJ.
PJWTFT,F_JOB_PART_TIME_WANT_FULL_TIME,Want to work full-time on principal job indicator,A39,Did you want to work 35 or more hours per week on your principal job?,"Working less than 35 hours per week on principal job during the week of February 1, 2013",$YESNO.
PRMBRIPB,D_JOB_PROF_ASSOC_MEMBRSHPS_NBR_ISDR_PUB,Number of professional society memberships (recoded for public use),RECODE,To how many national or international professional societies or associations do you currently belong? (Number),All respondents,MEMC03P.
PROMTGIP,D_JOB_PROF_ASSOC_ATTEND_MTNGS_IND_ISDR_PUB,Attended professional meetings in past year (recoded for public use),RECODE,"During the past 12 months, did you attend any professional society or association meetings or professional conferences?",All respondents,$YESNO.
RACETHMP,U_DEM_MULTIPLE_RACE_ETHNICITY_CAT_PUB,Race/ethnicity (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$ETHNCPM.
REFID,Z_REFERENCE_ID_NUMBER,Reference/ID number,SYSTEM,Derived within SESTAT,All respondents,$REFID.
REFYR,Z_SURVEY_YEAR,Survey year,SYSTEM,Data item developed by survey contractors; describes current year of survey,All respondents,FOUR.
SALARP,H_JOB_SALARY_ANN_PUB,Salary (annualized and recoded for public use),RECODE,"Before deductions, what was your BASIC ANNUAL SALARY on this job as of the week of February 1, 2013?  [Data has been annualized]","Working during the week of February 1, 2013",SC150P.
SATADV,F_JOB_SATISFACTION_ADVANCEMENT,Satisfaction principal job's opportunities for advancement,A34.5,"Thinking about your principal job held during the week of February 1, 2013, please rate your satisfaction with that job's opportunities for advancement","Working week of February 1, 2013",$SATIS.
SATBEN,F_JOB_SATISFACTION_BENEFITS,Satisfaction principal job benefits,A34.2,"Thinking about your principal job held during the week of February 1, 2013, please rate your satisfaction with that job's benefits","Working week of February 1, 2013",$SATIS.
SATCHAL,F_JOB_SATISFACTION_CHALLENGE,Satisfaction principal job's intellectual challenge,A34.6,"Thinking about your principal job held during the week of February 1, 2013, please rate your satisfaction with that job's intellectual challenge","Working week of February 1, 2013",$SATIS.
SATIND,F_JOB_SATISFACTION_INDEPENDENCE,Satisfaction principal job's degree of independence,A34.8,"Thinking about your principal job held during the week of February 1, 2013, please rate your satisfaction with that job's degree of independence","Working week of February 1, 2013",$SATIS.
SATLOC,F_JOB_SATISFACTION_LOCATION,Satisfaction principal job's job location,A34.4,"Thinking about your principal job held during the week of February 1, 2013, please rate your satisfaction with that job's job location","Working week of February 1, 2013",$SATIS.
SATRESP,F_JOB_SATISFACTION_RESPONSIBILITY,Satisfaction principal job's level of responsibility,A34.7,"Thinking about your principal job held during the week of February 1, 2013, please rate your satisfaction with that job's level of responsibility","Working week of February 1, 2013",$SATIS.
SATSAL,F_JOB_SATISFACTION_SALARY,Satisfaction principal job salary,A34.1,"Thinking about your principal job held during the week of February 1, 2013, please rate your satisfaction with that job's salary","Working week of February 1, 2013",$SATIS.
SATSEC,F_JOB_SATISFACTION_SECURITY,Satisfaction principal job's job security,A34.3,"Thinking about your principal job held during the week of February 1, 2013, please rate your satisfaction with that job's job security","Working week of February 1, 2013",$SATIS.
SATSOC,F_JOB_SATISFACTION_SOCIETY,Satisfaction principal job's contribution to society,A34.9,"Thinking about your principal job held during the week of February 1, 2013, please rate your satisfaction with that job's contribution to society","Working week of February 1, 2013",$SATIS.
SPNAT,W_DEM_SPOUSE_WORK_EXPERT_PHYS_SCI,"Technical expertise required by spouse/partner job: engineering, computer, math, natural sciences",E03.1,"Did your spouse's or partner's duties on this job require technical expertise of a bachelor's degree or higher in... (Response to ""Engineering, computer science, math or the natural sciences"")","Spouse working during week of February 1, 2013",$YESNO.
SPOT,W_DEM_SPOUSE_WORK_EXPERT_OTHER,Technical expertise required by spouse/partner job: other,E03.3,"Did your spouse's or partner's duties on this job require technical expertise of a bachelor's degree or higher in... (Response to ""Some other field (e.g. health, business, or education)"")","Spouse working during week of February 1, 2013",$YESNO.
